Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
ABRIGADA,01/05/1985 09:00,,,,,Lisboa
ABRIGADA,02/05/1985 09:00,,,,,Lisboa
ABRIGADA,03/05/1985 09:00,,,,,Lisboa
ABRIGADA,04/05/1985 09:00,,,,,Lisboa
ABRIGADA,05/05/1985 09:00,,,,,Lisboa
ABRIGADA,06/05/1985 09:00,,,,,Lisboa
ABRIGADA,07/05/1985 09:00,,,,,Lisboa
ABRIGADA,08/05/1985 09:00,,,,,Lisboa
ABRIGADA,09/05/1985 09:00,,,,,Lisboa
ABRIGADA,10/05/1985 09:00,,,,,Lisboa
ABRIGADA,11/05/1985 09:00,,,,,Lisboa
ABRIGADA,12/05/1985 09:00,,,,,Lisboa
ABRIGADA,13/05/1985 09:00,,,,,Lisboa
ABRIGADA,14/05/1985 09:00,,,,,Lisboa
ABRIGADA,15/05/1985 09:00,,,,,Lisboa
ABRIGADA,16/05/1985 09:00,,,,,Lisboa
ABRIGADA,17/05/1985 09:00,,,,,Lisboa
ABRIGADA,18/05/1985 09:00,,,,,Lisboa
ABRIGADA,19/05/1985 09:00,,,,,Lisboa
ABRIGADA,20/05/1985 09:00,,,,,Lisboa
ABRIGADA,21/05/1985 09:00,,,,,Lisboa
ABRIGADA,22/05/1985 09:00,,,,,Lisboa
ABRIGADA,23/05/1985 09:00,,,,,Lisboa
ABRIGADA,24/05/1985 09:00,,,,,Lisboa
ABRIGADA,25/05/1985 09:00,,,,,Lisboa
ABRIGADA,26/05/1985 09:00,,,,,Lisboa
ABRIGADA,27/05/1985 09:00,,,,,Lisboa
ABRIGADA,28/05/1985 09:00,,,,,Lisboa
ABRIGADA,29/05/1985 09:00,,,,,Lisboa
ABRIGADA,30/05/1985 09:00,,,,,Lisboa
ABRIGADA,31/05/1985 09:00,,,,,Lisboa
ABRIGADA,01/06/1985 09:00,,,,,Lisboa
