Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
ALBUFEIRA DE ODELEITE,30/03/2001 09:00,,,,,Faro
ALBUFEIRA DE ODELEITE,31/03/2001 09:00,,,,,Faro
ALBUFEIRA DE ODELEITE,01/04/2001 09:00,,,,,Faro
ALBUFEIRA DE ODELEITE,02/04/2001 09:00,,,,,Faro
ALBUFEIRA DE ODELEITE,03/04/2001 09:00,,,,,Faro
ALBUFEIRA DE ODELEITE,04/04/2001 09:00,,,,,Faro
ALBUFEIRA DE ODELEITE,05/04/2001 09:00,,,,,Faro
ALBUFEIRA DE ODELEITE,06/04/2001 09:00,,,,,Faro
ALBUFEIRA DE ODELEITE,07/04/2001 09:00,,,,,Faro
ALBUFEIRA DE ODELEITE,08/04/2001 09:00,60.0,,14.6,5.9,Faro
ALBUFEIRA DE ODELEITE,09/04/2001 09:00,49.0,,16.9,3.0,Faro
ALBUFEIRA DE ODELEITE,10/04/2001 09:00,42.0,,20.4,2.3,Faro
ALBUFEIRA DE ODELEITE,11/04/2001 09:00,48.0,,21.5,3.1,Faro
ALBUFEIRA DE ODELEITE,12/04/2001 09:00,39.0,,22.0,2.5,Faro
ALBUFEIRA DE ODELEITE,13/04/2001 09:00,44.0,,18.5,1.8,Faro
ALBUFEIRA DE ODELEITE,14/04/2001 09:00,38.0,,19.8,2.4,Faro
ALBUFEIRA DE ODELEITE,15/04/2001 09:00,57.0,,16.9,1.7,Faro
ALBUFEIRA DE ODELEITE,16/04/2001 09:00,52.0,,18.3,2.7,Faro
ALBUFEIRA DE ODELEITE,17/04/2001 09:00,55.0,,17.8,3.4,Faro
ALBUFEIRA DE ODELEITE,18/04/2001 09:00,67.0,,15.3,3.4,Faro
ALBUFEIRA DE ODELEITE,19/04/2001 09:00,62.0,,17.1,3.4,Faro
ALBUFEIRA DE ODELEITE,20/04/2001 09:00,62.0,,16.0,4.9,Faro
ALBUFEIRA DE ODELEITE,21/04/2001 09:00,54.0,,16.7,3.9,Faro
ALBUFEIRA DE ODELEITE,22/04/2001 09:00,48.0,,16.1,4.5,Faro
ALBUFEIRA DE ODELEITE,23/04/2001 09:00,66.0,,16.6,5.0,Faro
ALBUFEIRA DE ODELEITE,24/04/2001 09:00,74.0,,16.4,2.6,Faro
ALBUFEIRA DE ODELEITE,25/04/2001 09:00,74.0,,15.4,3.7,Faro
ALBUFEIRA DE ODELEITE,26/04/2001 09:00,47.0,,16.1,4.2,Faro
