Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
ALBUFEIRA DE PEGO DO ALTAR,30/03/2001 09:00,82.0,,13.6,1.3,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,31/03/2001 09:00,86.0,,13.6,1.1,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,01/04/2001 09:00,74.0,,17.1,0.4,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,02/04/2001 09:00,71.0,,17.7,1.7,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,03/04/2001 09:00,79.0,,12.1,1.3,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,04/04/2001 09:00,76.0,,13.0,0.8,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,05/04/2001 09:00,91.0,,15.4,0.9,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,06/04/2001 09:00,85.0,,15.9,1.0,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,07/04/2001 09:00,83.0,,15.2,1.2,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,08/04/2001 09:00,70.0,,12.7,2.2,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,09/04/2001 09:00,67.0,,14.7,1.8,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,10/04/2001 09:00,58.0,,17.4,1.2,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,11/04/2001 09:00,67.0,,17.6,1.7,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,12/04/2001 09:00,52.0,,19.5,1.4,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,13/04/2001 09:00,60.0,,16.7,1.3,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,14/04/2001 09:00,46.0,,18.3,1.6,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,15/04/2001 09:00,57.0,,16.7,1.6,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,16/04/2001 09:00,69.0,,16.0,0.8,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,17/04/2001 09:00,71.0,,14.9,1.1,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,18/04/2001 09:00,78.0,,13.7,1.5,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,19/04/2001 09:00,72.0,,14.9,1.1,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,20/04/2001 09:00,67.0,,13.6,1.8,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,21/04/2001 09:00,61.0,,14.0,1.6,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,22/04/2001 09:00,60.0,,13.6,2.2,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,23/04/2001 09:00,74.0,,15.1,1.7,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,24/04/2001 09:00,80.0,,15.1,1.5,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,25/04/2001 09:00,86.0,,12.8,1.2,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,26/04/2001 09:00,64.0,,13.5,1.7,Setúbal
ALBUFEIRA DE PEGO DO ALTAR,27/04/2001 09:00,67.0,,13.9,2.0,Setúbal
