Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
ALBUFEIRA DE SANTA CLARA,30/03/2001 09:00,,,,,Beja
ALBUFEIRA DE SANTA CLARA,31/03/2001 09:00,,,,,Beja
ALBUFEIRA DE SANTA CLARA,01/04/2001 09:00,,,,,Beja
ALBUFEIRA DE SANTA CLARA,02/04/2001 09:00,,,,,Beja
ALBUFEIRA DE SANTA CLARA,03/04/2001 09:00,,,,,Beja
ALBUFEIRA DE SANTA CLARA,04/04/2001 09:00,,,,,Beja
ALBUFEIRA DE SANTA CLARA,05/04/2001 09:00,94.0,,14.5,1.4,Beja
ALBUFEIRA DE SANTA CLARA,06/04/2001 09:00,89.0,,15.3,1.7,Beja
ALBUFEIRA DE SANTA CLARA,07/04/2001 09:00,83.0,,15.1,2.8,Beja
ALBUFEIRA DE SANTA CLARA,08/04/2001 09:00,67.0,,13.3,3.7,Beja
ALBUFEIRA DE SANTA CLARA,09/04/2001 09:00,70.0,,14.1,1.8,Beja
ALBUFEIRA DE SANTA CLARA,10/04/2001 09:00,,,,1.3,Beja
ALBUFEIRA DE SANTA CLARA,11/04/2001 09:00,,,,0.0,Beja
ALBUFEIRA DE SANTA CLARA,12/04/2001 09:00,,,,0.3,Beja
ALBUFEIRA DE SANTA CLARA,13/04/2001 09:00,,,,0.5,Beja
ALBUFEIRA DE SANTA CLARA,14/04/2001 09:00,,,,0.0,Beja
ALBUFEIRA DE SANTA CLARA,15/04/2001 09:00,,,,0.0,Beja
ALBUFEIRA DE SANTA CLARA,16/04/2001 09:00,,,,0.0,Beja
ALBUFEIRA DE SANTA CLARA,17/04/2001 09:00,,,,0.0,Beja
ALBUFEIRA DE SANTA CLARA,18/04/2001 09:00,,,,0.0,Beja
ALBUFEIRA DE SANTA CLARA,19/04/2001 09:00,,,,,Beja
ALBUFEIRA DE SANTA CLARA,20/04/2001 09:00,,,,0.0,Beja
ALBUFEIRA DE SANTA CLARA,21/04/2001 09:00,,,,,Beja
ALBUFEIRA DE SANTA CLARA,22/04/2001 09:00,,,,,Beja
ALBUFEIRA DE SANTA CLARA,23/04/2001 09:00,,,,,Beja
ALBUFEIRA DE SANTA CLARA,24/04/2001 09:00,,,,,Beja
ALBUFEIRA DE SANTA CLARA,25/04/2001 09:00,80.0,,14.0,2.6,Beja
ALBUFEIRA DE SANTA CLARA,26/04/2001 09:00,61.0,,14.0,3.2,Beja
ALBUFEIRA DE SANTA CLARA,27/04/2001 09:00,69.0,,13.6,2.8,Beja
ALBUFEIRA DE SANTA CLARA,28/04/2001 09:00,79.0,,14.0,2.9,Beja
ALBUFEIRA DE SANTA CLARA,29/04/2001 09:00,72.0,,15.6,2.1,Beja
ALBUFEIRA DE SANTA CLARA,30/04/2001 09:00,68.0,,12.0,4.2,Beja
ALBUFEIRA DE SANTA CLARA,01/05/2001 09:00,74.0,,9.8,3.4,Beja
ALBUFEIRA DE SANTA CLARA,02/05/2001 09:00,83.0,,8.9,1.7,Beja
ALBUFEIRA DE SANTA CLARA,03/05/2001 09:00,81.0,,11.1,3.3,Beja
ALBUFEIRA DE SANTA CLARA,04/05/2001 09:00,79.0,,11.1,3.1,Beja
ALBUFEIRA DE SANTA CLARA,05/05/2001 09:00,79.0,,12.6,3.0,Beja
ALBUFEIRA DE SANTA CLARA,06/05/2001 09:00,78.0,,12.4,2.6,Beja
ALBUFEIRA DE SANTA CLARA,07/05/2001 09:00,80.0,,12.1,2.0,Beja
ALBUFEIRA DE SANTA CLARA,08/05/2001 09:00,77.0,,12.2,2.8,Beja
ALBUFEIRA DE SANTA CLARA,09/05/2001 09:00,73.0,,13.0,1.8,Beja
ALBUFEIRA DE SANTA CLARA,10/05/2001 09:00,85.0,,12.9,2.4,Beja
ALBUFEIRA DE SANTA CLARA,11/05/2001 09:00,,,13.3,2.3,Beja
ALBUFEIRA DE SANTA CLARA,12/05/2001 09:00,77.0,,14.6,1.7,Beja
ALBUFEIRA DE SANTA CLARA,13/05/2001 09:00,89.0,,13.6,2.1,Beja
ALBUFEIRA DE SANTA CLARA,14/05/2001 09:00,72.0,,15.5,1.4,Beja
ALBUFEIRA DE SANTA CLARA,15/05/2001 09:00,89.0,,15.7,2.1,Beja
ALBUFEIRA DE SANTA CLARA,16/05/2001 09:00,75.0,,16.3,2.0,Beja
ALBUFEIRA DE SANTA CLARA,17/05/2001 09:00,84.0,,16.7,2.2,Beja
ALBUFEIRA DE SANTA CLARA,18/05/2001 09:00,,,16.8,1.5,Beja
ALBUFEIRA DE SANTA CLARA,19/05/2001 09:00,81.0,,18.2,1.7,Beja
ALBUFEIRA DE SANTA CLARA,20/05/2001 09:00,84.0,,16.3,1.5,Beja
ALBUFEIRA DE SANTA CLARA,21/05/2001 09:00,,,17.2,1.6,Beja
ALBUFEIRA DE SANTA CLARA,22/05/2001 09:00,75.0,,16.5,2.5,Beja
ALBUFEIRA DE SANTA CLARA,23/05/2001 09:00,81.0,,15.7,2.4,Beja
ALBUFEIRA DE SANTA CLARA,24/05/2001 09:00,78.0,,16.9,2.1,Beja
ALBUFEIRA DE SANTA CLARA,25/05/2001 09:00,71.0,,18.8,2.0,Beja
ALBUFEIRA DE SANTA CLARA,26/05/2001 09:00,,,21.3,1.8,Beja
ALBUFEIRA DE SANTA CLARA,27/05/2001 09:00,64.0,,23.6,1.6,Beja
ALBUFEIRA DE SANTA CLARA,28/05/2001 09:00,53.0,,24.4,2.3,Beja
ALBUFEIRA DE SANTA CLARA,29/05/2001 09:00,50.0,,24.8,3.0,Beja
ALBUFEIRA DE SANTA CLARA,30/05/2001 09:00,43.0,,24.5,2.4,Beja
ALBUFEIRA DE SANTA CLARA,31/05/2001 09:00,51.0,,23.4,1.7,Beja
ALBUFEIRA DE SANTA CLARA,01/06/2001 09:00,51.0,,23.9,1.9,Beja
ALBUFEIRA DE SANTA CLARA,02/06/2001 09:00,58.0,,23.7,1.7,Beja
ALBUFEIRA DE SANTA CLARA,03/06/2001 09:00,71.0,,19.7,3.0,Beja
ALBUFEIRA DE SANTA CLARA,04/06/2001 09:00,79.0,,17.4,2.9,Beja
ALBUFEIRA DE SANTA CLARA,05/06/2001 09:00,72.0,,19.0,2.5,Beja
ALBUFEIRA DE SANTA CLARA,06/06/2001 09:00,69.0,,19.1,3.1,Beja
ALBUFEIRA DE SANTA CLARA,07/06/2001 09:00,61.0,,21.3,2.0,Beja
ALBUFEIRA DE SANTA CLARA,08/06/2001 09:00,67.0,,19.8,2.4,Beja
ALBUFEIRA DE SANTA CLARA,09/06/2001 09:00,70.0,,19.3,2.3,Beja
ALBUFEIRA DE SANTA CLARA,10/06/2001 09:00,81.0,,17.8,2.3,Beja
ALBUFEIRA DE SANTA CLARA,11/06/2001 09:00,79.0,,17.0,2.8,Beja
ALBUFEIRA DE SANTA CLARA,12/06/2001 09:00,63.0,,21.4,2.4,Beja
ALBUFEIRA DE SANTA CLARA,13/06/2001 09:00,71.0,,19.2,2.4,Beja
ALBUFEIRA DE SANTA CLARA,14/06/2001 09:00,74.0,,18.6,2.7,Beja
ALBUFEIRA DE SANTA CLARA,15/06/2001 09:00,74.0,,19.7,3.0,Beja
