Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
ALBUFEIRA DO ALQUEVA,30/03/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,31/03/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,01/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,02/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,03/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,04/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,05/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,06/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,07/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,08/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,09/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,10/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,11/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,12/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,13/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,14/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,15/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,16/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,17/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,18/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,19/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,20/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,21/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,22/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,23/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,24/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,25/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,26/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,27/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,28/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,29/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,30/04/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,01/05/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,02/05/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,03/05/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,04/05/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,05/05/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,06/05/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,07/05/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,08/05/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,09/05/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,10/05/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,11/05/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,12/05/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,13/05/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,14/05/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,15/05/2001 09:00,,,,,Évora
ALBUFEIRA DO ALQUEVA,16/05/2001 09:00,,,,,Évora
