Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
ALBUFEIRA DO MARANHÃO,01/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,02/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,03/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,04/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,05/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,06/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,07/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,08/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,09/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,10/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,11/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,12/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,13/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,14/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,15/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,16/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,17/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,18/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,19/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,20/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,21/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,22/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,23/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,24/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,25/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,26/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,27/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,28/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,29/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,30/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,31/05/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,01/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,02/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,03/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,04/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,05/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,06/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,07/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,08/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,09/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,10/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,11/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,12/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,13/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,14/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,15/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,16/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,17/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,18/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,19/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,20/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,21/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,22/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,23/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,24/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,25/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,26/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,27/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,28/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,29/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,30/06/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,01/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,02/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,03/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,04/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,05/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,06/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,07/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,08/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,09/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,10/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,11/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,12/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,13/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,14/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,15/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,16/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,17/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,18/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,19/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,20/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,21/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,22/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,23/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,24/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,25/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,26/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,27/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,28/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,29/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,30/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,31/07/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,01/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,02/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,03/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,04/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,05/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,06/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,07/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,08/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,09/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,10/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,11/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,12/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,13/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,14/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,15/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,16/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,17/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,18/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,19/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,20/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,21/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,22/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,23/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,24/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,25/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,26/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,27/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,28/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,29/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,30/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,31/08/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,01/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,02/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,03/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,04/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,05/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,06/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,07/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,08/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,09/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,10/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,11/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,12/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,13/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,14/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,15/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,16/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,17/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,18/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,19/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,20/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,21/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,22/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,23/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,24/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,25/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,26/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,27/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,28/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,29/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,30/09/1985 09:00,,,,,Portalegre
ALBUFEIRA DO MARANHÃO,01/10/1985 09:00,,,,,Portalegre
