Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
ALBUFEIRA DO ROXO,01/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,02/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,03/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,04/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,05/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,06/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,07/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,08/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,09/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,10/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,11/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,12/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,13/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,14/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,15/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,16/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,17/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,18/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,19/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,20/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,21/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,22/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,23/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,24/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,25/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,26/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,27/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,28/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,29/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,30/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,31/05/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,01/06/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,02/06/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,03/06/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,04/06/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,05/06/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,06/06/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,07/06/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,08/06/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,09/06/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,10/06/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,11/06/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,12/06/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,13/06/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,14/06/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,15/06/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,16/06/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,17/06/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,18/06/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,19/06/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,20/06/1985 09:00,,,,,Beja
ALBUFEIRA DO ROXO,21/06/1985 09:00,,,,,Beja
