Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
ALCANENA,01/05/1985 09:00,,,,,Santarém
ALCANENA,02/05/1985 09:00,,,,,Santarém
ALCANENA,03/05/1985 09:00,,,,,Santarém
ALCANENA,04/05/1985 09:00,,,,,Santarém
ALCANENA,05/05/1985 09:00,,,,,Santarém
ALCANENA,06/05/1985 09:00,,,,,Santarém
ALCANENA,07/05/1985 09:00,,,,,Santarém
ALCANENA,08/05/1985 09:00,,,,,Santarém
ALCANENA,09/05/1985 09:00,,,,,Santarém
ALCANENA,10/05/1985 09:00,,,,,Santarém
ALCANENA,11/05/1985 09:00,,,,,Santarém
ALCANENA,12/05/1985 09:00,,,,,Santarém
ALCANENA,13/05/1985 09:00,,,,,Santarém
ALCANENA,14/05/1985 09:00,,,,,Santarém
ALCANENA,15/05/1985 09:00,,,,,Santarém
ALCANENA,16/05/1985 09:00,,,,,Santarém
ALCANENA,17/05/1985 09:00,,,,,Santarém
ALCANENA,18/05/1985 09:00,,,,,Santarém
ALCANENA,19/05/1985 09:00,,,,,Santarém
ALCANENA,20/05/1985 09:00,,,,,Santarém
ALCANENA,21/05/1985 09:00,,,,,Santarém
ALCANENA,22/05/1985 09:00,,,,,Santarém
ALCANENA,23/05/1985 09:00,,,,,Santarém
ALCANENA,24/05/1985 09:00,,,,,Santarém
ALCANENA,25/05/1985 09:00,,,,,Santarém
ALCANENA,26/05/1985 09:00,,,,,Santarém
ALCANENA,27/05/1985 09:00,,,,,Santarém
ALCANENA,28/05/1985 09:00,,,,,Santarém
ALCANENA,29/05/1985 09:00,,,,,Santarém
ALCANENA,30/05/1985 09:00,,,,,Santarém
ALCANENA,31/05/1985 09:00,,,,,Santarém
ALCANENA,01/06/1985 09:00,,,,,Santarém
ALCANENA,02/06/1985 09:00,,,,,Santarém
ALCANENA,03/06/1985 09:00,,,,,Santarém
ALCANENA,04/06/1985 09:00,,,,,Santarém
ALCANENA,05/06/1985 09:00,,,,,Santarém
ALCANENA,06/06/1985 09:00,,,,,Santarém
ALCANENA,07/06/1985 09:00,,,,,Santarém
ALCANENA,08/06/1985 09:00,,,,,Santarém
ALCANENA,09/06/1985 09:00,,,,,Santarém
ALCANENA,10/06/1985 09:00,,,,,Santarém
ALCANENA,11/06/1985 09:00,,,,,Santarém
ALCANENA,12/06/1985 09:00,,,,,Santarém
ALCANENA,13/06/1985 09:00,,,,,Santarém
ALCANENA,14/06/1985 09:00,,,,,Santarém
ALCANENA,15/06/1985 09:00,,,,,Santarém
ALCANENA,16/06/1985 09:00,,,,,Santarém
ALCANENA,17/06/1985 09:00,,,,,Santarém
ALCANENA,18/06/1985 09:00,,,,,Santarém
ALCANENA,19/06/1985 09:00,,,,,Santarém
ALCANENA,20/06/1985 09:00,,,,,Santarém
ALCANENA,21/06/1985 09:00,,,,,Santarém
ALCANENA,22/06/1985 09:00,,,,,Santarém
ALCANENA,23/06/1985 09:00,,,,,Santarém
ALCANENA,24/06/1985 09:00,,,,,Santarém
ALCANENA,25/06/1985 09:00,,,,,Santarém
ALCANENA,26/06/1985 09:00,,,,,Santarém
ALCANENA,27/06/1985 09:00,,,,,Santarém
ALCANENA,28/06/1985 09:00,,,,,Santarém
ALCANENA,29/06/1985 09:00,,,,,Santarém
ALCANENA,30/06/1985 09:00,,,,,Santarém
ALCANENA,01/07/1985 09:00,,,,,Santarém
ALCANENA,02/07/1985 09:00,,,,,Santarém
ALCANENA,03/07/1985 09:00,,,,,Santarém
ALCANENA,04/07/1985 09:00,,,,,Santarém
ALCANENA,05/07/1985 09:00,,,,,Santarém
ALCANENA,06/07/1985 09:00,,,,,Santarém
ALCANENA,07/07/1985 09:00,,,,,Santarém
ALCANENA,08/07/1985 09:00,,,,,Santarém
