Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
ALCARIA,01/05/1985 09:00,,,,,Castelo Branco
ALCARIA,02/05/1985 09:00,,,,,Castelo Branco
ALCARIA,03/05/1985 09:00,,,,,Castelo Branco
ALCARIA,04/05/1985 09:00,,,,,Castelo Branco
ALCARIA,05/05/1985 09:00,,,,,Castelo Branco
ALCARIA,06/05/1985 09:00,,,,,Castelo Branco
ALCARIA,07/05/1985 09:00,,,,,Castelo Branco
ALCARIA,08/05/1985 09:00,,,,,Castelo Branco
ALCARIA,09/05/1985 09:00,,,,,Castelo Branco
ALCARIA,10/05/1985 09:00,,,,,Castelo Branco
ALCARIA,11/05/1985 09:00,,,,,Castelo Branco
ALCARIA,12/05/1985 09:00,,,,,Castelo Branco
ALCARIA,13/05/1985 09:00,,,,,Castelo Branco
ALCARIA,14/05/1985 09:00,,,,,Castelo Branco
ALCARIA,15/05/1985 09:00,,,,,Castelo Branco
ALCARIA,16/05/1985 09:00,,,,,Castelo Branco
ALCARIA,17/05/1985 09:00,,,,,Castelo Branco
ALCARIA,18/05/1985 09:00,,,,,Castelo Branco
ALCARIA,19/05/1985 09:00,,,,,Castelo Branco
ALCARIA,20/05/1985 09:00,,,,,Castelo Branco
ALCARIA,21/05/1985 09:00,,,,,Castelo Branco
ALCARIA,22/05/1985 09:00,,,,,Castelo Branco
ALCARIA,23/05/1985 09:00,,,,,Castelo Branco
ALCARIA,24/05/1985 09:00,,,,,Castelo Branco
ALCARIA,25/05/1985 09:00,,,,,Castelo Branco
ALCARIA,26/05/1985 09:00,,,,,Castelo Branco
ALCARIA,27/05/1985 09:00,,,,,Castelo Branco
ALCARIA,28/05/1985 09:00,,,,,Castelo Branco
ALCARIA,29/05/1985 09:00,,,,,Castelo Branco
ALCARIA,30/05/1985 09:00,,,,,Castelo Branco
ALCARIA,31/05/1985 09:00,,,,,Castelo Branco
ALCARIA,01/06/1985 09:00,,,,,Castelo Branco
ALCARIA,02/06/1985 09:00,,,,,Castelo Branco
ALCARIA,03/06/1985 09:00,,,,,Castelo Branco
ALCARIA,04/06/1985 09:00,,,,,Castelo Branco
ALCARIA,05/06/1985 09:00,,,,,Castelo Branco
ALCARIA,06/06/1985 09:00,,,,,Castelo Branco
ALCARIA,07/06/1985 09:00,,,,,Castelo Branco
ALCARIA,08/06/1985 09:00,,,,,Castelo Branco
ALCARIA,09/06/1985 09:00,,,,,Castelo Branco
ALCARIA,10/06/1985 09:00,,,,,Castelo Branco
ALCARIA,11/06/1985 09:00,,,,,Castelo Branco
ALCARIA,12/06/1985 09:00,,,,,Castelo Branco
ALCARIA,13/06/1985 09:00,,,,,Castelo Branco
ALCARIA,14/06/1985 09:00,,,,,Castelo Branco
ALCARIA,15/06/1985 09:00,,,,,Castelo Branco
ALCARIA,16/06/1985 09:00,,,,,Castelo Branco
ALCARIA,17/06/1985 09:00,,,,,Castelo Branco
ALCARIA,18/06/1985 09:00,,,,,Castelo Branco
ALCARIA,19/06/1985 09:00,,,,,Castelo Branco
ALCARIA,20/06/1985 09:00,,,,,Castelo Branco
ALCARIA,21/06/1985 09:00,,,,,Castelo Branco
ALCARIA,22/06/1985 09:00,,,,,Castelo Branco
ALCARIA,23/06/1985 09:00,,,,,Castelo Branco
ALCARIA,24/06/1985 09:00,,,,,Castelo Branco
ALCARIA,25/06/1985 09:00,,,,,Castelo Branco
ALCARIA,26/06/1985 09:00,,,,,Castelo Branco
ALCARIA,27/06/1985 09:00,,,,,Castelo Branco
ALCARIA,28/06/1985 09:00,,,,,Castelo Branco
ALCARIA,29/06/1985 09:00,,,,,Castelo Branco
ALCARIA,30/06/1985 09:00,,,,,Castelo Branco
ALCARIA,01/07/1985 09:00,,,,,Castelo Branco
ALCARIA,02/07/1985 09:00,,,,,Castelo Branco
ALCARIA,03/07/1985 09:00,,,,,Castelo Branco
ALCARIA,04/07/1985 09:00,,,,,Castelo Branco
ALCARIA,05/07/1985 09:00,,,,,Castelo Branco
ALCARIA,06/07/1985 09:00,,,,,Castelo Branco
ALCARIA,07/07/1985 09:00,,,,,Castelo Branco
ALCARIA,08/07/1985 09:00,,,,,Castelo Branco
ALCARIA,09/07/1985 09:00,,,,,Castelo Branco
ALCARIA,10/07/1985 09:00,,,,,Castelo Branco
ALCARIA,11/07/1985 09:00,,,,,Castelo Branco
ALCARIA,12/07/1985 09:00,,,,,Castelo Branco
ALCARIA,13/07/1985 09:00,,,,,Castelo Branco
ALCARIA,14/07/1985 09:00,,,,,Castelo Branco
ALCARIA,15/07/1985 09:00,,,,,Castelo Branco
ALCARIA,16/07/1985 09:00,,,,,Castelo Branco
ALCARIA,17/07/1985 09:00,,,,,Castelo Branco
ALCARIA,18/07/1985 09:00,,,,,Castelo Branco
ALCARIA,19/07/1985 09:00,,,,,Castelo Branco
ALCARIA,20/07/1985 09:00,,,,,Castelo Branco
ALCARIA,21/07/1985 09:00,,,,,Castelo Branco
ALCARIA,22/07/1985 09:00,,,,,Castelo Branco
ALCARIA,23/07/1985 09:00,,,,,Castelo Branco
ALCARIA,24/07/1985 09:00,,,,,Castelo Branco
ALCARIA,25/07/1985 09:00,,,,,Castelo Branco
ALCARIA,26/07/1985 09:00,,,,,Castelo Branco
ALCARIA,27/07/1985 09:00,,,,,Castelo Branco
ALCARIA,28/07/1985 09:00,,,,,Castelo Branco
ALCARIA,29/07/1985 09:00,,,,,Castelo Branco
ALCARIA,30/07/1985 09:00,,,,,Castelo Branco
ALCARIA,31/07/1985 09:00,,,,,Castelo Branco
ALCARIA,01/08/1985 09:00,,,,,Castelo Branco
ALCARIA,02/08/1985 09:00,,,,,Castelo Branco
ALCARIA,03/08/1985 09:00,,,,,Castelo Branco
ALCARIA,04/08/1985 09:00,,,,,Castelo Branco
ALCARIA,05/08/1985 09:00,,,,,Castelo Branco
ALCARIA,06/08/1985 09:00,,,,,Castelo Branco
ALCARIA,07/08/1985 09:00,,,,,Castelo Branco
ALCARIA,08/08/1985 09:00,,,,,Castelo Branco
ALCARIA,09/08/1985 09:00,,,,,Castelo Branco
ALCARIA,10/08/1985 09:00,,,,,Castelo Branco
ALCARIA,11/08/1985 09:00,,,,,Castelo Branco
ALCARIA,12/08/1985 09:00,,,,,Castelo Branco
ALCARIA,13/08/1985 09:00,,,,,Castelo Branco
ALCARIA,14/08/1985 09:00,,,,,Castelo Branco
ALCARIA,15/08/1985 09:00,,,,,Castelo Branco
ALCARIA,16/08/1985 09:00,,,,,Castelo Branco
ALCARIA,17/08/1985 09:00,,,,,Castelo Branco
ALCARIA,18/08/1985 09:00,,,,,Castelo Branco
ALCARIA,19/08/1985 09:00,,,,,Castelo Branco
ALCARIA,20/08/1985 09:00,,,,,Castelo Branco
ALCARIA,21/08/1985 09:00,,,,,Castelo Branco
ALCARIA,22/08/1985 09:00,,,,,Castelo Branco
ALCARIA,23/08/1985 09:00,,,,,Castelo Branco
ALCARIA,24/08/1985 09:00,,,,,Castelo Branco
ALCARIA,25/08/1985 09:00,,,,,Castelo Branco
ALCARIA,26/08/1985 09:00,,,,,Castelo Branco
ALCARIA,27/08/1985 09:00,,,,,Castelo Branco
ALCARIA,28/08/1985 09:00,,,,,Castelo Branco
ALCARIA,29/08/1985 09:00,,,,,Castelo Branco
ALCARIA,30/08/1985 09:00,,,,,Castelo Branco
ALCARIA,31/08/1985 09:00,,,,,Castelo Branco
ALCARIA,01/09/1985 09:00,,,,,Castelo Branco
ALCARIA,02/09/1985 09:00,,,,,Castelo Branco
ALCARIA,03/09/1985 09:00,,,,,Castelo Branco
ALCARIA,04/09/1985 09:00,,,,,Castelo Branco
ALCARIA,05/09/1985 09:00,,,,,Castelo Branco
ALCARIA,06/09/1985 09:00,,,,,Castelo Branco
ALCARIA,07/09/1985 09:00,,,,,Castelo Branco
ALCARIA,08/09/1985 09:00,,,,,Castelo Branco
ALCARIA,09/09/1985 09:00,,,,,Castelo Branco
ALCARIA,10/09/1985 09:00,,,,,Castelo Branco
ALCARIA,11/09/1985 09:00,,,,,Castelo Branco
ALCARIA,12/09/1985 09:00,,,,,Castelo Branco
ALCARIA,13/09/1985 09:00,,,,,Castelo Branco
ALCARIA,14/09/1985 09:00,,,,,Castelo Branco
ALCARIA,15/09/1985 09:00,,,,,Castelo Branco
ALCARIA,16/09/1985 09:00,,,,,Castelo Branco
ALCARIA,17/09/1985 09:00,,,,,Castelo Branco
ALCARIA,18/09/1985 09:00,,,,,Castelo Branco
ALCARIA,19/09/1985 09:00,,,,,Castelo Branco
ALCARIA,20/09/1985 09:00,,,,,Castelo Branco
ALCARIA,21/09/1985 09:00,,,,,Castelo Branco
ALCARIA,22/09/1985 09:00,,,,,Castelo Branco
ALCARIA,23/09/1985 09:00,,,,,Castelo Branco
ALCARIA,24/09/1985 09:00,,,,,Castelo Branco
ALCARIA,25/09/1985 09:00,,,,,Castelo Branco
ALCARIA,26/09/1985 09:00,,,,,Castelo Branco
ALCARIA,27/09/1985 09:00,,,,,Castelo Branco
ALCARIA,28/09/1985 09:00,,,,,Castelo Branco
ALCARIA,29/09/1985 09:00,,,,,Castelo Branco
ALCARIA,30/09/1985 09:00,,,,,Castelo Branco
ALCARIA,01/10/1985 09:00,,,,,Castelo Branco
ALCARIA,02/10/1985 09:00,,,,,Castelo Branco
ALCARIA,03/10/1985 09:00,,,,,Castelo Branco
ALCARIA,04/10/1985 09:00,,,,,Castelo Branco
ALCARIA,05/10/1985 09:00,,,,,Castelo Branco
ALCARIA,06/10/1985 09:00,,,,,Castelo Branco
ALCARIA,07/10/1985 09:00,,,,,Castelo Branco
ALCARIA,08/10/1985 09:00,,,,,Castelo Branco
ALCARIA,09/10/1985 09:00,,,,,Castelo Branco
ALCARIA,10/10/1985 09:00,,,,,Castelo Branco
ALCARIA,11/10/1985 09:00,,,,,Castelo Branco
ALCARIA,12/10/1985 09:00,,,,,Castelo Branco
ALCARIA,13/10/1985 09:00,,,,,Castelo Branco
ALCARIA,14/10/1985 09:00,,,,,Castelo Branco
ALCARIA,15/10/1985 09:00,,,,,Castelo Branco
ALCARIA,16/10/1985 09:00,,,,,Castelo Branco
ALCARIA,17/10/1985 09:00,,,,,Castelo Branco
ALCARIA,18/10/1985 09:00,,,,,Castelo Branco
ALCARIA,19/10/1985 09:00,,,,,Castelo Branco
ALCARIA,20/10/1985 09:00,,,,,Castelo Branco
ALCARIA,21/10/1985 09:00,,,,,Castelo Branco
ALCARIA,22/10/1985 09:00,,,,,Castelo Branco
ALCARIA,23/10/1985 09:00,,,,,Castelo Branco
ALCARIA,24/10/1985 09:00,,,,,Castelo Branco
ALCARIA,25/10/1985 09:00,,,,,Castelo Branco
ALCARIA,26/10/1985 09:00,,,,,Castelo Branco
ALCARIA,27/10/1985 09:00,,,,,Castelo Branco
ALCARIA,28/10/1985 09:00,,,,,Castelo Branco
ALCARIA,29/10/1985 09:00,,,,,Castelo Branco
ALCARIA,30/10/1985 09:00,,,,,Castelo Branco
ALCARIA,31/10/1985 09:00,,,,,Castelo Branco
ALCARIA,01/11/1985 09:00,,,,,Castelo Branco
ALCARIA,02/11/1985 09:00,,,,,Castelo Branco
ALCARIA,03/11/1985 09:00,,,,,Castelo Branco
ALCARIA,04/11/1985 09:00,,,,,Castelo Branco
ALCARIA,05/11/1985 09:00,,,,,Castelo Branco
ALCARIA,06/11/1985 09:00,,,,,Castelo Branco
ALCARIA,07/11/1985 09:00,,,,,Castelo Branco
ALCARIA,08/11/1985 09:00,,,,,Castelo Branco
ALCARIA,09/11/1985 09:00,,,,,Castelo Branco
ALCARIA,10/11/1985 09:00,,,,,Castelo Branco
ALCARIA,11/11/1985 09:00,,,,,Castelo Branco
ALCARIA,12/11/1985 09:00,,,,,Castelo Branco
