Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
ALCOENTRE,01/05/1985 09:00,,0.0,20.25,,Lisboa
ALCOENTRE,02/05/1985 09:00,,0.8,17.0,,Lisboa
ALCOENTRE,03/05/1985 09:00,,1.8,16.75,,Lisboa
ALCOENTRE,04/05/1985 09:00,,0.0,16.5,,Lisboa
ALCOENTRE,05/05/1985 09:00,,0.0,15.25,,Lisboa
ALCOENTRE,06/05/1985 09:00,,2.3,11.25,,Lisboa
ALCOENTRE,07/05/1985 09:00,,35.4,9.5,,Lisboa
ALCOENTRE,08/05/1985 09:00,,0.0,12.25,,Lisboa
ALCOENTRE,09/05/1985 09:00,,0.0,14.0,,Lisboa
ALCOENTRE,10/05/1985 09:00,,0.0,14.75,,Lisboa
ALCOENTRE,11/05/1985 09:00,,0.0,11.75,,Lisboa
ALCOENTRE,12/05/1985 09:00,,0.0,14.75,,Lisboa
ALCOENTRE,13/05/1985 09:00,,0.0,14.25,,Lisboa
ALCOENTRE,14/05/1985 09:00,,0.8,12.75,,Lisboa
ALCOENTRE,15/05/1985 09:00,,0.1,12.25,,Lisboa
ALCOENTRE,16/05/1985 09:00,,2.0,11.25,,Lisboa
ALCOENTRE,17/05/1985 09:00,,0.0,14.0,,Lisboa
ALCOENTRE,18/05/1985 09:00,,0.0,15.75,,Lisboa
ALCOENTRE,19/05/1985 09:00,,0.0,19.0,,Lisboa
ALCOENTRE,20/05/1985 09:00,,0.0,17.5,,Lisboa
ALCOENTRE,21/05/1985 09:00,,0.0,13.0,,Lisboa
ALCOENTRE,22/05/1985 09:00,,0.0,13.75,,Lisboa
ALCOENTRE,23/05/1985 09:00,,0.0,14.5,,Lisboa
ALCOENTRE,24/05/1985 09:00,,0.0,12.25,,Lisboa
ALCOENTRE,25/05/1985 09:00,,0.0,13.75,,Lisboa
ALCOENTRE,26/05/1985 09:00,,23.4,16.75,,Lisboa
ALCOENTRE,27/05/1985 09:00,,0.7,16.25,,Lisboa
ALCOENTRE,28/05/1985 09:00,,0.4,12.75,,Lisboa
ALCOENTRE,29/05/1985 09:00,,1.3,17.75,,Lisboa
ALCOENTRE,30/05/1985 09:00,,9.3,14.25,,Lisboa
ALCOENTRE,31/05/1985 09:00,,0.0,18.0,,Lisboa
ALCOENTRE,01/06/1985 09:00,,0.0,18.25,,Lisboa
ALCOENTRE,02/06/1985 09:00,,5.7,17.5,,Lisboa
ALCOENTRE,03/06/1985 09:00,,0.2,17.75,,Lisboa
ALCOENTRE,04/06/1985 09:00,,0.0,14.75,,Lisboa
ALCOENTRE,05/06/1985 09:00,,2.6,17.5,,Lisboa
ALCOENTRE,06/06/1985 09:00,,0.0,18.5,,Lisboa
ALCOENTRE,07/06/1985 09:00,,0.0,17.25,,Lisboa
ALCOENTRE,08/06/1985 09:00,,0.0,18.0,,Lisboa
ALCOENTRE,09/06/1985 09:00,,0.0,17.5,,Lisboa
ALCOENTRE,10/06/1985 09:00,,0.0,19.25,,Lisboa
ALCOENTRE,11/06/1985 09:00,,0.0,21.25,,Lisboa
