Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
ALENQUER,01/05/1985 09:00,,,,,Lisboa
ALENQUER,02/05/1985 09:00,,,,,Lisboa
ALENQUER,03/05/1985 09:00,,,,,Lisboa
ALENQUER,04/05/1985 09:00,,,,,Lisboa
ALENQUER,05/05/1985 09:00,,,,,Lisboa
ALENQUER,06/05/1985 09:00,,,,,Lisboa
ALENQUER,07/05/1985 09:00,,,,,Lisboa
ALENQUER,08/05/1985 09:00,,,,,Lisboa
ALENQUER,09/05/1985 09:00,,,,,Lisboa
ALENQUER,10/05/1985 09:00,,,,,Lisboa
ALENQUER,11/05/1985 09:00,,,,,Lisboa
ALENQUER,12/05/1985 09:00,,,,,Lisboa
ALENQUER,13/05/1985 09:00,,,,,Lisboa
ALENQUER,14/05/1985 09:00,,,,,Lisboa
ALENQUER,15/05/1985 09:00,,,,,Lisboa
ALENQUER,16/05/1985 09:00,,,,,Lisboa
ALENQUER,17/05/1985 09:00,,,,,Lisboa
ALENQUER,18/05/1985 09:00,,,,,Lisboa
ALENQUER,19/05/1985 09:00,,,,,Lisboa
ALENQUER,20/05/1985 09:00,,,,,Lisboa
ALENQUER,21/05/1985 09:00,,,,,Lisboa
ALENQUER,22/05/1985 09:00,,,,,Lisboa
ALENQUER,23/05/1985 09:00,,,,,Lisboa
ALENQUER,24/05/1985 09:00,,,,,Lisboa
ALENQUER,25/05/1985 09:00,,,,,Lisboa
ALENQUER,26/05/1985 09:00,,,,,Lisboa
ALENQUER,27/05/1985 09:00,,,,,Lisboa
ALENQUER,28/05/1985 09:00,,,,,Lisboa
ALENQUER,29/05/1985 09:00,,,,,Lisboa
ALENQUER,30/05/1985 09:00,,,,,Lisboa
ALENQUER,31/05/1985 09:00,,,,,Lisboa
ALENQUER,01/06/1985 09:00,,,,,Lisboa
ALENQUER,02/06/1985 09:00,,,,,Lisboa
ALENQUER,03/06/1985 09:00,,,,,Lisboa
ALENQUER,04/06/1985 09:00,,,,,Lisboa
ALENQUER,05/06/1985 09:00,,,,,Lisboa
ALENQUER,06/06/1985 09:00,,,,,Lisboa
ALENQUER,07/06/1985 09:00,,,,,Lisboa
ALENQUER,08/06/1985 09:00,,,,,Lisboa
ALENQUER,09/06/1985 09:00,,,,,Lisboa
ALENQUER,10/06/1985 09:00,,,,,Lisboa
ALENQUER,11/06/1985 09:00,,,,,Lisboa
ALENQUER,12/06/1985 09:00,,,,,Lisboa
ALENQUER,13/06/1985 09:00,,,,,Lisboa
ALENQUER,14/06/1985 09:00,,,,,Lisboa
ALENQUER,15/06/1985 09:00,,,,,Lisboa
ALENQUER,16/06/1985 09:00,,,,,Lisboa
ALENQUER,17/06/1985 09:00,,,,,Lisboa
ALENQUER,18/06/1985 09:00,,,,,Lisboa
ALENQUER,19/06/1985 09:00,,,,,Lisboa
ALENQUER,20/06/1985 09:00,,,,,Lisboa
ALENQUER,21/06/1985 09:00,,,,,Lisboa
ALENQUER,22/06/1985 09:00,,,,,Lisboa
ALENQUER,23/06/1985 09:00,,,,,Lisboa
ALENQUER,24/06/1985 09:00,,,,,Lisboa
ALENQUER,25/06/1985 09:00,,,,,Lisboa
ALENQUER,26/06/1985 09:00,,,,,Lisboa
ALENQUER,27/06/1985 09:00,,,,,Lisboa
ALENQUER,28/06/1985 09:00,,,,,Lisboa
ALENQUER,29/06/1985 09:00,,,,,Lisboa
ALENQUER,30/06/1985 09:00,,,,,Lisboa
ALENQUER,01/07/1985 09:00,,,,,Lisboa
ALENQUER,02/07/1985 09:00,,,,,Lisboa
ALENQUER,03/07/1985 09:00,,,,,Lisboa
ALENQUER,04/07/1985 09:00,,,,,Lisboa
ALENQUER,05/07/1985 09:00,,,,,Lisboa
ALENQUER,06/07/1985 09:00,,,,,Lisboa
ALENQUER,07/07/1985 09:00,,,,,Lisboa
ALENQUER,08/07/1985 09:00,,,,,Lisboa
ALENQUER,09/07/1985 09:00,,,,,Lisboa
ALENQUER,10/07/1985 09:00,,,,,Lisboa
ALENQUER,11/07/1985 09:00,,,,,Lisboa
ALENQUER,12/07/1985 09:00,,,,,Lisboa
ALENQUER,13/07/1985 09:00,,,,,Lisboa
ALENQUER,14/07/1985 09:00,,,,,Lisboa
ALENQUER,15/07/1985 09:00,,,,,Lisboa
ALENQUER,16/07/1985 09:00,,,,,Lisboa
ALENQUER,17/07/1985 09:00,,,,,Lisboa
ALENQUER,18/07/1985 09:00,,,,,Lisboa
ALENQUER,19/07/1985 09:00,,,,,Lisboa
ALENQUER,20/07/1985 09:00,,,,,Lisboa
ALENQUER,21/07/1985 09:00,,,,,Lisboa
ALENQUER,22/07/1985 09:00,,,,,Lisboa
ALENQUER,23/07/1985 09:00,,,,,Lisboa
ALENQUER,24/07/1985 09:00,,,,,Lisboa
ALENQUER,25/07/1985 09:00,,,,,Lisboa
ALENQUER,26/07/1985 09:00,,,,,Lisboa
ALENQUER,27/07/1985 09:00,,,,,Lisboa
ALENQUER,28/07/1985 09:00,,,,,Lisboa
ALENQUER,29/07/1985 09:00,,,,,Lisboa
ALENQUER,30/07/1985 09:00,,,,,Lisboa
ALENQUER,31/07/1985 09:00,,,,,Lisboa
ALENQUER,01/08/1985 09:00,,,,,Lisboa
ALENQUER,02/08/1985 09:00,,,,,Lisboa
ALENQUER,03/08/1985 09:00,,,,,Lisboa
ALENQUER,04/08/1985 09:00,,,,,Lisboa
ALENQUER,05/08/1985 09:00,,,,,Lisboa
ALENQUER,06/08/1985 09:00,,,,,Lisboa
ALENQUER,07/08/1985 09:00,,,,,Lisboa
ALENQUER,08/08/1985 09:00,,,,,Lisboa
ALENQUER,09/08/1985 09:00,,,,,Lisboa
ALENQUER,10/08/1985 09:00,,,,,Lisboa
ALENQUER,11/08/1985 09:00,,,,,Lisboa
ALENQUER,12/08/1985 09:00,,,,,Lisboa
ALENQUER,13/08/1985 09:00,,,,,Lisboa
ALENQUER,14/08/1985 09:00,,,,,Lisboa
ALENQUER,15/08/1985 09:00,,,,,Lisboa
ALENQUER,16/08/1985 09:00,,,,,Lisboa
ALENQUER,17/08/1985 09:00,,,,,Lisboa
ALENQUER,18/08/1985 09:00,,,,,Lisboa
ALENQUER,19/08/1985 09:00,,,,,Lisboa
ALENQUER,20/08/1985 09:00,,,,,Lisboa
ALENQUER,21/08/1985 09:00,,,,,Lisboa
ALENQUER,22/08/1985 09:00,,,,,Lisboa
ALENQUER,23/08/1985 09:00,,,,,Lisboa
ALENQUER,24/08/1985 09:00,,,,,Lisboa
ALENQUER,25/08/1985 09:00,,,,,Lisboa
ALENQUER,26/08/1985 09:00,,,,,Lisboa
ALENQUER,27/08/1985 09:00,,,,,Lisboa
ALENQUER,28/08/1985 09:00,,,,,Lisboa
ALENQUER,29/08/1985 09:00,,,,,Lisboa
ALENQUER,30/08/1985 09:00,,,,,Lisboa
ALENQUER,31/08/1985 09:00,,,,,Lisboa
ALENQUER,01/09/1985 09:00,,,,,Lisboa
ALENQUER,02/09/1985 09:00,,,,,Lisboa
ALENQUER,03/09/1985 09:00,,,,,Lisboa
ALENQUER,04/09/1985 09:00,,,,,Lisboa
ALENQUER,05/09/1985 09:00,,,,,Lisboa
ALENQUER,06/09/1985 09:00,,,,,Lisboa
ALENQUER,07/09/1985 09:00,,,,,Lisboa
ALENQUER,08/09/1985 09:00,,,,,Lisboa
ALENQUER,09/09/1985 09:00,,,,,Lisboa
ALENQUER,10/09/1985 09:00,,,,,Lisboa
ALENQUER,11/09/1985 09:00,,,,,Lisboa
ALENQUER,12/09/1985 09:00,,,,,Lisboa
ALENQUER,13/09/1985 09:00,,,,,Lisboa
ALENQUER,14/09/1985 09:00,,,,,Lisboa
ALENQUER,15/09/1985 09:00,,,,,Lisboa
ALENQUER,16/09/1985 09:00,,,,,Lisboa
ALENQUER,17/09/1985 09:00,,,,,Lisboa
ALENQUER,18/09/1985 09:00,,,,,Lisboa
ALENQUER,19/09/1985 09:00,,,,,Lisboa
ALENQUER,20/09/1985 09:00,,,,,Lisboa
ALENQUER,21/09/1985 09:00,,,,,Lisboa
ALENQUER,22/09/1985 09:00,,,,,Lisboa
ALENQUER,23/09/1985 09:00,,,,,Lisboa
ALENQUER,24/09/1985 09:00,,,,,Lisboa
ALENQUER,25/09/1985 09:00,,,,,Lisboa
ALENQUER,26/09/1985 09:00,,,,,Lisboa
ALENQUER,27/09/1985 09:00,,,,,Lisboa
ALENQUER,28/09/1985 09:00,,,,,Lisboa
ALENQUER,29/09/1985 09:00,,,,,Lisboa
ALENQUER,30/09/1985 09:00,,,,,Lisboa
ALENQUER,01/10/1985 09:00,,,,,Lisboa
ALENQUER,02/10/1985 09:00,,,,,Lisboa
ALENQUER,03/10/1985 09:00,,,,,Lisboa
ALENQUER,04/10/1985 09:00,,,,,Lisboa
ALENQUER,05/10/1985 09:00,,,,,Lisboa
ALENQUER,06/10/1985 09:00,,,,,Lisboa
ALENQUER,07/10/1985 09:00,,,,,Lisboa
ALENQUER,08/10/1985 09:00,,,,,Lisboa
ALENQUER,09/10/1985 09:00,,,,,Lisboa
ALENQUER,10/10/1985 09:00,,,,,Lisboa
ALENQUER,11/10/1985 09:00,,,,,Lisboa
ALENQUER,12/10/1985 09:00,,,,,Lisboa
ALENQUER,13/10/1985 09:00,,,,,Lisboa
ALENQUER,14/10/1985 09:00,,,,,Lisboa
ALENQUER,15/10/1985 09:00,,,,,Lisboa
ALENQUER,16/10/1985 09:00,,,,,Lisboa
ALENQUER,17/10/1985 09:00,,,,,Lisboa
ALENQUER,18/10/1985 09:00,,,,,Lisboa
ALENQUER,19/10/1985 09:00,,,,,Lisboa
ALENQUER,20/10/1985 09:00,,,,,Lisboa
ALENQUER,21/10/1985 09:00,,,,,Lisboa
ALENQUER,22/10/1985 09:00,,,,,Lisboa
ALENQUER,23/10/1985 09:00,,,,,Lisboa
ALENQUER,24/10/1985 09:00,,,,,Lisboa
ALENQUER,25/10/1985 09:00,,,,,Lisboa
ALENQUER,26/10/1985 09:00,,,,,Lisboa
ALENQUER,27/10/1985 09:00,,,,,Lisboa
ALENQUER,28/10/1985 09:00,,,,,Lisboa
ALENQUER,29/10/1985 09:00,,,,,Lisboa
