Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
ALFÂNDEGA DA FÉ,01/05/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,02/05/1985 09:00,,4.0,,,Bragança
ALFÂNDEGA DA FÉ,03/05/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,04/05/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,05/05/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,06/05/1985 09:00,,4.0,,,Bragança
ALFÂNDEGA DA FÉ,07/05/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,08/05/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,09/05/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,10/05/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,11/05/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,12/05/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,13/05/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,14/05/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,15/05/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,16/05/1985 09:00,,11.0,,,Bragança
ALFÂNDEGA DA FÉ,17/05/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,18/05/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,19/05/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,20/05/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,21/05/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,22/05/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,23/05/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,24/05/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,25/05/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,26/05/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,27/05/1985 09:00,,10.0,,,Bragança
ALFÂNDEGA DA FÉ,28/05/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,29/05/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,30/05/1985 09:00,,9.0,,,Bragança
ALFÂNDEGA DA FÉ,31/05/1985 09:00,,16.5,,,Bragança
ALFÂNDEGA DA FÉ,01/06/1985 09:00,,22.5,,,Bragança
ALFÂNDEGA DA FÉ,02/06/1985 09:00,,3.0,,,Bragança
ALFÂNDEGA DA FÉ,03/06/1985 09:00,,15.0,,,Bragança
ALFÂNDEGA DA FÉ,04/06/1985 09:00,,1.5,,,Bragança
ALFÂNDEGA DA FÉ,05/06/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,06/06/1985 09:00,,2.0,,,Bragança
ALFÂNDEGA DA FÉ,07/06/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,08/06/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,09/06/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,10/06/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,11/06/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,12/06/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,13/06/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,14/06/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,15/06/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,16/06/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,17/06/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,18/06/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,19/06/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,20/06/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,21/06/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,22/06/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,23/06/1985 09:00,,0.0,,,Bragança
ALFÂNDEGA DA FÉ,24/06/1985 09:00,,0.0,,,Bragança
