Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
ALGERIZ,01/05/1985 09:00,,,,,Vila Real
ALGERIZ,02/05/1985 09:00,,,,,Vila Real
ALGERIZ,03/05/1985 09:00,,,,,Vila Real
ALGERIZ,04/05/1985 09:00,,,,,Vila Real
ALGERIZ,05/05/1985 09:00,,,,,Vila Real
ALGERIZ,06/05/1985 09:00,,,,,Vila Real
ALGERIZ,07/05/1985 09:00,,,,,Vila Real
ALGERIZ,08/05/1985 09:00,,,,,Vila Real
ALGERIZ,09/05/1985 09:00,,,,,Vila Real
ALGERIZ,10/05/1985 09:00,,,,,Vila Real
ALGERIZ,11/05/1985 09:00,,,,,Vila Real
ALGERIZ,12/05/1985 09:00,,,,,Vila Real
ALGERIZ,13/05/1985 09:00,,,,,Vila Real
ALGERIZ,14/05/1985 09:00,,,,,Vila Real
ALGERIZ,15/05/1985 09:00,,,,,Vila Real
ALGERIZ,16/05/1985 09:00,,,,,Vila Real
ALGERIZ,17/05/1985 09:00,,,,,Vila Real
ALGERIZ,18/05/1985 09:00,,,,,Vila Real
ALGERIZ,19/05/1985 09:00,,,,,Vila Real
ALGERIZ,20/05/1985 09:00,,,,,Vila Real
ALGERIZ,21/05/1985 09:00,,,,,Vila Real
ALGERIZ,22/05/1985 09:00,,,,,Vila Real
ALGERIZ,23/05/1985 09:00,,,,,Vila Real
ALGERIZ,24/05/1985 09:00,,,,,Vila Real
ALGERIZ,25/05/1985 09:00,,,,,Vila Real
ALGERIZ,26/05/1985 09:00,,,,,Vila Real
ALGERIZ,27/05/1985 09:00,,,,,Vila Real
ALGERIZ,28/05/1985 09:00,,,,,Vila Real
ALGERIZ,29/05/1985 09:00,,,,,Vila Real
ALGERIZ,30/05/1985 09:00,,,,,Vila Real
ALGERIZ,31/05/1985 09:00,,,,,Vila Real
ALGERIZ,01/06/1985 09:00,,,,,Vila Real
ALGERIZ,02/06/1985 09:00,,,,,Vila Real
ALGERIZ,03/06/1985 09:00,,,,,Vila Real
ALGERIZ,04/06/1985 09:00,,,,,Vila Real
ALGERIZ,05/06/1985 09:00,,,,,Vila Real
ALGERIZ,06/06/1985 09:00,,,,,Vila Real
ALGERIZ,07/06/1985 09:00,,,,,Vila Real
ALGERIZ,08/06/1985 09:00,,,,,Vila Real
ALGERIZ,09/06/1985 09:00,,,,,Vila Real
ALGERIZ,10/06/1985 09:00,,,,,Vila Real
ALGERIZ,11/06/1985 09:00,,,,,Vila Real
ALGERIZ,12/06/1985 09:00,,,,,Vila Real
ALGERIZ,13/06/1985 09:00,,,,,Vila Real
ALGERIZ,14/06/1985 09:00,,,,,Vila Real
ALGERIZ,15/06/1985 09:00,,,,,Vila Real
ALGERIZ,16/06/1985 09:00,,,,,Vila Real
ALGERIZ,17/06/1985 09:00,,,,,Vila Real
ALGERIZ,18/06/1985 09:00,,,,,Vila Real
ALGERIZ,19/06/1985 09:00,,,,,Vila Real
ALGERIZ,20/06/1985 09:00,,,,,Vila Real
ALGERIZ,21/06/1985 09:00,,,,,Vila Real
ALGERIZ,22/06/1985 09:00,,,,,Vila Real
ALGERIZ,23/06/1985 09:00,,,,,Vila Real
ALGERIZ,24/06/1985 09:00,,,,,Vila Real
ALGERIZ,25/06/1985 09:00,,,,,Vila Real
ALGERIZ,26/06/1985 09:00,,,,,Vila Real
ALGERIZ,27/06/1985 09:00,,,,,Vila Real
ALGERIZ,28/06/1985 09:00,,,,,Vila Real
ALGERIZ,29/06/1985 09:00,,,,,Vila Real
ALGERIZ,30/06/1985 09:00,,,,,Vila Real
ALGERIZ,01/07/1985 09:00,,,,,Vila Real
ALGERIZ,02/07/1985 09:00,,,,,Vila Real
ALGERIZ,03/07/1985 09:00,,,,,Vila Real
ALGERIZ,04/07/1985 09:00,,,,,Vila Real
ALGERIZ,05/07/1985 09:00,,,,,Vila Real
ALGERIZ,06/07/1985 09:00,,,,,Vila Real
ALGERIZ,07/07/1985 09:00,,,,,Vila Real
ALGERIZ,08/07/1985 09:00,,,,,Vila Real
ALGERIZ,09/07/1985 09:00,,,,,Vila Real
ALGERIZ,10/07/1985 09:00,,,,,Vila Real
ALGERIZ,11/07/1985 09:00,,,,,Vila Real
ALGERIZ,12/07/1985 09:00,,,,,Vila Real
ALGERIZ,13/07/1985 09:00,,,,,Vila Real
ALGERIZ,14/07/1985 09:00,,,,,Vila Real
ALGERIZ,15/07/1985 09:00,,,,,Vila Real
ALGERIZ,16/07/1985 09:00,,,,,Vila Real
ALGERIZ,17/07/1985 09:00,,,,,Vila Real
ALGERIZ,18/07/1985 09:00,,,,,Vila Real
ALGERIZ,19/07/1985 09:00,,,,,Vila Real
ALGERIZ,20/07/1985 09:00,,,,,Vila Real
ALGERIZ,21/07/1985 09:00,,,,,Vila Real
ALGERIZ,22/07/1985 09:00,,,,,Vila Real
ALGERIZ,23/07/1985 09:00,,,,,Vila Real
ALGERIZ,24/07/1985 09:00,,,,,Vila Real
ALGERIZ,25/07/1985 09:00,,,,,Vila Real
ALGERIZ,26/07/1985 09:00,,,,,Vila Real
ALGERIZ,27/07/1985 09:00,,,,,Vila Real
ALGERIZ,28/07/1985 09:00,,,,,Vila Real
ALGERIZ,29/07/1985 09:00,,,,,Vila Real
ALGERIZ,30/07/1985 09:00,,,,,Vila Real
ALGERIZ,31/07/1985 09:00,,,,,Vila Real
ALGERIZ,01/08/1985 09:00,,,,,Vila Real
ALGERIZ,02/08/1985 09:00,,,,,Vila Real
ALGERIZ,03/08/1985 09:00,,,,,Vila Real
ALGERIZ,04/08/1985 09:00,,,,,Vila Real
ALGERIZ,05/08/1985 09:00,,,,,Vila Real
ALGERIZ,06/08/1985 09:00,,,,,Vila Real
ALGERIZ,07/08/1985 09:00,,,,,Vila Real
ALGERIZ,08/08/1985 09:00,,,,,Vila Real
ALGERIZ,09/08/1985 09:00,,,,,Vila Real
ALGERIZ,10/08/1985 09:00,,,,,Vila Real
ALGERIZ,11/08/1985 09:00,,,,,Vila Real
ALGERIZ,12/08/1985 09:00,,,,,Vila Real
ALGERIZ,13/08/1985 09:00,,,,,Vila Real
ALGERIZ,14/08/1985 09:00,,,,,Vila Real
ALGERIZ,15/08/1985 09:00,,,,,Vila Real
ALGERIZ,16/08/1985 09:00,,,,,Vila Real
ALGERIZ,17/08/1985 09:00,,,,,Vila Real
ALGERIZ,18/08/1985 09:00,,,,,Vila Real
ALGERIZ,19/08/1985 09:00,,,,,Vila Real
ALGERIZ,20/08/1985 09:00,,,,,Vila Real
ALGERIZ,21/08/1985 09:00,,,,,Vila Real
ALGERIZ,22/08/1985 09:00,,,,,Vila Real
ALGERIZ,23/08/1985 09:00,,,,,Vila Real
ALGERIZ,24/08/1985 09:00,,,,,Vila Real
ALGERIZ,25/08/1985 09:00,,,,,Vila Real
ALGERIZ,26/08/1985 09:00,,,,,Vila Real
ALGERIZ,27/08/1985 09:00,,,,,Vila Real
ALGERIZ,28/08/1985 09:00,,,,,Vila Real
ALGERIZ,29/08/1985 09:00,,,,,Vila Real
ALGERIZ,30/08/1985 09:00,,,,,Vila Real
ALGERIZ,31/08/1985 09:00,,,,,Vila Real
ALGERIZ,01/09/1985 09:00,,,,,Vila Real
ALGERIZ,02/09/1985 09:00,,,,,Vila Real
ALGERIZ,03/09/1985 09:00,,,,,Vila Real
ALGERIZ,04/09/1985 09:00,,,,,Vila Real
ALGERIZ,05/09/1985 09:00,,,,,Vila Real
ALGERIZ,06/09/1985 09:00,,,,,Vila Real
ALGERIZ,07/09/1985 09:00,,,,,Vila Real
ALGERIZ,08/09/1985 09:00,,,,,Vila Real
ALGERIZ,09/09/1985 09:00,,,,,Vila Real
ALGERIZ,10/09/1985 09:00,,,,,Vila Real
ALGERIZ,11/09/1985 09:00,,,,,Vila Real
ALGERIZ,12/09/1985 09:00,,,,,Vila Real
ALGERIZ,13/09/1985 09:00,,,,,Vila Real
ALGERIZ,14/09/1985 09:00,,,,,Vila Real
ALGERIZ,15/09/1985 09:00,,,,,Vila Real
ALGERIZ,16/09/1985 09:00,,,,,Vila Real
ALGERIZ,17/09/1985 09:00,,,,,Vila Real
ALGERIZ,18/09/1985 09:00,,,,,Vila Real
ALGERIZ,19/09/1985 09:00,,,,,Vila Real
ALGERIZ,20/09/1985 09:00,,,,,Vila Real
ALGERIZ,21/09/1985 09:00,,,,,Vila Real
ALGERIZ,22/09/1985 09:00,,,,,Vila Real
ALGERIZ,23/09/1985 09:00,,,,,Vila Real
ALGERIZ,24/09/1985 09:00,,,,,Vila Real
ALGERIZ,25/09/1985 09:00,,,,,Vila Real
ALGERIZ,26/09/1985 09:00,,,,,Vila Real
ALGERIZ,27/09/1985 09:00,,,,,Vila Real
ALGERIZ,28/09/1985 09:00,,,,,Vila Real
ALGERIZ,29/09/1985 09:00,,,,,Vila Real
ALGERIZ,30/09/1985 09:00,,,,,Vila Real
ALGERIZ,01/10/1985 09:00,,,,,Vila Real
ALGERIZ,02/10/1985 09:00,,,,,Vila Real
ALGERIZ,03/10/1985 09:00,,,,,Vila Real
ALGERIZ,04/10/1985 09:00,,,,,Vila Real
ALGERIZ,05/10/1985 09:00,,,,,Vila Real
ALGERIZ,06/10/1985 09:00,,,,,Vila Real
ALGERIZ,07/10/1985 09:00,,,,,Vila Real
ALGERIZ,08/10/1985 09:00,,,,,Vila Real
ALGERIZ,09/10/1985 09:00,,,,,Vila Real
ALGERIZ,10/10/1985 09:00,,,,,Vila Real
ALGERIZ,11/10/1985 09:00,,,,,Vila Real
ALGERIZ,12/10/1985 09:00,,,,,Vila Real
ALGERIZ,13/10/1985 09:00,,,,,Vila Real
ALGERIZ,14/10/1985 09:00,,,,,Vila Real
ALGERIZ,15/10/1985 09:00,,,,,Vila Real
ALGERIZ,16/10/1985 09:00,,,,,Vila Real
