Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
ALVAIÁZERE,01/05/1985 09:00,,0.0,,,Leiria
ALVAIÁZERE,02/05/1985 09:00,,0.0,,,Leiria
ALVAIÁZERE,03/05/1985 09:00,,5.5,,,Leiria
ALVAIÁZERE,04/05/1985 09:00,,0.0,,,Leiria
ALVAIÁZERE,05/05/1985 09:00,,1.5,,,Leiria
ALVAIÁZERE,06/05/1985 09:00,,13.0,,,Leiria
ALVAIÁZERE,07/05/1985 09:00,,13.3,,,Leiria
ALVAIÁZERE,08/05/1985 09:00,,0.0,,,Leiria
ALVAIÁZERE,09/05/1985 09:00,,0.0,,,Leiria
ALVAIÁZERE,10/05/1985 09:00,,0.0,,,Leiria
ALVAIÁZERE,11/05/1985 09:00,,0.0,,,Leiria
ALVAIÁZERE,12/05/1985 09:00,,0.0,,,Leiria
ALVAIÁZERE,13/05/1985 09:00,,0.0,,,Leiria
ALVAIÁZERE,14/05/1985 09:00,,0.0,,,Leiria
ALVAIÁZERE,15/05/1985 09:00,,0.1,,,Leiria
ALVAIÁZERE,16/05/1985 09:00,,7.0,,,Leiria
ALVAIÁZERE,17/05/1985 09:00,,0.0,,,Leiria
ALVAIÁZERE,18/05/1985 09:00,,0.0,,,Leiria
ALVAIÁZERE,19/05/1985 09:00,,0.5,,,Leiria
ALVAIÁZERE,20/05/1985 09:00,,3.0,,,Leiria
ALVAIÁZERE,21/05/1985 09:00,,0.0,,,Leiria
ALVAIÁZERE,22/05/1985 09:00,,0.0,,,Leiria
ALVAIÁZERE,23/05/1985 09:00,,0.0,,,Leiria
ALVAIÁZERE,24/05/1985 09:00,,0.0,,,Leiria
ALVAIÁZERE,25/05/1985 09:00,,0.0,,,Leiria
ALVAIÁZERE,26/05/1985 09:00,,10.0,,,Leiria
ALVAIÁZERE,27/05/1985 09:00,,18.5,,,Leiria
ALVAIÁZERE,28/05/1985 09:00,,0.0,,,Leiria
ALVAIÁZERE,29/05/1985 09:00,,0.0,,,Leiria
ALVAIÁZERE,30/05/1985 09:00,,5.0,,,Leiria
ALVAIÁZERE,31/05/1985 09:00,,0.0,,,Leiria
