Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
ALVITO,01/05/1985 09:00,,0.0,,,Beja
ALVITO,02/05/1985 09:00,,0.6,,,Beja
ALVITO,03/05/1985 09:00,,0.6,,,Beja
ALVITO,04/05/1985 09:00,,1.2,,,Beja
ALVITO,05/05/1985 09:00,,0.1,,,Beja
ALVITO,06/05/1985 09:00,,0.1,,,Beja
ALVITO,07/05/1985 09:00,,7.0,,,Beja
ALVITO,08/05/1985 09:00,,0.0,,,Beja
ALVITO,09/05/1985 09:00,,0.0,,,Beja
ALVITO,10/05/1985 09:00,,0.0,,,Beja
ALVITO,11/05/1985 09:00,,0.0,,,Beja
ALVITO,12/05/1985 09:00,,0.0,,,Beja
ALVITO,13/05/1985 09:00,,0.0,,,Beja
ALVITO,14/05/1985 09:00,,0.0,,,Beja
ALVITO,15/05/1985 09:00,,0.0,,,Beja
ALVITO,16/05/1985 09:00,,1.4,,,Beja
ALVITO,17/05/1985 09:00,,0.0,,,Beja
ALVITO,18/05/1985 09:00,,0.0,,,Beja
ALVITO,19/05/1985 09:00,,0.0,,,Beja
ALVITO,20/05/1985 09:00,,0.0,,,Beja
ALVITO,21/05/1985 09:00,,0.0,,,Beja
ALVITO,22/05/1985 09:00,,0.0,,,Beja
ALVITO,23/05/1985 09:00,,0.0,,,Beja
ALVITO,24/05/1985 09:00,,0.0,,,Beja
ALVITO,25/05/1985 09:00,,0.0,,,Beja
ALVITO,26/05/1985 09:00,,4.3,,,Beja
ALVITO,27/05/1985 09:00,,0.0,,,Beja
ALVITO,28/05/1985 09:00,,0.0,,,Beja
ALVITO,29/05/1985 09:00,,0.4,,,Beja
ALVITO,30/05/1985 09:00,,0.0,,,Beja
ALVITO,31/05/1985 09:00,,4.9,,,Beja
ALVITO,01/06/1985 09:00,,0.0,,,Beja
ALVITO,02/06/1985 09:00,,7.6,,,Beja
ALVITO,03/06/1985 09:00,,0.0,,,Beja
ALVITO,04/06/1985 09:00,,0.0,,,Beja
ALVITO,05/06/1985 09:00,,0.0,,,Beja
ALVITO,06/06/1985 09:00,,0.0,,,Beja
ALVITO,07/06/1985 09:00,,0.0,,,Beja
ALVITO,08/06/1985 09:00,,0.0,,,Beja
ALVITO,09/06/1985 09:00,,0.0,,,Beja
ALVITO,10/06/1985 09:00,,0.0,,,Beja
ALVITO,11/06/1985 09:00,,0.0,,,Beja
ALVITO,12/06/1985 09:00,,0.0,,,Beja
ALVITO,13/06/1985 09:00,,0.0,,,Beja
ALVITO,14/06/1985 09:00,,0.0,,,Beja
ALVITO,15/06/1985 09:00,,0.0,,,Beja
ALVITO,16/06/1985 09:00,,0.0,,,Beja
ALVITO,17/06/1985 09:00,,0.0,,,Beja
ALVITO,18/06/1985 09:00,,0.0,,,Beja
ALVITO,19/06/1985 09:00,,0.0,,,Beja
ALVITO,20/06/1985 09:00,,0.0,,,Beja
ALVITO,21/06/1985 09:00,,0.0,,,Beja
ALVITO,22/06/1985 09:00,,0.0,,,Beja
ALVITO,23/06/1985 09:00,,0.0,,,Beja
ALVITO,24/06/1985 09:00,,0.0,,,Beja
ALVITO,25/06/1985 09:00,,0.0,,,Beja
ALVITO,26/06/1985 09:00,,0.0,,,Beja
ALVITO,27/06/1985 09:00,,0.0,,,Beja
ALVITO,28/06/1985 09:00,,0.0,,,Beja
ALVITO,29/06/1985 09:00,,0.0,,,Beja
ALVITO,30/06/1985 09:00,,0.0,,,Beja
ALVITO,01/07/1985 09:00,,0.0,,,Beja
ALVITO,02/07/1985 09:00,,0.0,,,Beja
ALVITO,03/07/1985 09:00,,4.8,,,Beja
ALVITO,04/07/1985 09:00,,0.0,,,Beja
ALVITO,05/07/1985 09:00,,0.0,,,Beja
ALVITO,06/07/1985 09:00,,0.0,,,Beja
ALVITO,07/07/1985 09:00,,0.0,,,Beja
ALVITO,08/07/1985 09:00,,0.0,,,Beja
ALVITO,09/07/1985 09:00,,0.0,,,Beja
ALVITO,10/07/1985 09:00,,0.0,,,Beja
ALVITO,11/07/1985 09:00,,0.0,,,Beja
ALVITO,12/07/1985 09:00,,0.0,,,Beja
ALVITO,13/07/1985 09:00,,0.0,,,Beja
ALVITO,14/07/1985 09:00,,0.0,,,Beja
ALVITO,15/07/1985 09:00,,0.0,,,Beja
ALVITO,16/07/1985 09:00,,0.0,,,Beja
ALVITO,17/07/1985 09:00,,0.0,,,Beja
ALVITO,18/07/1985 09:00,,0.0,,,Beja
ALVITO,19/07/1985 09:00,,0.0,,,Beja
ALVITO,20/07/1985 09:00,,0.0,,,Beja
ALVITO,21/07/1985 09:00,,0.0,,,Beja
ALVITO,22/07/1985 09:00,,0.0,,,Beja
ALVITO,23/07/1985 09:00,,0.0,,,Beja
ALVITO,24/07/1985 09:00,,0.0,,,Beja
ALVITO,25/07/1985 09:00,,0.0,,,Beja
ALVITO,26/07/1985 09:00,,0.0,,,Beja
ALVITO,27/07/1985 09:00,,0.0,,,Beja
ALVITO,28/07/1985 09:00,,0.0,,,Beja
ALVITO,29/07/1985 09:00,,0.0,,,Beja
ALVITO,30/07/1985 09:00,,0.4,,,Beja
ALVITO,31/07/1985 09:00,,0.0,,,Beja
ALVITO,01/08/1985 09:00,,0.0,,,Beja
ALVITO,02/08/1985 09:00,,0.0,,,Beja
ALVITO,03/08/1985 09:00,,0.0,,,Beja
ALVITO,04/08/1985 09:00,,0.0,,,Beja
ALVITO,05/08/1985 09:00,,0.0,,,Beja
ALVITO,06/08/1985 09:00,,0.0,,,Beja
ALVITO,07/08/1985 09:00,,0.0,,,Beja
ALVITO,08/08/1985 09:00,,0.0,,,Beja
ALVITO,09/08/1985 09:00,,0.0,,,Beja
ALVITO,10/08/1985 09:00,,0.0,,,Beja
ALVITO,11/08/1985 09:00,,0.0,,,Beja
ALVITO,12/08/1985 09:00,,0.0,,,Beja
ALVITO,13/08/1985 09:00,,0.0,,,Beja
ALVITO,14/08/1985 09:00,,0.0,,,Beja
ALVITO,15/08/1985 09:00,,0.0,,,Beja
ALVITO,16/08/1985 09:00,,0.0,,,Beja
ALVITO,17/08/1985 09:00,,0.0,,,Beja
ALVITO,18/08/1985 09:00,,0.0,,,Beja
ALVITO,19/08/1985 09:00,,0.0,,,Beja
ALVITO,20/08/1985 09:00,,0.0,,,Beja
ALVITO,21/08/1985 09:00,,0.0,,,Beja
ALVITO,22/08/1985 09:00,,0.0,,,Beja
ALVITO,23/08/1985 09:00,,0.0,,,Beja
ALVITO,24/08/1985 09:00,,0.0,,,Beja
ALVITO,25/08/1985 09:00,,0.0,,,Beja
ALVITO,26/08/1985 09:00,,0.0,,,Beja
ALVITO,27/08/1985 09:00,,0.0,,,Beja
ALVITO,28/08/1985 09:00,,0.0,,,Beja
ALVITO,29/08/1985 09:00,,0.0,,,Beja
ALVITO,30/08/1985 09:00,,0.0,,,Beja
ALVITO,31/08/1985 09:00,,0.0,,,Beja
ALVITO,01/09/1985 09:00,,0.0,,,Beja
ALVITO,02/09/1985 09:00,,0.0,,,Beja
ALVITO,03/09/1985 09:00,,0.0,,,Beja
ALVITO,04/09/1985 09:00,,0.0,,,Beja
ALVITO,05/09/1985 09:00,,0.0,,,Beja
ALVITO,06/09/1985 09:00,,0.0,,,Beja
ALVITO,07/09/1985 09:00,,0.0,,,Beja
ALVITO,08/09/1985 09:00,,0.0,,,Beja
ALVITO,09/09/1985 09:00,,0.0,,,Beja
ALVITO,10/09/1985 09:00,,0.0,,,Beja
ALVITO,11/09/1985 09:00,,0.0,,,Beja
ALVITO,12/09/1985 09:00,,0.0,,,Beja
ALVITO,13/09/1985 09:00,,0.0,,,Beja
ALVITO,14/09/1985 09:00,,0.0,,,Beja
ALVITO,15/09/1985 09:00,,0.0,,,Beja
ALVITO,16/09/1985 09:00,,0.0,,,Beja
ALVITO,17/09/1985 09:00,,0.0,,,Beja
ALVITO,18/09/1985 09:00,,0.0,,,Beja
ALVITO,19/09/1985 09:00,,0.0,,,Beja
ALVITO,20/09/1985 09:00,,0.0,,,Beja
