Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
AMIEIRA,01/05/1985 09:00,61.0,0.0,18.0,,Castelo Branco
AMIEIRA,02/05/1985 09:00,80.0,0.6,13.75,,Castelo Branco
AMIEIRA,03/05/1985 09:00,89.0,6.6,14.75,,Castelo Branco
AMIEIRA,04/05/1985 09:00,79.0,2.4,16.75,,Castelo Branco
AMIEIRA,05/05/1985 09:00,68.0,0.0,13.25,,Castelo Branco
AMIEIRA,06/05/1985 09:00,70.0,0.0,9.75,,Castelo Branco
AMIEIRA,07/05/1985 09:00,65.0,16.2,11.25,,Castelo Branco
AMIEIRA,08/05/1985 09:00,78.0,0.0,12.5,,Castelo Branco
AMIEIRA,09/05/1985 09:00,78.0,0.0,15.75,,Castelo Branco
AMIEIRA,10/05/1985 09:00,79.0,0.0,13.75,,Castelo Branco
AMIEIRA,11/05/1985 09:00,78.0,0.0,13.5,,Castelo Branco
AMIEIRA,12/05/1985 09:00,68.0,0.0,13.0,,Castelo Branco
AMIEIRA,13/05/1985 09:00,73.0,0.0,13.75,,Castelo Branco
AMIEIRA,14/05/1985 09:00,72.0,0.0,12.25,,Castelo Branco
AMIEIRA,15/05/1985 09:00,83.0,0.0,12.0,,Castelo Branco
AMIEIRA,16/05/1985 09:00,67.0,1.2,12.25,,Castelo Branco
AMIEIRA,17/05/1985 09:00,89.0,0.0,15.75,,Castelo Branco
AMIEIRA,18/05/1985 09:00,56.0,0.0,14.5,,Castelo Branco
AMIEIRA,19/05/1985 09:00,67.0,0.0,16.75,,Castelo Branco
AMIEIRA,20/05/1985 09:00,83.0,7.2,16.5,,Castelo Branco
AMIEIRA,21/05/1985 09:00,73.0,0.0,13.75,,Castelo Branco
AMIEIRA,22/05/1985 09:00,70.0,0.0,15.25,,Castelo Branco
AMIEIRA,23/05/1985 09:00,69.0,0.0,13.75,,Castelo Branco
AMIEIRA,24/05/1985 09:00,65.0,0.0,12.75,,Castelo Branco
AMIEIRA,25/05/1985 09:00,75.0,0.0,14.75,,Castelo Branco
AMIEIRA,26/05/1985 09:00,89.0,3.8,16.75,,Castelo Branco
AMIEIRA,27/05/1985 09:00,89.0,2.8,16.25,,Castelo Branco
AMIEIRA,28/05/1985 09:00,63.0,0.0,16.5,,Castelo Branco
AMIEIRA,29/05/1985 09:00,89.0,0.0,18.0,,Castelo Branco
AMIEIRA,30/05/1985 09:00,73.0,0.0,18.75,,Castelo Branco
AMIEIRA,31/05/1985 09:00,86.0,0.0,20.75,,Castelo Branco
AMIEIRA,01/06/1985 09:00,76.0,4.6,16.0,,Castelo Branco
AMIEIRA,02/06/1985 09:00,100.0,7.2,17.0,,Castelo Branco
AMIEIRA,03/06/1985 09:00,89.0,0.0,15.75,,Castelo Branco
AMIEIRA,04/06/1985 09:00,76.0,0.0,15.75,,Castelo Branco
AMIEIRA,05/06/1985 09:00,77.0,0.0,19.25,,Castelo Branco
AMIEIRA,06/06/1985 09:00,85.0,0.0,16.25,,Castelo Branco
AMIEIRA,07/06/1985 09:00,81.0,0.0,18.0,,Castelo Branco
AMIEIRA,08/06/1985 09:00,76.0,0.0,18.0,,Castelo Branco
AMIEIRA,09/06/1985 09:00,73.0,0.0,20.25,,Castelo Branco
AMIEIRA,10/06/1985 09:00,70.0,0.0,21.75,,Castelo Branco
AMIEIRA,11/06/1985 09:00,84.0,0.0,23.25,,Castelo Branco
AMIEIRA,12/06/1985 09:00,88.0,0.0,19.75,,Castelo Branco
AMIEIRA,13/06/1985 09:00,77.0,0.0,18.5,,Castelo Branco
AMIEIRA,14/06/1985 09:00,73.0,0.0,19.25,,Castelo Branco
AMIEIRA,15/06/1985 09:00,82.0,0.0,21.25,,Castelo Branco
AMIEIRA,16/06/1985 09:00,87.0,0.0,20.0,,Castelo Branco
AMIEIRA,17/06/1985 09:00,65.0,0.0,24.25,,Castelo Branco
AMIEIRA,18/06/1985 09:00,87.0,0.0,24.0,,Castelo Branco
AMIEIRA,19/06/1985 09:00,91.0,0.0,21.75,,Castelo Branco
AMIEIRA,20/06/1985 09:00,82.0,0.0,22.25,,Castelo Branco
AMIEIRA,21/06/1985 09:00,91.0,0.0,21.0,,Castelo Branco
AMIEIRA,22/06/1985 09:00,86.0,0.0,20.5,,Castelo Branco
AMIEIRA,23/06/1985 09:00,91.0,0.0,20.5,,Castelo Branco
AMIEIRA,24/06/1985 09:00,78.0,0.0,21.0,,Castelo Branco
AMIEIRA,25/06/1985 09:00,88.0,0.0,21.0,,Castelo Branco
AMIEIRA,26/06/1985 09:00,88.0,0.0,21.5,,Castelo Branco
AMIEIRA,27/06/1985 09:00,92.0,0.0,22.75,,Castelo Branco
AMIEIRA,28/06/1985 09:00,92.0,0.0,25.5,,Castelo Branco
AMIEIRA,29/06/1985 09:00,84.0,0.0,21.5,,Castelo Branco
AMIEIRA,30/06/1985 09:00,92.0,0.0,23.5,,Castelo Branco
AMIEIRA,01/07/1985 09:00,88.0,0.0,22.75,,Castelo Branco
AMIEIRA,02/07/1985 09:00,82.0,0.0,20.0,,Castelo Branco
AMIEIRA,03/07/1985 09:00,76.0,0.8,19.5,,Castelo Branco
AMIEIRA,04/07/1985 09:00,81.0,0.0,22.25,,Castelo Branco
AMIEIRA,05/07/1985 09:00,74.0,0.0,26.25,,Castelo Branco
AMIEIRA,06/07/1985 09:00,96.0,0.0,28.25,,Castelo Branco
AMIEIRA,07/07/1985 09:00,82.0,0.0,29.25,,Castelo Branco
AMIEIRA,08/07/1985 09:00,91.0,0.0,26.25,,Castelo Branco
AMIEIRA,09/07/1985 09:00,82.0,0.0,23.25,,Castelo Branco
AMIEIRA,10/07/1985 09:00,75.0,0.0,23.5,,Castelo Branco
AMIEIRA,11/07/1985 09:00,82.0,0.0,26.5,,Castelo Branco
AMIEIRA,12/07/1985 09:00,79.0,0.0,25.5,,Castelo Branco
AMIEIRA,13/07/1985 09:00,91.0,0.0,24.5,,Castelo Branco
AMIEIRA,14/07/1985 09:00,87.0,0.0,24.75,,Castelo Branco
AMIEIRA,15/07/1985 09:00,82.0,0.0,21.5,,Castelo Branco
AMIEIRA,16/07/1985 09:00,82.0,0.0,22.25,,Castelo Branco
AMIEIRA,17/07/1985 09:00,84.0,0.0,25.5,,Castelo Branco
AMIEIRA,18/07/1985 09:00,86.0,0.0,24.5,,Castelo Branco
AMIEIRA,19/07/1985 09:00,79.0,0.0,26.5,,Castelo Branco
AMIEIRA,20/07/1985 09:00,75.0,0.0,26.75,,Castelo Branco
AMIEIRA,21/07/1985 09:00,92.0,0.0,24.0,,Castelo Branco
AMIEIRA,22/07/1985 09:00,75.0,0.0,28.0,,Castelo Branco
AMIEIRA,23/07/1985 09:00,78.0,0.0,30.0,,Castelo Branco
AMIEIRA,24/07/1985 09:00,93.0,0.0,30.0,,Castelo Branco
AMIEIRA,25/07/1985 09:00,80.0,0.0,25.25,,Castelo Branco
AMIEIRA,26/07/1985 09:00,82.0,0.0,21.0,,Castelo Branco
AMIEIRA,27/07/1985 09:00,91.0,0.0,19.5,,Castelo Branco
AMIEIRA,28/07/1985 09:00,91.0,0.0,20.0,,Castelo Branco
AMIEIRA,29/07/1985 09:00,91.0,0.0,22.75,,Castelo Branco
AMIEIRA,30/07/1985 09:00,91.0,0.0,18.25,,Castelo Branco
AMIEIRA,31/07/1985 09:00,87.0,0.0,19.5,,Castelo Branco
AMIEIRA,01/08/1985 09:00,83.0,0.0,24.75,,Castelo Branco
AMIEIRA,02/08/1985 09:00,80.0,0.0,26.75,,Castelo Branco
AMIEIRA,03/08/1985 09:00,92.0,0.0,28.75,,Castelo Branco
AMIEIRA,04/08/1985 09:00,89.0,0.0,31.25,,Castelo Branco
AMIEIRA,05/08/1985 09:00,92.0,0.0,25.0,,Castelo Branco
AMIEIRA,06/08/1985 09:00,91.0,0.0,21.0,,Castelo Branco
AMIEIRA,07/08/1985 09:00,32.0,0.0,22.5,,Castelo Branco
AMIEIRA,08/08/1985 09:00,36.0,0.0,19.75,,Castelo Branco
AMIEIRA,09/08/1985 09:00,64.0,0.0,23.0,,Castelo Branco
AMIEIRA,10/08/1985 09:00,48.0,0.0,22.25,,Castelo Branco
AMIEIRA,11/08/1985 09:00,57.0,0.0,21.75,,Castelo Branco
AMIEIRA,12/08/1985 09:00,63.0,0.0,21.0,,Castelo Branco
AMIEIRA,13/08/1985 09:00,39.0,0.0,23.0,,Castelo Branco
AMIEIRA,14/08/1985 09:00,63.0,0.0,23.75,,Castelo Branco
AMIEIRA,15/08/1985 09:00,67.0,0.0,23.5,,Castelo Branco
AMIEIRA,16/08/1985 09:00,71.0,0.0,18.75,,Castelo Branco
AMIEIRA,17/08/1985 09:00,58.0,0.0,25.0,,Castelo Branco
AMIEIRA,18/08/1985 09:00,59.0,0.0,26.25,,Castelo Branco
AMIEIRA,19/08/1985 09:00,63.0,0.0,21.25,,Castelo Branco
AMIEIRA,20/08/1985 09:00,68.0,0.0,27.5,,Castelo Branco
AMIEIRA,21/08/1985 09:00,42.0,0.0,25.75,,Castelo Branco
AMIEIRA,22/08/1985 09:00,50.0,0.0,27.65,,Castelo Branco
AMIEIRA,23/08/1985 09:00,53.0,0.0,24.25,,Castelo Branco
AMIEIRA,24/08/1985 09:00,50.0,0.0,21.75,,Castelo Branco
AMIEIRA,25/08/1985 09:00,54.0,0.0,21.1,,Castelo Branco
AMIEIRA,26/08/1985 09:00,46.0,0.0,22.25,,Castelo Branco
AMIEIRA,27/08/1985 09:00,36.0,0.0,23.0,,Castelo Branco
