Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
ANSIÃO,01/05/1985 09:00,75.0,0.0,18.2,,Leiria
ANSIÃO,02/05/1985 09:00,82.0,0.0,18.05,,Leiria
ANSIÃO,03/05/1985 09:00,79.0,18.5,18.25,,Leiria
ANSIÃO,04/05/1985 09:00,75.0,0.0,16.35,,Leiria
ANSIÃO,05/05/1985 09:00,87.0,2.0,14.65,,Leiria
ANSIÃO,06/05/1985 09:00,86.0,7.0,9.9,,Leiria
ANSIÃO,07/05/1985 09:00,43.0,14.5,7.05,,Leiria
ANSIÃO,08/05/1985 09:00,71.0,0.0,9.1,,Leiria
ANSIÃO,09/05/1985 09:00,78.0,0.0,10.8,,Leiria
ANSIÃO,10/05/1985 09:00,69.0,0.0,14.5,,Leiria
ANSIÃO,11/05/1985 09:00,69.0,0.0,12.1,,Leiria
ANSIÃO,12/05/1985 09:00,71.0,0.0,11.9,,Leiria
ANSIÃO,13/05/1985 09:00,75.0,0.0,11.4,,Leiria
ANSIÃO,14/05/1985 09:00,73.0,0.0,12.65,,Leiria
ANSIÃO,15/05/1985 09:00,73.0,0.0,12.5,,Leiria
ANSIÃO,16/05/1985 09:00,75.0,7.2,12.85,,Leiria
ANSIÃO,17/05/1985 09:00,65.0,0.0,12.15,,Leiria
ANSIÃO,18/05/1985 09:00,56.0,0.0,14.15,,Leiria
ANSIÃO,19/05/1985 09:00,65.0,0.0,16.35,,Leiria
ANSIÃO,20/05/1985 09:00,76.0,0.0,18.3,,Leiria
ANSIÃO,21/05/1985 09:00,68.0,0.0,16.35,,Leiria
ANSIÃO,22/05/1985 09:00,76.0,0.0,14.5,,Leiria
ANSIÃO,23/05/1985 09:00,62.0,0.0,13.5,,Leiria
ANSIÃO,24/05/1985 09:00,66.0,0.0,11.65,,Leiria
ANSIÃO,25/05/1985 09:00,71.0,0.0,13.8,,Leiria
ANSIÃO,26/05/1985 09:00,81.0,10.5,13.75,,Leiria
ANSIÃO,27/05/1985 09:00,83.0,16.5,13.95,,Leiria
ANSIÃO,28/05/1985 09:00,66.0,0.0,12.8,,Leiria
ANSIÃO,29/05/1985 09:00,81.0,0.0,16.15,,Leiria
ANSIÃO,30/05/1985 09:00,78.0,6.0,16.55,,Leiria
ANSIÃO,31/05/1985 09:00,75.0,0.0,19.5,,Leiria
ANSIÃO,01/06/1985 09:00,74.0,52.5,18.65,,Leiria
ANSIÃO,02/06/1985 09:00,77.0,9.0,18.4,,Leiria
ANSIÃO,03/06/1985 09:00,72.0,0.0,18.0,,Leiria
