Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
AZINHEIRA BARROS,01/05/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,02/05/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,03/05/1985 09:00,,0.5,,,Setúbal
AZINHEIRA BARROS,04/05/1985 09:00,,1.7,,,Setúbal
AZINHEIRA BARROS,05/05/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,06/05/1985 09:00,,0.4,,,Setúbal
AZINHEIRA BARROS,07/05/1985 09:00,,4.0,,,Setúbal
AZINHEIRA BARROS,08/05/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,09/05/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,10/05/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,11/05/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,12/05/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,13/05/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,14/05/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,15/05/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,16/05/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,17/05/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,18/05/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,19/05/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,20/05/1985 09:00,,2.5,,,Setúbal
AZINHEIRA BARROS,21/05/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,22/05/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,23/05/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,24/05/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,25/05/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,26/05/1985 09:00,,2.0,,,Setúbal
AZINHEIRA BARROS,27/05/1985 09:00,,1.0,,,Setúbal
AZINHEIRA BARROS,28/05/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,29/05/1985 09:00,,2.5,,,Setúbal
AZINHEIRA BARROS,30/05/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,31/05/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,01/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,02/06/1985 09:00,,24.0,,,Setúbal
AZINHEIRA BARROS,03/06/1985 09:00,,1.0,,,Setúbal
AZINHEIRA BARROS,04/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,05/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,06/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,07/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,08/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,09/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,10/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,11/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,12/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,13/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,14/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,15/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,16/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,17/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,18/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,19/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,20/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,21/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,22/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,23/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,24/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,25/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,26/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,27/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,28/06/1985 09:00,,0.0,,,Setúbal
AZINHEIRA BARROS,29/06/1985 09:00,,0.0,,,Setúbal
