Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
BARRAGEM DA BRAVURA,01/05/1985 09:00,68.0,0.0,19.1,,Faro
BARRAGEM DA BRAVURA,02/05/1985 09:00,85.0,0.7,17.4,,Faro
BARRAGEM DA BRAVURA,03/05/1985 09:00,76.0,4.3,16.25,,Faro
BARRAGEM DA BRAVURA,04/05/1985 09:00,84.0,0.0,15.9,,Faro
BARRAGEM DA BRAVURA,05/05/1985 09:00,89.0,0.4,14.8,,Faro
BARRAGEM DA BRAVURA,06/05/1985 09:00,67.0,0.7,12.5,,Faro
BARRAGEM DA BRAVURA,07/05/1985 09:00,57.0,3.9,12.65,,Faro
BARRAGEM DA BRAVURA,08/05/1985 09:00,62.0,0.0,14.1,,Faro
BARRAGEM DA BRAVURA,09/05/1985 09:00,74.0,0.0,17.25,,Faro
BARRAGEM DA BRAVURA,10/05/1985 09:00,57.0,0.0,16.4,,Faro
BARRAGEM DA BRAVURA,11/05/1985 09:00,34.0,0.0,15.8,,Faro
BARRAGEM DA BRAVURA,12/05/1985 09:00,59.0,0.0,15.2,,Faro
BARRAGEM DA BRAVURA,13/05/1985 09:00,59.0,0.0,14.9,,Faro
BARRAGEM DA BRAVURA,14/05/1985 09:00,58.0,0.0,13.65,,Faro
BARRAGEM DA BRAVURA,15/05/1985 09:00,70.0,0.0,14.0,,Faro
BARRAGEM DA BRAVURA,16/05/1985 09:00,78.0,0.1,14.6,,Faro
BARRAGEM DA BRAVURA,17/05/1985 09:00,71.0,1.3,16.75,,Faro
BARRAGEM DA BRAVURA,18/05/1985 09:00,47.0,0.0,18.4,,Faro
BARRAGEM DA BRAVURA,19/05/1985 09:00,58.0,0.0,19.0,,Faro
BARRAGEM DA BRAVURA,20/05/1985 09:00,61.0,0.0,16.3,,Faro
BARRAGEM DA BRAVURA,21/05/1985 09:00,59.0,0.0,15.4,,Faro
BARRAGEM DA BRAVURA,22/05/1985 09:00,59.0,0.0,15.5,,Faro
BARRAGEM DA BRAVURA,23/05/1985 09:00,61.0,0.0,15.4,,Faro
BARRAGEM DA BRAVURA,24/05/1985 09:00,62.0,0.0,15.85,,Faro
BARRAGEM DA BRAVURA,25/05/1985 09:00,76.0,0.0,16.75,,Faro
BARRAGEM DA BRAVURA,26/05/1985 09:00,81.0,5.9,18.25,,Faro
BARRAGEM DA BRAVURA,27/05/1985 09:00,66.0,0.0,17.25,,Faro
BARRAGEM DA BRAVURA,28/05/1985 09:00,56.0,0.0,18.5,,Faro
BARRAGEM DA BRAVURA,29/05/1985 09:00,76.0,0.4,18.8,,Faro
BARRAGEM DA BRAVURA,30/05/1985 09:00,86.0,0.0,19.0,,Faro
BARRAGEM DA BRAVURA,31/05/1985 09:00,85.0,0.7,18.8,,Faro
BARRAGEM DA BRAVURA,01/06/1985 09:00,86.0,4.9,18.3,,Faro
BARRAGEM DA BRAVURA,02/06/1985 09:00,90.0,0.2,18.65,,Faro
BARRAGEM DA BRAVURA,03/06/1985 09:00,66.0,0.0,19.0,,Faro
BARRAGEM DA BRAVURA,04/06/1985 09:00,73.0,0.0,17.25,,Faro
BARRAGEM DA BRAVURA,05/06/1985 09:00,90.0,0.8,19.2,,Faro
BARRAGEM DA BRAVURA,06/06/1985 09:00,86.0,0.0,18.25,,Faro
BARRAGEM DA BRAVURA,07/06/1985 09:00,65.0,0.4,18.9,,Faro
BARRAGEM DA BRAVURA,08/06/1985 09:00,60.0,0.0,18.9,,Faro
BARRAGEM DA BRAVURA,09/06/1985 09:00,58.0,0.0,20.85,,Faro
BARRAGEM DA BRAVURA,10/06/1985 09:00,49.0,0.0,23.9,,Faro
BARRAGEM DA BRAVURA,11/06/1985 09:00,39.0,0.0,24.7,,Faro
BARRAGEM DA BRAVURA,12/06/1985 09:00,45.0,0.0,22.8,,Faro
BARRAGEM DA BRAVURA,13/06/1985 09:00,76.0,0.0,19.3,,Faro
BARRAGEM DA BRAVURA,14/06/1985 09:00,71.0,0.0,20.2,,Faro
