Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
BARRAGEM DE CAMPILHAS,01/05/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,02/05/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,03/05/1985 09:00,,2.3,,,Setúbal
BARRAGEM DE CAMPILHAS,04/05/1985 09:00,,2.8,,,Setúbal
BARRAGEM DE CAMPILHAS,05/05/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,06/05/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,07/05/1985 09:00,,5.2,,,Setúbal
BARRAGEM DE CAMPILHAS,08/05/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,09/05/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,10/05/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,11/05/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,12/05/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,13/05/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,14/05/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,15/05/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,16/05/1985 09:00,,0.6,,,Setúbal
BARRAGEM DE CAMPILHAS,17/05/1985 09:00,,1.0,,,Setúbal
BARRAGEM DE CAMPILHAS,18/05/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,19/05/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,20/05/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,21/05/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,22/05/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,23/05/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,24/05/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,25/05/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,26/05/1985 09:00,,3.0,,,Setúbal
BARRAGEM DE CAMPILHAS,27/05/1985 09:00,,2.5,,,Setúbal
BARRAGEM DE CAMPILHAS,28/05/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,29/05/1985 09:00,,2.5,,,Setúbal
BARRAGEM DE CAMPILHAS,30/05/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,31/05/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,01/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,02/06/1985 09:00,,9.0,,,Setúbal
BARRAGEM DE CAMPILHAS,03/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,04/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,05/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,06/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,07/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,08/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,09/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,10/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,11/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,12/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,13/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,14/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,15/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,16/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,17/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,18/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,19/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,20/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,21/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,22/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,23/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,24/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,25/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,26/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,27/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,28/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,29/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,30/06/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,01/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,02/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,03/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,04/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,05/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,06/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,07/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,08/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,09/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,10/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,11/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,12/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,13/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,14/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,15/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,16/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,17/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,18/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,19/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,20/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,21/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,22/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,23/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,24/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,25/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,26/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,27/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,28/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,29/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,30/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,31/07/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,01/08/1985 09:00,,0.0,,,Setúbal
BARRAGEM DE CAMPILHAS,02/08/1985 09:00,,0.0,,,Setúbal
