Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
BARRAGEM DE MAGOS,01/05/1985 09:00,,0.0,,,Santarém
BARRAGEM DE MAGOS,02/05/1985 09:00,,1.1,,,Santarém
BARRAGEM DE MAGOS,03/05/1985 09:00,,2.6,,,Santarém
BARRAGEM DE MAGOS,04/05/1985 09:00,,0.0,,,Santarém
BARRAGEM DE MAGOS,05/05/1985 09:00,,0.0,,,Santarém
BARRAGEM DE MAGOS,06/05/1985 09:00,,0.5,,,Santarém
BARRAGEM DE MAGOS,07/05/1985 09:00,,10.4,,,Santarém
BARRAGEM DE MAGOS,08/05/1985 09:00,,0.0,,,Santarém
BARRAGEM DE MAGOS,09/05/1985 09:00,,0.0,,,Santarém
BARRAGEM DE MAGOS,10/05/1985 09:00,,0.0,,,Santarém
BARRAGEM DE MAGOS,11/05/1985 09:00,,0.0,,,Santarém
BARRAGEM DE MAGOS,12/05/1985 09:00,,0.0,,,Santarém
BARRAGEM DE MAGOS,13/05/1985 09:00,,0.0,,,Santarém
BARRAGEM DE MAGOS,14/05/1985 09:00,,0.0,,,Santarém
BARRAGEM DE MAGOS,15/05/1985 09:00,,0.0,,,Santarém
BARRAGEM DE MAGOS,16/05/1985 09:00,,4.6,,,Santarém
BARRAGEM DE MAGOS,17/05/1985 09:00,,0.0,,,Santarém
BARRAGEM DE MAGOS,18/05/1985 09:00,,0.0,,,Santarém
BARRAGEM DE MAGOS,19/05/1985 09:00,,0.0,,,Santarém
BARRAGEM DE MAGOS,20/05/1985 09:00,,0.0,,,Santarém
BARRAGEM DE MAGOS,21/05/1985 09:00,,0.0,,,Santarém
BARRAGEM DE MAGOS,22/05/1985 09:00,,0.0,,,Santarém
BARRAGEM DE MAGOS,23/05/1985 09:00,,0.0,,,Santarém
BARRAGEM DE MAGOS,24/05/1985 09:00,,0.0,,,Santarém
BARRAGEM DE MAGOS,25/05/1985 09:00,,0.0,,,Santarém
BARRAGEM DE MAGOS,26/05/1985 09:00,,0.8,,,Santarém
BARRAGEM DE MAGOS,27/05/1985 09:00,,6.6,,,Santarém
BARRAGEM DE MAGOS,28/05/1985 09:00,,0.0,,,Santarém
BARRAGEM DE MAGOS,29/05/1985 09:00,,0.8,,,Santarém
BARRAGEM DE MAGOS,30/05/1985 09:00,,16.9,,,Santarém
BARRAGEM DE MAGOS,31/05/1985 09:00,,0.0,,,Santarém
