Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
BARRAGEM DE MIRA,01/05/1985 09:00,67.0,0.0,17.7,,Coimbra
BARRAGEM DE MIRA,02/05/1985 09:00,94.0,0.7,16.0,,Coimbra
BARRAGEM DE MIRA,03/05/1985 09:00,100.0,5.3,16.3,,Coimbra
BARRAGEM DE MIRA,04/05/1985 09:00,89.0,0.0,16.5,,Coimbra
BARRAGEM DE MIRA,05/05/1985 09:00,89.0,0.0,13.3,,Coimbra
BARRAGEM DE MIRA,06/05/1985 09:00,100.0,3.7,10.8,,Coimbra
BARRAGEM DE MIRA,07/05/1985 09:00,59.5,6.2,11.9,,Coimbra
BARRAGEM DE MIRA,08/05/1985 09:00,71.5,0.0,13.1,,Coimbra
BARRAGEM DE MIRA,09/05/1985 09:00,78.0,0.0,15.4,,Coimbra
BARRAGEM DE MIRA,10/05/1985 09:00,74.0,0.0,15.3,,Coimbra
BARRAGEM DE MIRA,11/05/1985 09:00,53.0,0.0,15.0,,Coimbra
BARRAGEM DE MIRA,12/05/1985 09:00,72.0,0.0,13.95,,Coimbra
BARRAGEM DE MIRA,13/05/1985 09:00,78.0,0.0,13.5,,Coimbra
BARRAGEM DE MIRA,14/05/1985 09:00,76.0,0.0,13.0,,Coimbra
BARRAGEM DE MIRA,15/05/1985 09:00,78.0,0.0,13.35,,Coimbra
BARRAGEM DE MIRA,16/05/1985 09:00,78.0,1.4,13.0,,Coimbra
BARRAGEM DE MIRA,17/05/1985 09:00,84.0,0.2,17.7,,Coimbra
BARRAGEM DE MIRA,18/05/1985 09:00,66.0,0.0,18.0,,Coimbra
BARRAGEM DE MIRA,19/05/1985 09:00,63.0,0.0,18.3,,Coimbra
BARRAGEM DE MIRA,20/05/1985 09:00,69.0,0.0,16.6,,Coimbra
BARRAGEM DE MIRA,21/05/1985 09:00,72.5,0.0,14.8,,Coimbra
BARRAGEM DE MIRA,22/05/1985 09:00,83.0,0.0,14.2,,Coimbra
BARRAGEM DE MIRA,23/05/1985 09:00,64.0,0.0,14.2,,Coimbra
BARRAGEM DE MIRA,24/05/1985 09:00,69.0,0.0,14.3,,Coimbra
BARRAGEM DE MIRA,25/05/1985 09:00,67.0,0.0,16.9,,Coimbra
BARRAGEM DE MIRA,26/05/1985 09:00,76.0,4.0,17.6,,Coimbra
BARRAGEM DE MIRA,27/05/1985 09:00,75.0,0.9,17.3,,Coimbra
BARRAGEM DE MIRA,28/05/1985 09:00,70.0,0.0,17.25,,Coimbra
BARRAGEM DE MIRA,29/05/1985 09:00,74.0,0.0,18.5,,Coimbra
BARRAGEM DE MIRA,30/05/1985 09:00,77.0,0.0,19.6,,Coimbra
BARRAGEM DE MIRA,31/05/1985 09:00,68.0,0.0,18.0,,Coimbra
BARRAGEM DE MIRA,01/06/1985 09:00,90.0,3.7,16.7,,Coimbra
