Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
BARRAGEM DE MONTARGIL,01/05/1985 09:00,81.0,0.0,20.0,,Portalegre
BARRAGEM DE MONTARGIL,02/05/1985 09:00,89.0,0.2,17.25,,Portalegre
BARRAGEM DE MONTARGIL,03/05/1985 09:00,89.0,2.0,15.5,,Portalegre
BARRAGEM DE MONTARGIL,04/05/1985 09:00,89.0,0.6,16.75,,Portalegre
BARRAGEM DE MONTARGIL,05/05/1985 09:00,78.0,0.0,13.25,,Portalegre
BARRAGEM DE MONTARGIL,06/05/1985 09:00,80.5,1.1,8.5,,Portalegre
BARRAGEM DE MONTARGIL,07/05/1985 09:00,67.0,16.5,10.25,,Portalegre
BARRAGEM DE MONTARGIL,08/05/1985 09:00,75.0,0.0,12.5,,Portalegre
BARRAGEM DE MONTARGIL,09/05/1985 09:00,68.0,0.0,15.5,,Portalegre
BARRAGEM DE MONTARGIL,10/05/1985 09:00,72.5,0.0,15.5,,Portalegre
BARRAGEM DE MONTARGIL,11/05/1985 09:00,63.0,0.0,15.5,,Portalegre
BARRAGEM DE MONTARGIL,12/05/1985 09:00,70.0,0.0,15.25,,Portalegre
BARRAGEM DE MONTARGIL,13/05/1985 09:00,66.0,0.0,13.0,,Portalegre
BARRAGEM DE MONTARGIL,14/05/1985 09:00,77.0,0.2,12.75,,Portalegre
BARRAGEM DE MONTARGIL,15/05/1985 09:00,78.0,0.0,12.0,,Portalegre
BARRAGEM DE MONTARGIL,16/05/1985 09:00,78.0,5.5,13.0,,Portalegre
BARRAGEM DE MONTARGIL,17/05/1985 09:00,76.0,0.0,15.25,,Portalegre
BARRAGEM DE MONTARGIL,18/05/1985 09:00,71.0,0.0,17.75,,Portalegre
BARRAGEM DE MONTARGIL,19/05/1985 09:00,50.0,0.0,18.25,,Portalegre
BARRAGEM DE MONTARGIL,20/05/1985 09:00,58.0,0.0,14.5,,Portalegre
BARRAGEM DE MONTARGIL,21/05/1985 09:00,62.5,0.0,14.75,,Portalegre
BARRAGEM DE MONTARGIL,22/05/1985 09:00,67.5,0.0,15.5,,Portalegre
BARRAGEM DE MONTARGIL,23/05/1985 09:00,72.0,0.0,14.0,,Portalegre
BARRAGEM DE MONTARGIL,24/05/1985 09:00,76.0,0.0,13.0,,Portalegre
BARRAGEM DE MONTARGIL,25/05/1985 09:00,68.0,0.0,13.5,,Portalegre
BARRAGEM DE MONTARGIL,26/05/1985 09:00,72.5,5.0,14.5,,Portalegre
BARRAGEM DE MONTARGIL,27/05/1985 09:00,70.5,2.5,15.75,,Portalegre
BARRAGEM DE MONTARGIL,28/05/1985 09:00,77.0,0.0,14.25,,Portalegre
BARRAGEM DE MONTARGIL,29/05/1985 09:00,77.0,0.6,13.5,,Portalegre
BARRAGEM DE MONTARGIL,30/05/1985 09:00,85.0,6.9,17.25,,Portalegre
BARRAGEM DE MONTARGIL,31/05/1985 09:00,80.0,2.0,19.5,,Portalegre
BARRAGEM DE MONTARGIL,01/06/1985 09:00,85.0,0.3,18.75,,Portalegre
BARRAGEM DE MONTARGIL,02/06/1985 09:00,74.5,19.5,16.25,,Portalegre
BARRAGEM DE MONTARGIL,03/06/1985 09:00,78.5,13.9,16.5,,Portalegre
BARRAGEM DE MONTARGIL,04/06/1985 09:00,80.0,0.0,16.5,,Portalegre
BARRAGEM DE MONTARGIL,05/06/1985 09:00,80.0,0.0,17.75,,Portalegre
BARRAGEM DE MONTARGIL,06/06/1985 09:00,78.5,0.0,17.25,,Portalegre
BARRAGEM DE MONTARGIL,07/06/1985 09:00,75.5,0.0,19.0,,Portalegre
BARRAGEM DE MONTARGIL,08/06/1985 09:00,80.0,0.0,18.0,,Portalegre
BARRAGEM DE MONTARGIL,09/06/1985 09:00,74.0,0.0,20.0,,Portalegre
BARRAGEM DE MONTARGIL,10/06/1985 09:00,66.0,0.0,23.5,,Portalegre
BARRAGEM DE MONTARGIL,11/06/1985 09:00,66.0,0.0,24.0,,Portalegre
BARRAGEM DE MONTARGIL,12/06/1985 09:00,65.0,0.0,20.75,,Portalegre
BARRAGEM DE MONTARGIL,13/06/1985 09:00,84.0,0.0,17.75,,Portalegre
BARRAGEM DE MONTARGIL,14/06/1985 09:00,85.0,0.0,18.25,,Portalegre
BARRAGEM DE MONTARGIL,15/06/1985 09:00,66.0,0.0,19.25,,Portalegre
BARRAGEM DE MONTARGIL,16/06/1985 09:00,71.0,0.0,17.0,,Portalegre
BARRAGEM DE MONTARGIL,17/06/1985 09:00,77.0,0.0,22.0,,Portalegre
BARRAGEM DE MONTARGIL,18/06/1985 09:00,81.0,0.0,21.75,,Portalegre
BARRAGEM DE MONTARGIL,19/06/1985 09:00,63.0,0.0,19.0,,Portalegre
BARRAGEM DE MONTARGIL,20/06/1985 09:00,85.0,0.0,21.75,,Portalegre
BARRAGEM DE MONTARGIL,21/06/1985 09:00,72.0,0.0,19.25,,Portalegre
BARRAGEM DE MONTARGIL,22/06/1985 09:00,81.0,0.0,19.5,,Portalegre
BARRAGEM DE MONTARGIL,23/06/1985 09:00,81.0,0.0,19.5,,Portalegre
BARRAGEM DE MONTARGIL,24/06/1985 09:00,81.0,0.0,20.5,,Portalegre
BARRAGEM DE MONTARGIL,25/06/1985 09:00,78.0,0.0,23.0,,Portalegre
BARRAGEM DE MONTARGIL,26/06/1985 09:00,63.5,0.0,24.0,,Portalegre
BARRAGEM DE MONTARGIL,27/06/1985 09:00,81.0,0.0,23.5,,Portalegre
BARRAGEM DE MONTARGIL,28/06/1985 09:00,90.0,0.0,22.5,,Portalegre
BARRAGEM DE MONTARGIL,29/06/1985 09:00,80.0,0.0,22.0,,Portalegre
BARRAGEM DE MONTARGIL,30/06/1985 09:00,80.0,0.0,23.0,,Portalegre
BARRAGEM DE MONTARGIL,01/07/1985 09:00,43.0,0.0,21.5,,Portalegre
BARRAGEM DE MONTARGIL,02/07/1985 09:00,81.0,0.0,18.0,,Portalegre
BARRAGEM DE MONTARGIL,03/07/1985 09:00,72.0,0.8,19.0,,Portalegre
BARRAGEM DE MONTARGIL,04/07/1985 09:00,73.0,0.0,22.0,,Portalegre
BARRAGEM DE MONTARGIL,05/07/1985 09:00,77.0,0.0,24.75,,Portalegre
BARRAGEM DE MONTARGIL,06/07/1985 09:00,32.7,0.0,27.25,,Portalegre
BARRAGEM DE MONTARGIL,07/07/1985 09:00,59.0,0.0,26.5,,Portalegre
