Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
BARRAGEM DE ODIVELAS,01/05/1985 09:00,77.0,0.0,17.4,,Beja
BARRAGEM DE ODIVELAS,02/05/1985 09:00,89.0,1.2,13.3,,Beja
BARRAGEM DE ODIVELAS,03/05/1985 09:00,94.0,0.4,13.6,,Beja
BARRAGEM DE ODIVELAS,04/05/1985 09:00,89.0,1.2,17.0,,Beja
BARRAGEM DE ODIVELAS,05/05/1985 09:00,84.0,0.0,13.0,,Beja
BARRAGEM DE ODIVELAS,06/05/1985 09:00,83.0,0.0,10.1,,Beja
BARRAGEM DE ODIVELAS,07/05/1985 09:00,65.5,4.0,10.6,,Beja
BARRAGEM DE ODIVELAS,08/05/1985 09:00,83.0,0.0,11.7,,Beja
BARRAGEM DE ODIVELAS,09/05/1985 09:00,89.0,0.0,14.0,,Beja
BARRAGEM DE ODIVELAS,10/05/1985 09:00,78.0,0.0,14.7,,Beja
BARRAGEM DE ODIVELAS,11/05/1985 09:00,79.0,0.0,13.1,,Beja
BARRAGEM DE ODIVELAS,12/05/1985 09:00,68.0,0.0,13.1,,Beja
BARRAGEM DE ODIVELAS,13/05/1985 09:00,89.0,0.0,12.5,,Beja
BARRAGEM DE ODIVELAS,14/05/1985 09:00,83.0,0.0,11.1,,Beja
BARRAGEM DE ODIVELAS,15/05/1985 09:00,84.0,0.0,11.3,,Beja
BARRAGEM DE ODIVELAS,16/05/1985 09:00,88.0,0.7,10.6,,Beja
BARRAGEM DE ODIVELAS,17/05/1985 09:00,79.0,0.0,15.8,,Beja
BARRAGEM DE ODIVELAS,18/05/1985 09:00,64.0,0.0,17.6,,Beja
BARRAGEM DE ODIVELAS,19/05/1985 09:00,67.5,0.0,17.1,,Beja
BARRAGEM DE ODIVELAS,20/05/1985 09:00,84.0,0.9,16.1,,Beja
BARRAGEM DE ODIVELAS,21/05/1985 09:00,69.0,0.0,13.5,,Beja
BARRAGEM DE ODIVELAS,22/05/1985 09:00,73.0,0.0,13.6,,Beja
BARRAGEM DE ODIVELAS,23/05/1985 09:00,74.0,0.0,12.1,,Beja
BARRAGEM DE ODIVELAS,24/05/1985 09:00,78.5,0.0,12.0,,Beja
BARRAGEM DE ODIVELAS,25/05/1985 09:00,64.5,0.0,14.75,,Beja
BARRAGEM DE ODIVELAS,26/05/1985 09:00,95.0,6.5,16.8,,Beja
BARRAGEM DE ODIVELAS,27/05/1985 09:00,90.0,0.0,16.3,,Beja
BARRAGEM DE ODIVELAS,28/05/1985 09:00,66.5,0.0,16.8,,Beja
BARRAGEM DE ODIVELAS,29/05/1985 09:00,89.0,0.5,16.6,,Beja
