Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
BARRAGEM DE VALE DO GAIO,01/05/1985 09:00,72.5,0.0,18.75,,Setúbal
BARRAGEM DE VALE DO GAIO,02/05/1985 09:00,94.0,0.8,14.75,,Setúbal
BARRAGEM DE VALE DO GAIO,03/05/1985 09:00,94.0,0.4,15.25,,Setúbal
BARRAGEM DE VALE DO GAIO,04/05/1985 09:00,74.0,2.4,17.5,,Setúbal
BARRAGEM DE VALE DO GAIO,05/05/1985 09:00,78.0,0.0,13.6,,Setúbal
BARRAGEM DE VALE DO GAIO,06/05/1985 09:00,65.5,0.0,12.4,,Setúbal
BARRAGEM DE VALE DO GAIO,07/05/1985 09:00,69.0,3.6,12.9,,Setúbal
BARRAGEM DE VALE DO GAIO,08/05/1985 09:00,71.0,0.0,15.25,,Setúbal
BARRAGEM DE VALE DO GAIO,09/05/1985 09:00,73.5,0.0,14.7,,Setúbal
BARRAGEM DE VALE DO GAIO,10/05/1985 09:00,72.5,0.0,15.9,,Setúbal
BARRAGEM DE VALE DO GAIO,11/05/1985 09:00,89.0,0.0,14.4,,Setúbal
BARRAGEM DE VALE DO GAIO,12/05/1985 09:00,67.0,0.0,14.5,,Setúbal
BARRAGEM DE VALE DO GAIO,13/05/1985 09:00,72.5,0.0,14.15,,Setúbal
BARRAGEM DE VALE DO GAIO,14/05/1985 09:00,62.0,0.0,12.35,,Setúbal
BARRAGEM DE VALE DO GAIO,15/05/1985 09:00,83.5,0.0,12.9,,Setúbal
BARRAGEM DE VALE DO GAIO,16/05/1985 09:00,78.0,0.0,12.55,,Setúbal
BARRAGEM DE VALE DO GAIO,17/05/1985 09:00,83.0,0.0,16.5,,Setúbal
BARRAGEM DE VALE DO GAIO,18/05/1985 09:00,70.0,0.0,17.5,,Setúbal
BARRAGEM DE VALE DO GAIO,19/05/1985 09:00,63.0,0.0,18.9,,Setúbal
BARRAGEM DE VALE DO GAIO,20/05/1985 09:00,78.0,0.0,17.0,,Setúbal
BARRAGEM DE VALE DO GAIO,21/05/1985 09:00,63.0,0.0,16.25,,Setúbal
BARRAGEM DE VALE DO GAIO,22/05/1985 09:00,72.5,0.0,16.55,,Setúbal
BARRAGEM DE VALE DO GAIO,23/05/1985 09:00,58.5,0.0,13.15,,Setúbal
BARRAGEM DE VALE DO GAIO,24/05/1985 09:00,69.0,0.0,13.15,,Setúbal
BARRAGEM DE VALE DO GAIO,25/05/1985 09:00,70.5,0.0,15.65,,Setúbal
BARRAGEM DE VALE DO GAIO,26/05/1985 09:00,85.0,3.1,18.35,,Setúbal
