Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
BARRAGEM DO ARADE,01/05/1985 09:00,69.0,0.0,19.1,,Faro
BARRAGEM DO ARADE,02/05/1985 09:00,86.0,0.0,16.6,,Faro
BARRAGEM DO ARADE,03/05/1985 09:00,90.0,4.3,16.15,,Faro
BARRAGEM DO ARADE,04/05/1985 09:00,90.0,6.0,16.75,,Faro
BARRAGEM DO ARADE,05/05/1985 09:00,89.0,0.0,16.7,,Faro
BARRAGEM DO ARADE,06/05/1985 09:00,100.0,1.5,13.0,,Faro
BARRAGEM DO ARADE,07/05/1985 09:00,61.0,3.5,14.0,,Faro
BARRAGEM DO ARADE,08/05/1985 09:00,78.0,0.0,15.95,,Faro
BARRAGEM DO ARADE,09/05/1985 09:00,78.0,0.0,18.55,,Faro
BARRAGEM DO ARADE,10/05/1985 09:00,95.0,0.0,18.65,,Faro
BARRAGEM DO ARADE,11/05/1985 09:00,63.0,0.0,17.1,,Faro
BARRAGEM DO ARADE,12/05/1985 09:00,73.0,0.0,20.1,,Faro
BARRAGEM DO ARADE,13/05/1985 09:00,68.0,0.0,19.1,,Faro
BARRAGEM DO ARADE,14/05/1985 09:00,85.0,0.0,16.0,,Faro
BARRAGEM DO ARADE,15/05/1985 09:00,84.0,0.0,13.5,,Faro
BARRAGEM DO ARADE,16/05/1985 09:00,84.0,1.3,13.5,,Faro
BARRAGEM DO ARADE,17/05/1985 09:00,90.0,0.0,17.85,,Faro
BARRAGEM DO ARADE,18/05/1985 09:00,67.0,0.0,18.5,,Faro
BARRAGEM DO ARADE,19/05/1985 09:00,65.0,0.0,18.65,,Faro
BARRAGEM DO ARADE,20/05/1985 09:00,75.0,0.0,18.25,,Faro
BARRAGEM DO ARADE,21/05/1985 09:00,79.0,0.0,17.75,,Faro
BARRAGEM DO ARADE,22/05/1985 09:00,75.0,0.0,17.75,,Faro
BARRAGEM DO ARADE,23/05/1985 09:00,57.0,0.0,16.15,,Faro
BARRAGEM DO ARADE,24/05/1985 09:00,61.0,0.0,16.55,,Faro
BARRAGEM DO ARADE,25/05/1985 09:00,78.0,0.0,16.1,,Faro
BARRAGEM DO ARADE,26/05/1985 09:00,71.0,0.0,16.0,,Faro
BARRAGEM DO ARADE,27/05/1985 09:00,78.0,0.0,17.0,,Faro
BARRAGEM DO ARADE,28/05/1985 09:00,81.0,0.0,17.25,,Faro
BARRAGEM DO ARADE,29/05/1985 09:00,71.0,0.0,18.25,,Faro
BARRAGEM DO ARADE,30/05/1985 09:00,64.0,0.0,18.75,,Faro
BARRAGEM DO ARADE,31/05/1985 09:00,63.0,0.0,18.5,,Faro
BARRAGEM DO ARADE,01/06/1985 09:00,90.0,0.0,18.75,,Faro
BARRAGEM DO ARADE,02/06/1985 09:00,92.0,0.0,18.85,,Faro
BARRAGEM DO ARADE,03/06/1985 09:00,80.0,0.0,17.6,,Faro
BARRAGEM DO ARADE,04/06/1985 09:00,68.0,0.0,17.0,,Faro
BARRAGEM DO ARADE,05/06/1985 09:00,86.0,1.2,19.2,,Faro
BARRAGEM DO ARADE,06/06/1985 09:00,77.0,0.0,19.4,,Faro
BARRAGEM DO ARADE,07/06/1985 09:00,77.0,0.0,20.6,,Faro
BARRAGEM DO ARADE,08/06/1985 09:00,82.0,0.0,22.5,,Faro
BARRAGEM DO ARADE,09/06/1985 09:00,71.0,0.0,22.0,,Faro
BARRAGEM DO ARADE,10/06/1985 09:00,38.0,0.0,22.0,,Faro
BARRAGEM DO ARADE,11/06/1985 09:00,12.0,0.0,24.0,,Faro
