Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
BARRAGEM DO CAIA,01/05/1985 09:00,41.0,0.0,20.5,,Portalegre
BARRAGEM DO CAIA,02/05/1985 09:00,89.0,2.4,15.75,,Portalegre
BARRAGEM DO CAIA,03/05/1985 09:00,89.0,9.5,17.0,,Portalegre
BARRAGEM DO CAIA,04/05/1985 09:00,61.0,0.0,17.75,,Portalegre
BARRAGEM DO CAIA,05/05/1985 09:00,66.0,0.0,12.75,,Portalegre
BARRAGEM DO CAIA,06/05/1985 09:00,68.5,0.0,9.0,,Portalegre
BARRAGEM DO CAIA,07/05/1985 09:00,58.5,13.0,11.25,,Portalegre
BARRAGEM DO CAIA,08/05/1985 09:00,76.0,0.0,14.25,,Portalegre
BARRAGEM DO CAIA,09/05/1985 09:00,78.0,0.0,16.5,,Portalegre
BARRAGEM DO CAIA,10/05/1985 09:00,72.0,0.0,15.75,,Portalegre
BARRAGEM DO CAIA,11/05/1985 09:00,36.0,0.0,14.75,,Portalegre
BARRAGEM DO CAIA,12/05/1985 09:00,46.0,0.0,15.25,,Portalegre
BARRAGEM DO CAIA,13/05/1985 09:00,77.0,0.0,15.0,,Portalegre
BARRAGEM DO CAIA,14/05/1985 09:00,77.0,0.0,12.75,,Portalegre
BARRAGEM DO CAIA,15/05/1985 09:00,81.0,0.0,12.0,,Portalegre
BARRAGEM DO CAIA,16/05/1985 09:00,81.0,0.0,13.75,,Portalegre
BARRAGEM DO CAIA,17/05/1985 09:00,88.0,0.0,17.0,,Portalegre
BARRAGEM DO CAIA,18/05/1985 09:00,43.0,0.0,18.25,,Portalegre
BARRAGEM DO CAIA,19/05/1985 09:00,41.0,0.0,19.25,,Portalegre
BARRAGEM DO CAIA,20/05/1985 09:00,78.0,3.5,16.75,,Portalegre
BARRAGEM DO CAIA,21/05/1985 09:00,87.0,0.0,16.5,,Portalegre
BARRAGEM DO CAIA,22/05/1985 09:00,78.0,0.0,16.5,,Portalegre
BARRAGEM DO CAIA,23/05/1985 09:00,77.0,0.0,16.0,,Portalegre
BARRAGEM DO CAIA,24/05/1985 09:00,68.0,0.0,16.0,,Portalegre
BARRAGEM DO CAIA,25/05/1985 09:00,48.0,0.0,15.5,,Portalegre
BARRAGEM DO CAIA,26/05/1985 09:00,71.0,3.5,16.75,,Portalegre
BARRAGEM DO CAIA,27/05/1985 09:00,84.0,0.3,16.25,,Portalegre
BARRAGEM DO CAIA,28/05/1985 09:00,74.0,0.0,18.25,,Portalegre
BARRAGEM DO CAIA,29/05/1985 09:00,62.0,0.0,17.25,,Portalegre
BARRAGEM DO CAIA,30/05/1985 09:00,73.0,0.0,20.5,,Portalegre
BARRAGEM DO CAIA,31/05/1985 09:00,89.5,0.8,19.25,,Portalegre
BARRAGEM DO CAIA,01/06/1985 09:00,56.0,4.2,17.5,,Portalegre
BARRAGEM DO CAIA,02/06/1985 09:00,57.0,2.0,19.0,,Portalegre
