Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
BARRAGEM DO MARANHÃO,01/05/1985 09:00,53.5,0.0,20.4,,
BARRAGEM DO MARANHÃO,02/05/1985 09:00,80.0,0.7,17.15,,
BARRAGEM DO MARANHÃO,03/05/1985 09:00,89.0,1.5,15.75,,
BARRAGEM DO MARANHÃO,04/05/1985 09:00,73.5,0.0,17.5,,
BARRAGEM DO MARANHÃO,05/05/1985 09:00,72.0,0.0,13.2,,
BARRAGEM DO MARANHÃO,06/05/1985 09:00,74.0,0.5,10.2,,
BARRAGEM DO MARANHÃO,07/05/1985 09:00,52.0,12.7,11.45,,
BARRAGEM DO MARANHÃO,08/05/1985 09:00,70.5,0.0,13.4,,
BARRAGEM DO MARANHÃO,09/05/1985 09:00,68.5,0.0,15.6,,
BARRAGEM DO MARANHÃO,10/05/1985 09:00,64.0,0.0,15.15,,
BARRAGEM DO MARANHÃO,11/05/1985 09:00,45.0,0.0,14.0,,
BARRAGEM DO MARANHÃO,12/05/1985 09:00,70.5,0.0,14.4,,
BARRAGEM DO MARANHÃO,13/05/1985 09:00,77.0,0.0,13.65,,
BARRAGEM DO MARANHÃO,14/05/1985 09:00,66.0,0.0,12.7,,
BARRAGEM DO MARANHÃO,15/05/1985 09:00,73.0,0.0,12.45,,
BARRAGEM DO MARANHÃO,16/05/1985 09:00,77.0,2.3,13.6,,
BARRAGEM DO MARANHÃO,17/05/1985 09:00,88.0,0.0,15.65,,
BARRAGEM DO MARANHÃO,18/05/1985 09:00,54.5,0.0,17.4,,
BARRAGEM DO MARANHÃO,19/05/1985 09:00,64.5,0.0,19.05,,
BARRAGEM DO MARANHÃO,20/05/1985 09:00,78.0,0.0,16.2,,
BARRAGEM DO MARANHÃO,21/05/1985 09:00,58.0,0.0,15.25,,
BARRAGEM DO MARANHÃO,22/05/1985 09:00,77.0,0.0,14.95,,
BARRAGEM DO MARANHÃO,23/05/1985 09:00,62.5,0.0,13.95,,
BARRAGEM DO MARANHÃO,24/05/1985 09:00,68.0,0.0,14.0,,
BARRAGEM DO MARANHÃO,25/05/1985 09:00,69.0,0.0,16.0,,
BARRAGEM DO MARANHÃO,26/05/1985 09:00,85.0,3.4,17.1,,
BARRAGEM DO MARANHÃO,27/05/1985 09:00,79.0,0.6,16.2,,
BARRAGEM DO MARANHÃO,28/05/1985 09:00,69.0,0.5,17.1,,
BARRAGEM DO MARANHÃO,29/05/1985 09:00,78.0,0.4,17.05,,
BARRAGEM DO MARANHÃO,30/05/1985 09:00,90.0,1.6,18.15,,
BARRAGEM DO MARANHÃO,31/05/1985 09:00,80.0,0.8,20.15,,
BARRAGEM DO MARANHÃO,01/06/1985 09:00,71.0,0.2,17.15,,
BARRAGEM DO MARANHÃO,02/06/1985 09:00,95.0,4.6,16.65,,
BARRAGEM DO MARANHÃO,03/06/1985 09:00,78.5,27.6,16.9,,
BARRAGEM DO MARANHÃO,04/06/1985 09:00,75.0,0.0,17.0,,
BARRAGEM DO MARANHÃO,05/06/1985 09:00,71.0,0.0,18.45,,
BARRAGEM DO MARANHÃO,06/06/1985 09:00,84.5,0.0,17.45,,
BARRAGEM DO MARANHÃO,07/06/1985 09:00,76.0,0.0,19.35,,
BARRAGEM DO MARANHÃO,08/06/1985 09:00,74.5,0.0,17.55,,
BARRAGEM DO MARANHÃO,09/06/1985 09:00,75.5,0.0,19.65,,
BARRAGEM DO MARANHÃO,10/06/1985 09:00,80.5,0.0,22.1,,
BARRAGEM DO MARANHÃO,11/06/1985 09:00,58.0,0.0,23.3,,
BARRAGEM DO MARANHÃO,12/06/1985 09:00,61.5,0.0,22.15,,
BARRAGEM DO MARANHÃO,13/06/1985 09:00,84.0,0.0,17.9,,
BARRAGEM DO MARANHÃO,14/06/1985 09:00,73.0,0.0,19.35,,
BARRAGEM DO MARANHÃO,15/06/1985 09:00,73.0,0.0,20.2,,
BARRAGEM DO MARANHÃO,16/06/1985 09:00,60.5,0.0,22.05,,
BARRAGEM DO MARANHÃO,17/06/1985 09:00,69.0,0.0,22.6,,
BARRAGEM DO MARANHÃO,18/06/1985 09:00,80.0,0.0,22.2,,
BARRAGEM DO MARANHÃO,19/06/1985 09:00,59.5,0.0,19.25,,
BARRAGEM DO MARANHÃO,20/06/1985 09:00,65.0,0.0,21.75,,
BARRAGEM DO MARANHÃO,21/06/1985 09:00,67.0,0.0,19.05,,
BARRAGEM DO MARANHÃO,22/06/1985 09:00,57.0,0.0,18.6,,
BARRAGEM DO MARANHÃO,23/06/1985 09:00,56.0,0.0,19.3,,
BARRAGEM DO MARANHÃO,24/06/1985 09:00,73.0,0.0,22.85,,
BARRAGEM DO MARANHÃO,25/06/1985 09:00,65.0,0.0,23.85,,
BARRAGEM DO MARANHÃO,26/06/1985 09:00,51.0,0.0,25.2,,
