Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
BARRAGEM DO ROXO,01/05/1985 09:00,72.5,0.0,18.05,,Beja
BARRAGEM DO ROXO,02/05/1985 09:00,89.0,0.7,15.0,,Beja
BARRAGEM DO ROXO,03/05/1985 09:00,100.0,1.1,14.5,,Beja
BARRAGEM DO ROXO,04/05/1985 09:00,89.0,4.3,17.75,,Beja
BARRAGEM DO ROXO,05/05/1985 09:00,78.0,0.0,13.6,,Beja
BARRAGEM DO ROXO,06/05/1985 09:00,76.0,0.0,11.2,,Beja
BARRAGEM DO ROXO,07/05/1985 09:00,71.0,5.2,11.6,,Beja
BARRAGEM DO ROXO,08/05/1985 09:00,83.0,0.0,13.3,,Beja
BARRAGEM DO ROXO,09/05/1985 09:00,73.5,0.0,15.75,,Beja
BARRAGEM DO ROXO,10/05/1985 09:00,75.0,0.0,16.15,,Beja
BARRAGEM DO ROXO,11/05/1985 09:00,38.0,0.0,14.05,,Beja
BARRAGEM DO ROXO,12/05/1985 09:00,69.0,0.0,13.15,,Beja
BARRAGEM DO ROXO,13/05/1985 09:00,78.0,0.0,14.6,,Beja
BARRAGEM DO ROXO,14/05/1985 09:00,87.0,0.0,12.6,,Beja
BARRAGEM DO ROXO,15/05/1985 09:00,83.0,0.0,13.15,,Beja
BARRAGEM DO ROXO,16/05/1985 09:00,73.0,0.0,13.05,,Beja
BARRAGEM DO ROXO,17/05/1985 09:00,84.0,0.0,17.5,,Beja
BARRAGEM DO ROXO,18/05/1985 09:00,56.0,0.0,18.2,,Beja
BARRAGEM DO ROXO,19/05/1985 09:00,63.0,0.0,17.9,,Beja
BARRAGEM DO ROXO,20/05/1985 09:00,73.5,0.0,17.9,,Beja
BARRAGEM DO ROXO,21/05/1985 09:00,69.0,0.0,15.55,,Beja
BARRAGEM DO ROXO,22/05/1985 09:00,73.0,0.0,15.7,,Beja
BARRAGEM DO ROXO,23/05/1985 09:00,57.0,0.0,14.7,,Beja
BARRAGEM DO ROXO,24/05/1985 09:00,61.0,0.0,14.8,,Beja
BARRAGEM DO ROXO,25/05/1985 09:00,66.5,0.0,16.0,,Beja
BARRAGEM DO ROXO,26/05/1985 09:00,76.0,6.8,18.15,,Beja
BARRAGEM DO ROXO,27/05/1985 09:00,75.0,0.3,17.4,,Beja
BARRAGEM DO ROXO,28/05/1985 09:00,71.0,0.0,17.9,,Beja
BARRAGEM DO ROXO,29/05/1985 09:00,89.0,0.7,18.45,,Beja
BARRAGEM DO ROXO,30/05/1985 09:00,69.0,0.0,19.2,,Beja
BARRAGEM DO ROXO,31/05/1985 09:00,68.0,0.8,19.2,,Beja
BARRAGEM DO ROXO,01/06/1985 09:00,67.0,0.0,16.7,,Beja
BARRAGEM DO ROXO,02/06/1985 09:00,85.0,6.7,18.8,,Beja
BARRAGEM DO ROXO,03/06/1985 09:00,84.0,0.9,17.0,,Beja
BARRAGEM DO ROXO,04/06/1985 09:00,67.5,0.0,17.55,,Beja
BARRAGEM DO ROXO,05/06/1985 09:00,72.0,0.0,19.8,,Beja
