Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
BARRANCO DO VELHO,01/05/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,02/05/1985 09:00,,0.5,,,Faro
BARRANCO DO VELHO,03/05/1985 09:00,,2.0,,,Faro
BARRANCO DO VELHO,04/05/1985 09:00,,36.4,,,Faro
BARRANCO DO VELHO,05/05/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,06/05/1985 09:00,,2.0,,,Faro
BARRANCO DO VELHO,07/05/1985 09:00,,9.0,,,Faro
BARRANCO DO VELHO,08/05/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,09/05/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,10/05/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,11/05/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,12/05/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,13/05/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,14/05/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,15/05/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,16/05/1985 09:00,,3.0,,,Faro
BARRANCO DO VELHO,17/05/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,18/05/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,19/05/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,20/05/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,21/05/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,22/05/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,23/05/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,24/05/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,25/05/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,26/05/1985 09:00,,12.5,,,Faro
BARRANCO DO VELHO,27/05/1985 09:00,,1.0,,,Faro
BARRANCO DO VELHO,28/05/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,29/05/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,30/05/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,31/05/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,01/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,02/06/1985 09:00,,2.0,,,Faro
BARRANCO DO VELHO,03/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,04/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,05/06/1985 09:00,,7.0,,,Faro
BARRANCO DO VELHO,06/06/1985 09:00,,0.2,,,Faro
BARRANCO DO VELHO,07/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,08/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,09/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,10/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,11/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,12/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,13/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,14/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,15/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,16/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,17/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,18/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,19/06/1985 09:00,,13.1,,,Faro
BARRANCO DO VELHO,20/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,21/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,22/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,23/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,24/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,25/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,26/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,27/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,28/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,29/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,30/06/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,01/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,02/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,03/07/1985 09:00,,16.5,,,Faro
BARRANCO DO VELHO,04/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,05/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,06/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,07/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,08/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,09/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,10/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,11/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,12/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,13/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,14/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,15/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,16/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,17/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,18/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,19/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,20/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,21/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,22/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,23/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,24/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,25/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,26/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,27/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,28/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,29/07/1985 09:00,,0.2,,,Faro
BARRANCO DO VELHO,30/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,31/07/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,01/08/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,02/08/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,03/08/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,04/08/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,05/08/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,06/08/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,07/08/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,08/08/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,09/08/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,10/08/1985 09:00,,0.0,,,Faro
BARRANCO DO VELHO,11/08/1985 09:00,,0.0,,,Faro
