Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
BARRANCOS,01/05/1985 09:00,,0.0,,,Beja
BARRANCOS,02/05/1985 09:00,,5.8,,,Beja
BARRANCOS,03/05/1985 09:00,,1.2,,,Beja
BARRANCOS,04/05/1985 09:00,,0.0,,,Beja
BARRANCOS,05/05/1985 09:00,,0.0,,,Beja
BARRANCOS,06/05/1985 09:00,,0.0,,,Beja
BARRANCOS,07/05/1985 09:00,,28.7,,,Beja
BARRANCOS,08/05/1985 09:00,,0.0,,,Beja
BARRANCOS,09/05/1985 09:00,,0.0,,,Beja
BARRANCOS,10/05/1985 09:00,,0.0,,,Beja
BARRANCOS,11/05/1985 09:00,,0.0,,,Beja
BARRANCOS,12/05/1985 09:00,,0.0,,,Beja
BARRANCOS,13/05/1985 09:00,,0.0,,,Beja
BARRANCOS,14/05/1985 09:00,,0.0,,,Beja
BARRANCOS,15/05/1985 09:00,,0.4,,,Beja
BARRANCOS,16/05/1985 09:00,,0.0,,,Beja
BARRANCOS,17/05/1985 09:00,,0.0,,,Beja
BARRANCOS,18/05/1985 09:00,,0.0,,,Beja
BARRANCOS,19/05/1985 09:00,,0.0,,,Beja
BARRANCOS,20/05/1985 09:00,,2.7,,,Beja
BARRANCOS,21/05/1985 09:00,,0.0,,,Beja
BARRANCOS,22/05/1985 09:00,,0.0,,,Beja
BARRANCOS,23/05/1985 09:00,,0.0,,,Beja
BARRANCOS,24/05/1985 09:00,,0.0,,,Beja
BARRANCOS,25/05/1985 09:00,,0.0,,,Beja
BARRANCOS,26/05/1985 09:00,,18.9,,,Beja
BARRANCOS,27/05/1985 09:00,,0.9,,,Beja
BARRANCOS,28/05/1985 09:00,,0.0,,,Beja
BARRANCOS,29/05/1985 09:00,,0.0,,,Beja
BARRANCOS,30/05/1985 09:00,,0.0,,,Beja
BARRANCOS,31/05/1985 09:00,,0.0,,,Beja
BARRANCOS,01/06/1985 09:00,,1.3,,,Beja
BARRANCOS,02/06/1985 09:00,,5.4,,,Beja
BARRANCOS,03/06/1985 09:00,,6.6,,,Beja
BARRANCOS,04/06/1985 09:00,,0.0,,,Beja
BARRANCOS,05/06/1985 09:00,,2.9,,,Beja
BARRANCOS,06/06/1985 09:00,,0.0,,,Beja
BARRANCOS,07/06/1985 09:00,,0.0,,,Beja
BARRANCOS,08/06/1985 09:00,,0.0,,,Beja
BARRANCOS,09/06/1985 09:00,,0.0,,,Beja
BARRANCOS,10/06/1985 09:00,,0.0,,,Beja
BARRANCOS,11/06/1985 09:00,,0.0,,,Beja
BARRANCOS,12/06/1985 09:00,,0.0,,,Beja
BARRANCOS,13/06/1985 09:00,,0.0,,,Beja
BARRANCOS,14/06/1985 09:00,,0.0,,,Beja
BARRANCOS,15/06/1985 09:00,,0.0,,,Beja
BARRANCOS,16/06/1985 09:00,,0.0,,,Beja
BARRANCOS,17/06/1985 09:00,,0.0,,,Beja
BARRANCOS,18/06/1985 09:00,,0.0,,,Beja
BARRANCOS,19/06/1985 09:00,,0.0,,,Beja
BARRANCOS,20/06/1985 09:00,,0.0,,,Beja
BARRANCOS,21/06/1985 09:00,,0.0,,,Beja
BARRANCOS,22/06/1985 09:00,,0.0,,,Beja
BARRANCOS,23/06/1985 09:00,,0.0,,,Beja
BARRANCOS,24/06/1985 09:00,,0.0,,,Beja
BARRANCOS,25/06/1985 09:00,,0.0,,,Beja
BARRANCOS,26/06/1985 09:00,,0.0,,,Beja
BARRANCOS,27/06/1985 09:00,,0.0,,,Beja
BARRANCOS,28/06/1985 09:00,,0.0,,,Beja
BARRANCOS,29/06/1985 09:00,,0.0,,,Beja
BARRANCOS,30/06/1985 09:00,,0.0,,,Beja
BARRANCOS,01/07/1985 09:00,,0.0,,,Beja
BARRANCOS,02/07/1985 09:00,,0.0,,,Beja
BARRANCOS,03/07/1985 09:00,,0.0,,,Beja
BARRANCOS,04/07/1985 09:00,,0.0,,,Beja
BARRANCOS,05/07/1985 09:00,,0.0,,,Beja
BARRANCOS,06/07/1985 09:00,,0.0,,,Beja
BARRANCOS,07/07/1985 09:00,,0.0,,,Beja
BARRANCOS,08/07/1985 09:00,,0.0,,,Beja
BARRANCOS,09/07/1985 09:00,,0.0,,,Beja
BARRANCOS,10/07/1985 09:00,,0.0,,,Beja
BARRANCOS,11/07/1985 09:00,,0.0,,,Beja
BARRANCOS,12/07/1985 09:00,,0.0,,,Beja
BARRANCOS,13/07/1985 09:00,,0.0,,,Beja
BARRANCOS,14/07/1985 09:00,,0.0,,,Beja
BARRANCOS,15/07/1985 09:00,,0.0,,,Beja
BARRANCOS,16/07/1985 09:00,,0.0,,,Beja
BARRANCOS,17/07/1985 09:00,,0.0,,,Beja
BARRANCOS,18/07/1985 09:00,,0.0,,,Beja
BARRANCOS,19/07/1985 09:00,,0.0,,,Beja
BARRANCOS,20/07/1985 09:00,,0.0,,,Beja
BARRANCOS,21/07/1985 09:00,,0.0,,,Beja
BARRANCOS,22/07/1985 09:00,,0.0,,,Beja
BARRANCOS,23/07/1985 09:00,,0.0,,,Beja
BARRANCOS,24/07/1985 09:00,,0.0,,,Beja
BARRANCOS,25/07/1985 09:00,,0.0,,,Beja
BARRANCOS,26/07/1985 09:00,,0.0,,,Beja
BARRANCOS,27/07/1985 09:00,,0.0,,,Beja
BARRANCOS,28/07/1985 09:00,,0.0,,,Beja
BARRANCOS,29/07/1985 09:00,,0.0,,,Beja
BARRANCOS,30/07/1985 09:00,,0.0,,,Beja
BARRANCOS,31/07/1985 09:00,,0.0,,,Beja
BARRANCOS,01/08/1985 09:00,,0.0,,,Beja
BARRANCOS,02/08/1985 09:00,,0.0,,,Beja
BARRANCOS,03/08/1985 09:00,,0.0,,,Beja
BARRANCOS,04/08/1985 09:00,,0.0,,,Beja
BARRANCOS,05/08/1985 09:00,,0.0,,,Beja
BARRANCOS,06/08/1985 09:00,,0.0,,,Beja
BARRANCOS,07/08/1985 09:00,,0.0,,,Beja
BARRANCOS,08/08/1985 09:00,,0.0,,,Beja
BARRANCOS,09/08/1985 09:00,,0.0,,,Beja
BARRANCOS,10/08/1985 09:00,,0.0,,,Beja
BARRANCOS,11/08/1985 09:00,,0.0,,,Beja
BARRANCOS,12/08/1985 09:00,,0.0,,,Beja
BARRANCOS,13/08/1985 09:00,,0.0,,,Beja
BARRANCOS,14/08/1985 09:00,,0.0,,,Beja
BARRANCOS,15/08/1985 09:00,,0.0,,,Beja
BARRANCOS,16/08/1985 09:00,,0.0,,,Beja
BARRANCOS,17/08/1985 09:00,,0.0,,,Beja
BARRANCOS,18/08/1985 09:00,,0.0,,,Beja
BARRANCOS,19/08/1985 09:00,,0.0,,,Beja
BARRANCOS,20/08/1985 09:00,,0.0,,,Beja
BARRANCOS,21/08/1985 09:00,,0.0,,,Beja
BARRANCOS,22/08/1985 09:00,,0.0,,,Beja
