Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
CABECEIRAS DE BASTO,01/05/1985 09:00,,0.0,,,Braga
CABECEIRAS DE BASTO,02/05/1985 09:00,,0.0,,,Braga
CABECEIRAS DE BASTO,03/05/1985 09:00,,0.0,,,Braga
CABECEIRAS DE BASTO,04/05/1985 09:00,,0.0,,,Braga
CABECEIRAS DE BASTO,05/05/1985 09:00,,3.0,,,Braga
CABECEIRAS DE BASTO,06/05/1985 09:00,,2.0,,,Braga
CABECEIRAS DE BASTO,07/05/1985 09:00,,0.0,,,Braga
CABECEIRAS DE BASTO,08/05/1985 09:00,,0.0,,,Braga
CABECEIRAS DE BASTO,09/05/1985 09:00,,0.0,,,Braga
CABECEIRAS DE BASTO,10/05/1985 09:00,,0.0,,,Braga
CABECEIRAS DE BASTO,11/05/1985 09:00,,0.0,,,Braga
CABECEIRAS DE BASTO,12/05/1985 09:00,,0.0,,,Braga
CABECEIRAS DE BASTO,13/05/1985 09:00,,0.0,,,Braga
CABECEIRAS DE BASTO,14/05/1985 09:00,,2.5,,,Braga
CABECEIRAS DE BASTO,15/05/1985 09:00,,5.0,,,Braga
CABECEIRAS DE BASTO,16/05/1985 09:00,,0.0,,,Braga
CABECEIRAS DE BASTO,17/05/1985 09:00,,0.0,,,Braga
CABECEIRAS DE BASTO,18/05/1985 09:00,,0.0,,,Braga
CABECEIRAS DE BASTO,19/05/1985 09:00,,0.0,,,Braga
CABECEIRAS DE BASTO,20/05/1985 09:00,,0.0,,,Braga
CABECEIRAS DE BASTO,21/05/1985 09:00,,0.0,,,Braga
CABECEIRAS DE BASTO,22/05/1985 09:00,,0.0,,,Braga
CABECEIRAS DE BASTO,23/05/1985 09:00,,0.0,,,Braga
CABECEIRAS DE BASTO,24/05/1985 09:00,,0.0,,,Braga
CABECEIRAS DE BASTO,25/05/1985 09:00,,0.0,,,Braga
CABECEIRAS DE BASTO,26/05/1985 09:00,,3.5,,,Braga
CABECEIRAS DE BASTO,27/05/1985 09:00,,17.0,,,Braga
