Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
CABEÇO MONTEIRO,01/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,02/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,03/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,04/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,05/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,06/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,07/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,08/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,09/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,10/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,11/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,12/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,13/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,14/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,15/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,16/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,17/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,18/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,19/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,20/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,21/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,22/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,23/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,24/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,25/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,26/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,27/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,28/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,29/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,30/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,31/05/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,01/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,02/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,03/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,04/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,05/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,06/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,07/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,08/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,09/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,10/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,11/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,12/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,13/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,14/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,15/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,16/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,17/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,18/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,19/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,20/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,21/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,22/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,23/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,24/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,25/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,26/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,27/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,28/06/1985 09:00,,,,,Leiria
CABEÇO MONTEIRO,29/06/1985 09:00,,,,,Leiria
