Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
CABREIRO,01/05/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,02/05/1985 09:00,,20.0,,,Viana do Castelo
CABREIRO,03/05/1985 09:00,,7.5,,,Viana do Castelo
CABREIRO,04/05/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,05/05/1985 09:00,,0.7,,,Viana do Castelo
CABREIRO,06/05/1985 09:00,,2.8,,,Viana do Castelo
CABREIRO,07/05/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,08/05/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,09/05/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,10/05/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,11/05/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,12/05/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,13/05/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,14/05/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,15/05/1985 09:00,,7.0,,,Viana do Castelo
CABREIRO,16/05/1985 09:00,,8.5,,,Viana do Castelo
CABREIRO,17/05/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,18/05/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,19/05/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,20/05/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,21/05/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,22/05/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,23/05/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,24/05/1985 09:00,,7.0,,,Viana do Castelo
CABREIRO,25/05/1985 09:00,,2.5,,,Viana do Castelo
CABREIRO,26/05/1985 09:00,,3.0,,,Viana do Castelo
CABREIRO,27/05/1985 09:00,,5.0,,,Viana do Castelo
CABREIRO,28/05/1985 09:00,,1.7,,,Viana do Castelo
CABREIRO,29/05/1985 09:00,,2.5,,,Viana do Castelo
CABREIRO,30/05/1985 09:00,,4.0,,,Viana do Castelo
CABREIRO,31/05/1985 09:00,,1.0,,,Viana do Castelo
CABREIRO,01/06/1985 09:00,,8.0,,,Viana do Castelo
CABREIRO,02/06/1985 09:00,,10.0,,,Viana do Castelo
CABREIRO,03/06/1985 09:00,,9.5,,,Viana do Castelo
CABREIRO,04/06/1985 09:00,,12.0,,,Viana do Castelo
CABREIRO,05/06/1985 09:00,,11.5,,,Viana do Castelo
CABREIRO,06/06/1985 09:00,,16.5,,,Viana do Castelo
CABREIRO,07/06/1985 09:00,,12.0,,,Viana do Castelo
CABREIRO,08/06/1985 09:00,,10.0,,,Viana do Castelo
CABREIRO,09/06/1985 09:00,,2.0,,,Viana do Castelo
CABREIRO,10/06/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,11/06/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,12/06/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,13/06/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,14/06/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,15/06/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,16/06/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,17/06/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,18/06/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,19/06/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,20/06/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,21/06/1985 09:00,,4.0,,,Viana do Castelo
CABREIRO,22/06/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,23/06/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,24/06/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,25/06/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,26/06/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,27/06/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,28/06/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,29/06/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,30/06/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,01/07/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,02/07/1985 09:00,,11.5,,,Viana do Castelo
CABREIRO,03/07/1985 09:00,,16.5,,,Viana do Castelo
CABREIRO,04/07/1985 09:00,,2.0,,,Viana do Castelo
CABREIRO,05/07/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,06/07/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,07/07/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,08/07/1985 09:00,,1.5,,,Viana do Castelo
CABREIRO,09/07/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,10/07/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,11/07/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,12/07/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,13/07/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,14/07/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,15/07/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,16/07/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,17/07/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,18/07/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,19/07/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,20/07/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,21/07/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,22/07/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,23/07/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,24/07/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,25/07/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,26/07/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,27/07/1985 09:00,,8.0,,,Viana do Castelo
CABREIRO,28/07/1985 09:00,,1.7,,,Viana do Castelo
CABREIRO,29/07/1985 09:00,,0.6,,,Viana do Castelo
CABREIRO,30/07/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,31/07/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,01/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,02/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,03/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,04/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,05/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,06/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,07/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,08/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,09/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,10/08/1985 09:00,,3.0,,,Viana do Castelo
CABREIRO,11/08/1985 09:00,,2.5,,,Viana do Castelo
CABREIRO,12/08/1985 09:00,,6.0,,,Viana do Castelo
CABREIRO,13/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,14/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,15/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,16/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,17/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,18/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,19/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,20/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,21/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,22/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,23/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,24/08/1985 09:00,,1.8,,,Viana do Castelo
CABREIRO,25/08/1985 09:00,,0.7,,,Viana do Castelo
CABREIRO,26/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,27/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,28/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,29/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,30/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,31/08/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,01/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,02/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,03/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,04/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,05/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,06/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,07/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,08/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,09/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,10/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,11/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,12/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,13/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,14/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,15/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,16/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,17/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,18/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,19/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,20/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,21/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,22/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,23/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,24/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,25/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,26/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,27/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,28/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,29/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,30/09/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,01/10/1985 09:00,,11.0,,,Viana do Castelo
CABREIRO,02/10/1985 09:00,,6.0,,,Viana do Castelo
CABREIRO,03/10/1985 09:00,,12.0,,,Viana do Castelo
CABREIRO,04/10/1985 09:00,,7.0,,,Viana do Castelo
CABREIRO,05/10/1985 09:00,,2.5,,,Viana do Castelo
CABREIRO,06/10/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,07/10/1985 09:00,,0.0,,,Viana do Castelo
CABREIRO,08/10/1985 09:00,,0.0,,,Viana do Castelo
