Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
CANAL,01/05/1985 09:00,,0.0,,,
CANAL,02/05/1985 09:00,,0.0,,,
CANAL,03/05/1985 09:00,,7.5,,,
CANAL,04/05/1985 09:00,,0.0,,,
CANAL,05/05/1985 09:00,,0.0,,,
CANAL,06/05/1985 09:00,,0.0,,,
CANAL,07/05/1985 09:00,,17.5,,,
CANAL,08/05/1985 09:00,,0.0,,,
CANAL,09/05/1985 09:00,,0.0,,,
CANAL,10/05/1985 09:00,,0.0,,,
CANAL,11/05/1985 09:00,,0.0,,,
CANAL,12/05/1985 09:00,,0.0,,,
CANAL,13/05/1985 09:00,,0.0,,,
CANAL,14/05/1985 09:00,,0.0,,,
CANAL,15/05/1985 09:00,,0.0,,,
CANAL,16/05/1985 09:00,,0.0,,,
CANAL,17/05/1985 09:00,,0.0,,,
CANAL,18/05/1985 09:00,,0.0,,,
CANAL,19/05/1985 09:00,,25.0,,,
CANAL,20/05/1985 09:00,,0.0,,,
CANAL,21/05/1985 09:00,,0.0,,,
CANAL,22/05/1985 09:00,,0.0,,,
CANAL,23/05/1985 09:00,,0.0,,,
CANAL,24/05/1985 09:00,,0.0,,,
CANAL,25/05/1985 09:00,,0.0,,,
CANAL,26/05/1985 09:00,,0.0,,,
CANAL,27/05/1985 09:00,,8.5,,,
CANAL,28/05/1985 09:00,,3.5,,,
CANAL,29/05/1985 09:00,,0.0,,,
CANAL,30/05/1985 09:00,,0.0,,,
CANAL,31/05/1985 09:00,,0.0,,,
CANAL,01/06/1985 09:00,,30.0,,,
CANAL,02/06/1985 09:00,,0.0,,,
CANAL,03/06/1985 09:00,,3.0,,,
CANAL,04/06/1985 09:00,,0.0,,,
CANAL,05/06/1985 09:00,,0.0,,,
CANAL,06/06/1985 09:00,,0.0,,,
CANAL,07/06/1985 09:00,,3.0,,,
CANAL,08/06/1985 09:00,,0.0,,,
CANAL,09/06/1985 09:00,,0.0,,,
CANAL,10/06/1985 09:00,,0.0,,,
CANAL,11/06/1985 09:00,,0.0,,,
CANAL,12/06/1985 09:00,,0.0,,,
CANAL,13/06/1985 09:00,,0.0,,,
CANAL,14/06/1985 09:00,,0.0,,,
CANAL,15/06/1985 09:00,,0.0,,,
CANAL,16/06/1985 09:00,,0.0,,,
CANAL,17/06/1985 09:00,,2.5,,,
CANAL,18/06/1985 09:00,,0.0,,,
CANAL,19/06/1985 09:00,,0.0,,,
CANAL,20/06/1985 09:00,,0.0,,,
CANAL,21/06/1985 09:00,,0.0,,,
CANAL,22/06/1985 09:00,,0.0,,,
CANAL,23/06/1985 09:00,,0.0,,,
CANAL,24/06/1985 09:00,,0.0,,,
CANAL,25/06/1985 09:00,,0.0,,,
CANAL,26/06/1985 09:00,,0.0,,,
CANAL,27/06/1985 09:00,,0.0,,,
CANAL,28/06/1985 09:00,,0.0,,,
CANAL,29/06/1985 09:00,,0.0,,,
CANAL,30/06/1985 09:00,,0.0,,,
CANAL,01/07/1985 09:00,,0.0,,,
CANAL,02/07/1985 09:00,,13.5,,,
CANAL,03/07/1985 09:00,,0.0,,,
CANAL,04/07/1985 09:00,,0.0,,,
CANAL,05/07/1985 09:00,,0.0,,,
