Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
CERNACHE DE BONJARDIM,01/05/1985 09:00,,0.0,,,Castelo Branco
CERNACHE DE BONJARDIM,02/05/1985 09:00,,0.0,,,Castelo Branco
CERNACHE DE BONJARDIM,03/05/1985 09:00,,0.0,,,Castelo Branco
CERNACHE DE BONJARDIM,04/05/1985 09:00,,1.7,,,Castelo Branco
CERNACHE DE BONJARDIM,05/05/1985 09:00,,0.0,,,Castelo Branco
CERNACHE DE BONJARDIM,06/05/1985 09:00,,7.7,,,Castelo Branco
CERNACHE DE BONJARDIM,07/05/1985 09:00,,12.8,,,Castelo Branco
CERNACHE DE BONJARDIM,08/05/1985 09:00,,0.0,,,Castelo Branco
CERNACHE DE BONJARDIM,09/05/1985 09:00,,0.0,,,Castelo Branco
CERNACHE DE BONJARDIM,10/05/1985 09:00,,0.0,,,Castelo Branco
CERNACHE DE BONJARDIM,11/05/1985 09:00,,0.0,,,Castelo Branco
CERNACHE DE BONJARDIM,12/05/1985 09:00,,0.0,,,Castelo Branco
CERNACHE DE BONJARDIM,13/05/1985 09:00,,0.0,,,Castelo Branco
CERNACHE DE BONJARDIM,14/05/1985 09:00,,0.0,,,Castelo Branco
CERNACHE DE BONJARDIM,15/05/1985 09:00,,0.0,,,Castelo Branco
CERNACHE DE BONJARDIM,16/05/1985 09:00,,0.0,,,Castelo Branco
CERNACHE DE BONJARDIM,17/05/1985 09:00,,7.0,,,Castelo Branco
CERNACHE DE BONJARDIM,18/05/1985 09:00,,0.0,,,Castelo Branco
CERNACHE DE BONJARDIM,19/05/1985 09:00,,0.0,,,Castelo Branco
CERNACHE DE BONJARDIM,20/05/1985 09:00,,2.2,,,Castelo Branco
CERNACHE DE BONJARDIM,21/05/1985 09:00,,0.0,,,Castelo Branco
CERNACHE DE BONJARDIM,22/05/1985 09:00,,0.0,,,Castelo Branco
CERNACHE DE BONJARDIM,23/05/1985 09:00,,0.0,,,Castelo Branco
CERNACHE DE BONJARDIM,24/05/1985 09:00,,0.0,,,Castelo Branco
CERNACHE DE BONJARDIM,25/05/1985 09:00,,0.0,,,Castelo Branco
CERNACHE DE BONJARDIM,26/05/1985 09:00,,3.0,,,Castelo Branco
CERNACHE DE BONJARDIM,27/05/1985 09:00,,9.1,,,Castelo Branco
CERNACHE DE BONJARDIM,28/05/1985 09:00,,0.0,,,Castelo Branco
CERNACHE DE BONJARDIM,29/05/1985 09:00,,0.0,,,Castelo Branco
CERNACHE DE BONJARDIM,30/05/1985 09:00,,13.6,,,Castelo Branco
CERNACHE DE BONJARDIM,31/05/1985 09:00,,0.0,,,Castelo Branco
CERNACHE DE BONJARDIM,01/06/1985 09:00,,4.7,,,Castelo Branco
CERNACHE DE BONJARDIM,02/06/1985 09:00,,0.0,,,Castelo Branco
CERNACHE DE BONJARDIM,03/06/1985 09:00,,25.0,,,Castelo Branco
CERNACHE DE BONJARDIM,04/06/1985 09:00,,0.0,,,Castelo Branco
CERNACHE DE BONJARDIM,05/06/1985 09:00,,4.5,,,Castelo Branco
CERNACHE DE BONJARDIM,06/06/1985 09:00,,0.0,,,Castelo Branco
