Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
CODECEIRO,01/05/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,02/05/1985 09:00,,7.2,,,Viana do Castelo
CODECEIRO,03/05/1985 09:00,,8.4,,,Viana do Castelo
CODECEIRO,04/05/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,05/05/1985 09:00,,2.0,,,Viana do Castelo
CODECEIRO,06/05/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,07/05/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,08/05/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,09/05/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,10/05/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,11/05/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,12/05/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,13/05/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,14/05/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,15/05/1985 09:00,,8.3,,,Viana do Castelo
CODECEIRO,16/05/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,17/05/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,18/05/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,19/05/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,20/05/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,21/05/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,22/05/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,23/05/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,24/05/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,25/05/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,26/05/1985 09:00,,8.2,,,Viana do Castelo
CODECEIRO,27/05/1985 09:00,,12.4,,,Viana do Castelo
CODECEIRO,28/05/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,29/05/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,30/05/1985 09:00,,11.3,,,Viana do Castelo
CODECEIRO,31/05/1985 09:00,,12.0,,,Viana do Castelo
CODECEIRO,01/06/1985 09:00,,32.4,,,Viana do Castelo
CODECEIRO,02/06/1985 09:00,,8.2,,,Viana do Castelo
CODECEIRO,03/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,04/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,05/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,06/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,07/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,08/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,09/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,10/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,11/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,12/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,13/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,14/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,15/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,16/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,17/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,18/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,19/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,20/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,21/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,22/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,23/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,24/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,25/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,26/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,27/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,28/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,29/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,30/06/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,01/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,02/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,03/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,04/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,05/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,06/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,07/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,08/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,09/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,10/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,11/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,12/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,13/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,14/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,15/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,16/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,17/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,18/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,19/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,20/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,21/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,22/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,23/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,24/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,25/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,26/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,27/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,28/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,29/07/1985 09:00,,0.0,,,Viana do Castelo
CODECEIRO,30/07/1985 09:00,,0.0,,,Viana do Castelo
