Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
COIMBRA,01/05/1985 09:00,,0.0,,,Coimbra
COIMBRA,02/05/1985 09:00,,0.0,,,Coimbra
COIMBRA,03/05/1985 09:00,,0.0,,,Coimbra
COIMBRA,04/05/1985 09:00,,0.0,,,Coimbra
COIMBRA,05/05/1985 09:00,,4.0,,,Coimbra
COIMBRA,06/05/1985 09:00,,10.5,,,Coimbra
COIMBRA,07/05/1985 09:00,,6.2,,,Coimbra
COIMBRA,08/05/1985 09:00,,0.0,,,Coimbra
COIMBRA,09/05/1985 09:00,,0.0,,,Coimbra
COIMBRA,10/05/1985 09:00,,0.0,,,Coimbra
COIMBRA,11/05/1985 09:00,,0.0,,,Coimbra
COIMBRA,12/05/1985 09:00,,0.0,,,Coimbra
COIMBRA,13/05/1985 09:00,,0.0,,,Coimbra
COIMBRA,14/05/1985 09:00,,0.0,,,Coimbra
COIMBRA,15/05/1985 09:00,,0.0,,,Coimbra
COIMBRA,16/05/1985 09:00,,9.4,,,Coimbra
COIMBRA,17/05/1985 09:00,,0.0,,,Coimbra
COIMBRA,18/05/1985 09:00,,0.0,,,Coimbra
COIMBRA,19/05/1985 09:00,,2.9,,,Coimbra
COIMBRA,20/05/1985 09:00,,0.0,,,Coimbra
COIMBRA,21/05/1985 09:00,,0.0,,,Coimbra
COIMBRA,22/05/1985 09:00,,0.0,,,Coimbra
COIMBRA,23/05/1985 09:00,,0.0,,,Coimbra
COIMBRA,24/05/1985 09:00,,0.0,,,Coimbra
COIMBRA,25/05/1985 09:00,,0.0,,,Coimbra
COIMBRA,26/05/1985 09:00,,0.0,,,Coimbra
COIMBRA,27/05/1985 09:00,,23.6,,,Coimbra
COIMBRA,28/05/1985 09:00,,0.0,,,Coimbra
COIMBRA,29/05/1985 09:00,,0.0,,,Coimbra
COIMBRA,30/05/1985 09:00,,2.1,,,Coimbra
COIMBRA,31/05/1985 09:00,,0.0,,,Coimbra
COIMBRA,01/06/1985 09:00,,6.4,,,Coimbra
COIMBRA,02/06/1985 09:00,,22.3,,,Coimbra
COIMBRA,03/06/1985 09:00,,3.2,,,Coimbra
COIMBRA,04/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,05/06/1985 09:00,,4.8,,,Coimbra
COIMBRA,06/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,07/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,08/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,09/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,10/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,11/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,12/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,13/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,14/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,15/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,16/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,17/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,18/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,19/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,20/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,21/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,22/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,23/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,24/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,25/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,26/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,27/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,28/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,29/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,30/06/1985 09:00,,0.0,,,Coimbra
COIMBRA,01/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,02/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,03/07/1985 09:00,,7.4,,,Coimbra
COIMBRA,04/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,05/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,06/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,07/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,08/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,09/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,10/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,11/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,12/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,13/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,14/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,15/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,16/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,17/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,18/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,19/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,20/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,21/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,22/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,23/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,24/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,25/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,26/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,27/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,28/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,29/07/1985 09:00,,3.7,,,Coimbra
COIMBRA,30/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,31/07/1985 09:00,,0.0,,,Coimbra
COIMBRA,01/08/1985 09:00,,0.0,,,Coimbra
COIMBRA,02/08/1985 09:00,,0.0,,,Coimbra
