Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
COMPORTA,01/05/1985 09:00,74.5,0.0,18.7,,Setúbal
COMPORTA,02/05/1985 09:00,85.0,0.0,16.0,,Setúbal
COMPORTA,03/05/1985 09:00,89.0,0.0,15.6,,Setúbal
COMPORTA,04/05/1985 09:00,80.0,0.0,18.0,,Setúbal
COMPORTA,05/05/1985 09:00,74.0,0.0,14.7,,Setúbal
COMPORTA,06/05/1985 09:00,82.5,0.0,15.2,,Setúbal
COMPORTA,07/05/1985 09:00,66.0,3.2,13.1,,Setúbal
COMPORTA,08/05/1985 09:00,63.5,0.0,15.2,,Setúbal
COMPORTA,09/05/1985 09:00,75.5,0.0,16.5,,Setúbal
COMPORTA,10/05/1985 09:00,60.0,0.0,15.8,,Setúbal
COMPORTA,11/05/1985 09:00,58.0,0.0,14.4,,Setúbal
COMPORTA,12/05/1985 09:00,73.5,0.0,14.9,,Setúbal
COMPORTA,13/05/1985 09:00,79.0,0.0,14.9,,Setúbal
COMPORTA,14/05/1985 09:00,68.0,0.0,13.9,,Setúbal
COMPORTA,15/05/1985 09:00,89.0,0.0,13.5,,Setúbal
COMPORTA,16/05/1985 09:00,78.0,1.2,15.6,,Setúbal
COMPORTA,17/05/1985 09:00,78.5,0.0,15.1,,Setúbal
COMPORTA,18/05/1985 09:00,64.5,0.0,19.3,,Setúbal
COMPORTA,19/05/1985 09:00,65.0,0.0,19.0,,Setúbal
COMPORTA,20/05/1985 09:00,78.5,0.0,15.2,,Setúbal
COMPORTA,21/05/1985 09:00,73.0,0.0,15.3,,Setúbal
COMPORTA,22/05/1985 09:00,78.5,0.0,14.7,,Setúbal
COMPORTA,23/05/1985 09:00,74.0,0.0,14.3,,Setúbal
COMPORTA,24/05/1985 09:00,79.0,0.0,15.4,,Setúbal
COMPORTA,25/05/1985 09:00,90.0,0.0,14.5,,Setúbal
COMPORTA,26/05/1985 09:00,90.0,6.2,17.3,,Setúbal
COMPORTA,27/05/1985 09:00,90.0,2.6,16.3,,Setúbal
COMPORTA,28/05/1985 09:00,79.0,0.0,15.1,,Setúbal
COMPORTA,29/05/1985 09:00,89.0,4.6,16.8,,Setúbal
COMPORTA,30/05/1985 09:00,91.0,14.5,16.8,,Setúbal
COMPORTA,31/05/1985 09:00,85.0,0.0,17.1,,Setúbal
COMPORTA,01/06/1985 09:00,85.0,0.0,17.4,,Setúbal
COMPORTA,02/06/1985 09:00,90.0,0.0,16.9,,Setúbal
COMPORTA,03/06/1985 09:00,80.0,0.0,16.7,,Setúbal
COMPORTA,04/06/1985 09:00,90.0,0.0,16.3,,Setúbal
COMPORTA,05/06/1985 09:00,95.0,0.8,17.7,,Setúbal
COMPORTA,06/06/1985 09:00,95.0,0.0,16.9,,Setúbal
COMPORTA,07/06/1985 09:00,85.5,0.0,17.5,,Setúbal
COMPORTA,08/06/1985 09:00,76.0,0.0,18.5,,Setúbal
COMPORTA,09/06/1985 09:00,81.0,0.0,16.9,,Setúbal
COMPORTA,10/06/1985 09:00,76.0,0.0,19.5,,Setúbal
COMPORTA,11/06/1985 09:00,66.0,0.0,20.4,,Setúbal
COMPORTA,12/06/1985 09:00,95.0,0.0,18.3,,Setúbal
COMPORTA,13/06/1985 09:00,70.0,0.0,16.3,,Setúbal
COMPORTA,14/06/1985 09:00,91.0,0.0,17.2,,Setúbal
COMPORTA,15/06/1985 09:00,86.0,0.0,18.1,,Setúbal
COMPORTA,16/06/1985 09:00,73.0,0.0,20.3,,Setúbal
COMPORTA,17/06/1985 09:00,82.0,0.0,21.1,,Setúbal
COMPORTA,18/06/1985 09:00,72.0,0.0,20.0,,Setúbal
COMPORTA,19/06/1985 09:00,73.0,0.0,19.3,,Setúbal
COMPORTA,20/06/1985 09:00,81.0,0.0,19.5,,Setúbal
COMPORTA,21/06/1985 09:00,82.0,0.0,17.5,,Setúbal
COMPORTA,22/06/1985 09:00,64.0,0.0,19.2,,Setúbal
COMPORTA,23/06/1985 09:00,81.0,0.0,17.9,,Setúbal
COMPORTA,24/06/1985 09:00,73.0,0.0,21.3,,Setúbal
COMPORTA,25/06/1985 09:00,67.0,0.0,19.2,,Setúbal
COMPORTA,26/06/1985 09:00,75.0,0.0,20.4,,Setúbal
COMPORTA,27/06/1985 09:00,82.0,0.0,22.2,,Setúbal
COMPORTA,28/06/1985 09:00,67.0,0.0,18.8,,Setúbal
COMPORTA,29/06/1985 09:00,42.0,0.0,18.0,,Setúbal
COMPORTA,30/06/1985 09:00,67.0,0.0,17.35,,Setúbal
COMPORTA,01/07/1985 09:00,91.0,0.0,16.9,,Setúbal
COMPORTA,02/07/1985 09:00,91.0,0.0,16.3,,Setúbal
COMPORTA,03/07/1985 09:00,73.0,0.0,16.6,,Setúbal
COMPORTA,04/07/1985 09:00,73.0,0.0,19.0,,Setúbal
COMPORTA,05/07/1985 09:00,74.0,0.0,19.6,,Setúbal
COMPORTA,06/07/1985 09:00,70.0,0.0,21.5,,Setúbal
COMPORTA,07/07/1985 09:00,68.0,0.0,22.3,,Setúbal
COMPORTA,08/07/1985 09:00,82.0,0.0,19.7,,Setúbal
COMPORTA,09/07/1985 09:00,81.0,0.0,17.5,,Setúbal
COMPORTA,10/07/1985 09:00,81.0,0.0,17.9,,Setúbal
COMPORTA,11/07/1985 09:00,100.0,0.0,17.2,,Setúbal
COMPORTA,12/07/1985 09:00,73.0,0.0,16.5,,Setúbal
COMPORTA,13/07/1985 09:00,82.0,0.0,17.1,,Setúbal
COMPORTA,14/07/1985 09:00,82.0,0.0,19.1,,Setúbal
COMPORTA,15/07/1985 09:00,75.0,0.0,19.2,,Setúbal
COMPORTA,16/07/1985 09:00,75.0,0.0,21.3,,Setúbal
COMPORTA,17/07/1985 09:00,82.0,0.0,20.0,,Setúbal
COMPORTA,18/07/1985 09:00,75.0,0.0,21.6,,Setúbal
COMPORTA,19/07/1985 09:00,74.0,0.0,23.0,,Setúbal
COMPORTA,20/07/1985 09:00,68.0,0.0,22.2,,Setúbal
COMPORTA,21/07/1985 09:00,75.0,0.0,20.4,,Setúbal
COMPORTA,22/07/1985 09:00,83.0,0.0,21.9,,Setúbal
