Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
FAZ FATO,01/05/1985 09:00,,0.0,,,Faro
FAZ FATO,02/05/1985 09:00,,0.0,,,Faro
FAZ FATO,03/05/1985 09:00,,0.0,,,Faro
FAZ FATO,04/05/1985 09:00,,8.0,,,Faro
FAZ FATO,05/05/1985 09:00,,9.0,,,Faro
FAZ FATO,06/05/1985 09:00,,0.0,,,Faro
FAZ FATO,07/05/1985 09:00,,0.0,,,Faro
FAZ FATO,08/05/1985 09:00,,0.0,,,Faro
FAZ FATO,09/05/1985 09:00,,4.0,,,Faro
FAZ FATO,10/05/1985 09:00,,0.0,,,Faro
FAZ FATO,11/05/1985 09:00,,0.0,,,Faro
FAZ FATO,12/05/1985 09:00,,0.0,,,Faro
FAZ FATO,13/05/1985 09:00,,0.0,,,Faro
FAZ FATO,14/05/1985 09:00,,0.0,,,Faro
FAZ FATO,15/05/1985 09:00,,0.0,,,Faro
FAZ FATO,16/05/1985 09:00,,0.0,,,Faro
FAZ FATO,17/05/1985 09:00,,4.0,,,Faro
FAZ FATO,18/05/1985 09:00,,0.0,,,Faro
FAZ FATO,19/05/1985 09:00,,0.0,,,Faro
FAZ FATO,20/05/1985 09:00,,0.0,,,Faro
FAZ FATO,21/05/1985 09:00,,0.0,,,Faro
FAZ FATO,22/05/1985 09:00,,0.0,,,Faro
FAZ FATO,23/05/1985 09:00,,0.0,,,Faro
FAZ FATO,24/05/1985 09:00,,0.0,,,Faro
FAZ FATO,25/05/1985 09:00,,0.0,,,Faro
FAZ FATO,26/05/1985 09:00,,0.0,,,Faro
FAZ FATO,27/05/1985 09:00,,0.0,,,Faro
FAZ FATO,28/05/1985 09:00,,0.0,,,Faro
FAZ FATO,29/05/1985 09:00,,0.0,,,Faro
FAZ FATO,30/05/1985 09:00,,0.0,,,Faro
FAZ FATO,31/05/1985 09:00,,0.0,,,Faro
FAZ FATO,01/06/1985 09:00,,0.0,,,Faro
FAZ FATO,02/06/1985 09:00,,0.0,,,Faro
FAZ FATO,03/06/1985 09:00,,0.0,,,Faro
FAZ FATO,04/06/1985 09:00,,0.0,,,Faro
FAZ FATO,05/06/1985 09:00,,0.0,,,Faro
FAZ FATO,06/06/1985 09:00,,0.0,,,Faro
FAZ FATO,07/06/1985 09:00,,0.0,,,Faro
FAZ FATO,08/06/1985 09:00,,0.0,,,Faro
FAZ FATO,09/06/1985 09:00,,0.0,,,Faro
FAZ FATO,10/06/1985 09:00,,0.0,,,Faro
FAZ FATO,11/06/1985 09:00,,0.0,,,Faro
FAZ FATO,12/06/1985 09:00,,0.0,,,Faro
FAZ FATO,13/06/1985 09:00,,0.0,,,Faro
FAZ FATO,14/06/1985 09:00,,0.0,,,Faro
FAZ FATO,15/06/1985 09:00,,0.0,,,Faro
FAZ FATO,16/06/1985 09:00,,0.0,,,Faro
FAZ FATO,17/06/1985 09:00,,0.0,,,Faro
FAZ FATO,18/06/1985 09:00,,0.0,,,Faro
FAZ FATO,19/06/1985 09:00,,16.0,,,Faro
FAZ FATO,20/06/1985 09:00,,0.0,,,Faro
FAZ FATO,21/06/1985 09:00,,0.0,,,Faro
FAZ FATO,22/06/1985 09:00,,0.0,,,Faro
FAZ FATO,23/06/1985 09:00,,0.0,,,Faro
FAZ FATO,24/06/1985 09:00,,0.0,,,Faro
FAZ FATO,25/06/1985 09:00,,0.0,,,Faro
FAZ FATO,26/06/1985 09:00,,0.0,,,Faro
FAZ FATO,27/06/1985 09:00,,0.0,,,Faro
FAZ FATO,28/06/1985 09:00,,0.0,,,Faro
FAZ FATO,29/06/1985 09:00,,0.0,,,Faro
FAZ FATO,30/06/1985 09:00,,0.0,,,Faro
FAZ FATO,01/07/1985 09:00,,0.0,,,Faro
FAZ FATO,02/07/1985 09:00,,0.0,,,Faro
FAZ FATO,03/07/1985 09:00,,0.0,,,Faro
FAZ FATO,04/07/1985 09:00,,0.0,,,Faro
FAZ FATO,05/07/1985 09:00,,0.0,,,Faro
FAZ FATO,06/07/1985 09:00,,0.0,,,Faro
FAZ FATO,07/07/1985 09:00,,0.0,,,Faro
FAZ FATO,08/07/1985 09:00,,0.0,,,Faro
FAZ FATO,09/07/1985 09:00,,0.0,,,Faro
FAZ FATO,10/07/1985 09:00,,0.0,,,Faro
FAZ FATO,11/07/1985 09:00,,0.0,,,Faro
FAZ FATO,12/07/1985 09:00,,0.0,,,Faro
FAZ FATO,13/07/1985 09:00,,0.0,,,Faro
FAZ FATO,14/07/1985 09:00,,0.0,,,Faro
FAZ FATO,15/07/1985 09:00,,0.0,,,Faro
FAZ FATO,16/07/1985 09:00,,0.0,,,Faro
FAZ FATO,17/07/1985 09:00,,0.0,,,Faro
