Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
FOROS DE VALE DA FIGUEIRA,01/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,02/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,03/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,04/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,05/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,06/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,07/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,08/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,09/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,10/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,11/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,12/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,13/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,14/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,15/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,16/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,17/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,18/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,19/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,20/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,21/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,22/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,23/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,24/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,25/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,26/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,27/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,28/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,29/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,30/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,31/05/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,01/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,02/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,03/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,04/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,05/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,06/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,07/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,08/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,09/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,10/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,11/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,12/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,13/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,14/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,15/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,16/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,17/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,18/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,19/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,20/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,21/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,22/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,23/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,24/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,25/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,26/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,27/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,28/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,29/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,30/06/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,01/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,02/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,03/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,04/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,05/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,06/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,07/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,08/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,09/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,10/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,11/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,12/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,13/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,14/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,15/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,16/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,17/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,18/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,19/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,20/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,21/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,22/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,23/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,24/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,25/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,26/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,27/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,28/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,29/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,30/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,31/07/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,01/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,02/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,03/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,04/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,05/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,06/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,07/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,08/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,09/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,10/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,11/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,12/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,13/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,14/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,15/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,16/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,17/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,18/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,19/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,20/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,21/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,22/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,23/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,24/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,25/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,26/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,27/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,28/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,29/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,30/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,31/08/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,01/09/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,02/09/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,03/09/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,04/09/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,05/09/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,06/09/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,07/09/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,08/09/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,09/09/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,10/09/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,11/09/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,12/09/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,13/09/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,14/09/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,15/09/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,16/09/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,17/09/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,18/09/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,19/09/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,20/09/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,21/09/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,22/09/1985 09:00,,,,,Évora
FOROS DE VALE DA FIGUEIRA,23/09/1985 09:00,,,,,Évora
