Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
FORTES (CANHESTROS),01/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),02/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),03/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),04/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),05/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),06/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),07/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),08/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),09/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),10/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),11/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),12/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),13/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),14/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),15/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),16/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),17/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),18/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),19/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),20/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),21/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),22/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),23/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),24/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),25/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),26/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),27/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),28/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),29/05/1985 09:00,,,,,Beja
FORTES (CANHESTROS),30/05/1985 09:00,,,,,Beja
