Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
FOZ DO COBRÃO,01/05/1985 09:00,,0.0,,,Castelo Branco
FOZ DO COBRÃO,02/05/1985 09:00,,0.0,,,Castelo Branco
FOZ DO COBRÃO,03/05/1985 09:00,,6.0,,,Castelo Branco
FOZ DO COBRÃO,04/05/1985 09:00,,0.0,,,Castelo Branco
FOZ DO COBRÃO,05/05/1985 09:00,,0.0,,,Castelo Branco
FOZ DO COBRÃO,06/05/1985 09:00,,0.0,,,Castelo Branco
FOZ DO COBRÃO,07/05/1985 09:00,,6.2,,,Castelo Branco
FOZ DO COBRÃO,08/05/1985 09:00,,0.0,,,Castelo Branco
FOZ DO COBRÃO,09/05/1985 09:00,,0.0,,,Castelo Branco
FOZ DO COBRÃO,10/05/1985 09:00,,0.0,,,Castelo Branco
FOZ DO COBRÃO,11/05/1985 09:00,,0.0,,,Castelo Branco
FOZ DO COBRÃO,12/05/1985 09:00,,0.0,,,Castelo Branco
FOZ DO COBRÃO,13/05/1985 09:00,,0.0,,,Castelo Branco
FOZ DO COBRÃO,14/05/1985 09:00,,0.0,,,Castelo Branco
FOZ DO COBRÃO,15/05/1985 09:00,,0.0,,,Castelo Branco
FOZ DO COBRÃO,16/05/1985 09:00,,2.0,,,Castelo Branco
FOZ DO COBRÃO,17/05/1985 09:00,,0.0,,,Castelo Branco
FOZ DO COBRÃO,18/05/1985 09:00,,0.0,,,Castelo Branco
FOZ DO COBRÃO,19/05/1985 09:00,,0.0,,,Castelo Branco
FOZ DO COBRÃO,20/05/1985 09:00,,0.0,,,Castelo Branco
FOZ DO COBRÃO,21/05/1985 09:00,,0.0,,,Castelo Branco
FOZ DO COBRÃO,22/05/1985 09:00,,0.0,,,Castelo Branco
FOZ DO COBRÃO,23/05/1985 09:00,,0.0,,,Castelo Branco
FOZ DO COBRÃO,24/05/1985 09:00,,0.0,,,Castelo Branco
FOZ DO COBRÃO,25/05/1985 09:00,,0.0,,,Castelo Branco
FOZ DO COBRÃO,26/05/1985 09:00,,4.6,,,Castelo Branco
FOZ DO COBRÃO,27/05/1985 09:00,,6.4,,,Castelo Branco
FOZ DO COBRÃO,28/05/1985 09:00,,0.0,,,Castelo Branco
FOZ DO COBRÃO,29/05/1985 09:00,,0.0,,,Castelo Branco
