Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
GARVÃO (MONTINHO),01/05/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),02/05/1985 09:00,,4.4,,,Beja
GARVÃO (MONTINHO),03/05/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),04/05/1985 09:00,,2.1,,,Beja
GARVÃO (MONTINHO),05/05/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),06/05/1985 09:00,,1.0,,,Beja
GARVÃO (MONTINHO),07/05/1985 09:00,,3.5,,,Beja
GARVÃO (MONTINHO),08/05/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),09/05/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),10/05/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),11/05/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),12/05/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),13/05/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),14/05/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),15/05/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),16/05/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),17/05/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),18/05/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),19/05/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),20/05/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),21/05/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),22/05/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),23/05/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),24/05/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),25/05/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),26/05/1985 09:00,,4.1,,,Beja
GARVÃO (MONTINHO),27/05/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),28/05/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),29/05/1985 09:00,,0.4,,,Beja
GARVÃO (MONTINHO),30/05/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),31/05/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),01/06/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),02/06/1985 09:00,,3.0,,,Beja
GARVÃO (MONTINHO),03/06/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),04/06/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),05/06/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),06/06/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),07/06/1985 09:00,,1.6,,,Beja
GARVÃO (MONTINHO),08/06/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),09/06/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),10/06/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),11/06/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),12/06/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),13/06/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),14/06/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),15/06/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),16/06/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),17/06/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),18/06/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),19/06/1985 09:00,,0.0,,,Beja
GARVÃO (MONTINHO),20/06/1985 09:00,,0.0,,,Beja
