Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
GERAZ DO LIMA,01/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,02/05/1985 09:00,,2.0,,,Viana do Castelo
GERAZ DO LIMA,03/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,04/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,05/05/1985 09:00,,4.0,,,Viana do Castelo
GERAZ DO LIMA,06/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,07/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,08/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,09/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,10/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,11/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,12/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,13/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,14/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,15/05/1985 09:00,,10.5,,,Viana do Castelo
GERAZ DO LIMA,16/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,17/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,18/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,19/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,20/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,21/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,22/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,23/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,24/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,25/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,26/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,27/05/1985 09:00,,9.0,,,Viana do Castelo
GERAZ DO LIMA,28/05/1985 09:00,,4.5,,,Viana do Castelo
GERAZ DO LIMA,29/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,30/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,31/05/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,01/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,02/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,03/06/1985 09:00,,16.0,,,Viana do Castelo
GERAZ DO LIMA,04/06/1985 09:00,,40.0,,,Viana do Castelo
GERAZ DO LIMA,05/06/1985 09:00,,10.0,,,Viana do Castelo
GERAZ DO LIMA,06/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,07/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,08/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,09/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,10/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,11/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,12/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,13/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,14/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,15/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,16/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,17/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,18/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,19/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,20/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,21/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,22/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,23/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,24/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,25/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,26/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,27/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,28/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,29/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,30/06/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,01/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,02/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,03/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,04/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,05/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,06/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,07/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,08/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,09/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,10/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,11/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,12/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,13/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,14/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,15/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,16/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,17/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,18/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,19/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,20/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,21/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,22/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,23/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,24/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,25/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,26/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,27/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,28/07/1985 09:00,,32.0,,,Viana do Castelo
GERAZ DO LIMA,29/07/1985 09:00,,8.0,,,Viana do Castelo
GERAZ DO LIMA,30/07/1985 09:00,,1.0,,,Viana do Castelo
GERAZ DO LIMA,31/07/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,01/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,02/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,03/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,04/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,05/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,06/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,07/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,08/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,09/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,10/08/1985 09:00,,2.0,,,Viana do Castelo
GERAZ DO LIMA,11/08/1985 09:00,,0.7,,,Viana do Castelo
GERAZ DO LIMA,12/08/1985 09:00,,4.0,,,Viana do Castelo
GERAZ DO LIMA,13/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,14/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,15/08/1985 09:00,,0.2,,,Viana do Castelo
GERAZ DO LIMA,16/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,17/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,18/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,19/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,20/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,21/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,22/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,23/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,24/08/1985 09:00,,0.8,,,Viana do Castelo
GERAZ DO LIMA,25/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,26/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,27/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,28/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,29/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,30/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,31/08/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,01/09/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,02/09/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,03/09/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,04/09/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,05/09/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,06/09/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,07/09/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,08/09/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,09/09/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,10/09/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,11/09/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,12/09/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,13/09/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,14/09/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,15/09/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,16/09/1985 09:00,,0.0,,,Viana do Castelo
GERAZ DO LIMA,17/09/1985 09:00,,0.0,,,Viana do Castelo
