Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
GIÕES,01/05/1985 09:00,,0.1,,,Faro
GIÕES,02/05/1985 09:00,,1.5,,,Faro
GIÕES,03/05/1985 09:00,,0.0,,,Faro
GIÕES,04/05/1985 09:00,,0.0,,,Faro
GIÕES,05/05/1985 09:00,,0.0,,,Faro
GIÕES,06/05/1985 09:00,,1.5,,,Faro
GIÕES,07/05/1985 09:00,,0.0,,,Faro
GIÕES,08/05/1985 09:00,,0.0,,,Faro
GIÕES,09/05/1985 09:00,,0.0,,,Faro
GIÕES,10/05/1985 09:00,,0.0,,,Faro
GIÕES,11/05/1985 09:00,,0.0,,,Faro
GIÕES,12/05/1985 09:00,,0.0,,,Faro
GIÕES,13/05/1985 09:00,,0.0,,,Faro
GIÕES,14/05/1985 09:00,,0.0,,,Faro
GIÕES,15/05/1985 09:00,,1.1,,,Faro
GIÕES,16/05/1985 09:00,,0.0,,,Faro
GIÕES,17/05/1985 09:00,,0.0,,,Faro
GIÕES,18/05/1985 09:00,,0.0,,,Faro
GIÕES,19/05/1985 09:00,,1.2,,,Faro
GIÕES,20/05/1985 09:00,,0.0,,,Faro
GIÕES,21/05/1985 09:00,,0.0,,,Faro
GIÕES,22/05/1985 09:00,,0.0,,,Faro
GIÕES,23/05/1985 09:00,,0.0,,,Faro
GIÕES,24/05/1985 09:00,,0.0,,,Faro
GIÕES,25/05/1985 09:00,,8.2,,,Faro
GIÕES,26/05/1985 09:00,,0.0,,,Faro
GIÕES,27/05/1985 09:00,,0.0,,,Faro
GIÕES,28/05/1985 09:00,,0.0,,,Faro
GIÕES,29/05/1985 09:00,,0.0,,,Faro
GIÕES,30/05/1985 09:00,,0.0,,,Faro
GIÕES,31/05/1985 09:00,,0.0,,,Faro
GIÕES,01/06/1985 09:00,,2.3,,,Faro
GIÕES,02/06/1985 09:00,,0.0,,,Faro
GIÕES,03/06/1985 09:00,,2.8,,,Faro
GIÕES,04/06/1985 09:00,,0.0,,,Faro
GIÕES,05/06/1985 09:00,,0.0,,,Faro
GIÕES,06/06/1985 09:00,,0.0,,,Faro
GIÕES,07/06/1985 09:00,,0.0,,,Faro
GIÕES,08/06/1985 09:00,,0.0,,,Faro
GIÕES,09/06/1985 09:00,,0.0,,,Faro
GIÕES,10/06/1985 09:00,,0.0,,,Faro
GIÕES,11/06/1985 09:00,,0.0,,,Faro
GIÕES,12/06/1985 09:00,,0.0,,,Faro
GIÕES,13/06/1985 09:00,,0.0,,,Faro
GIÕES,14/06/1985 09:00,,0.0,,,Faro
GIÕES,15/06/1985 09:00,,0.0,,,Faro
GIÕES,16/06/1985 09:00,,0.0,,,Faro
GIÕES,17/06/1985 09:00,,0.0,,,Faro
GIÕES,18/06/1985 09:00,,6.6,,,Faro
GIÕES,19/06/1985 09:00,,0.0,,,Faro
GIÕES,20/06/1985 09:00,,0.0,,,Faro
GIÕES,21/06/1985 09:00,,0.0,,,Faro
GIÕES,22/06/1985 09:00,,0.0,,,Faro
GIÕES,23/06/1985 09:00,,0.0,,,Faro
GIÕES,24/06/1985 09:00,,0.0,,,Faro
GIÕES,25/06/1985 09:00,,0.0,,,Faro
GIÕES,26/06/1985 09:00,,0.0,,,Faro
GIÕES,27/06/1985 09:00,,0.0,,,Faro
GIÕES,28/06/1985 09:00,,0.0,,,Faro
GIÕES,29/06/1985 09:00,,0.0,,,Faro
GIÕES,30/06/1985 09:00,,0.0,,,Faro
GIÕES,01/07/1985 09:00,,0.0,,,Faro
GIÕES,02/07/1985 09:00,,9.9,,,Faro
GIÕES,03/07/1985 09:00,,0.0,,,Faro
GIÕES,04/07/1985 09:00,,0.0,,,Faro
GIÕES,05/07/1985 09:00,,0.0,,,Faro
GIÕES,06/07/1985 09:00,,0.0,,,Faro
GIÕES,07/07/1985 09:00,,0.0,,,Faro
GIÕES,08/07/1985 09:00,,0.0,,,Faro
GIÕES,09/07/1985 09:00,,0.0,,,Faro
GIÕES,10/07/1985 09:00,,0.0,,,Faro
GIÕES,11/07/1985 09:00,,0.0,,,Faro
GIÕES,12/07/1985 09:00,,0.0,,,Faro
GIÕES,13/07/1985 09:00,,0.0,,,Faro
GIÕES,14/07/1985 09:00,,0.0,,,Faro
GIÕES,15/07/1985 09:00,,0.0,,,Faro
GIÕES,16/07/1985 09:00,,0.0,,,Faro
GIÕES,17/07/1985 09:00,,0.0,,,Faro
GIÕES,18/07/1985 09:00,,0.0,,,Faro
GIÕES,19/07/1985 09:00,,0.0,,,Faro
GIÕES,20/07/1985 09:00,,0.0,,,Faro
GIÕES,21/07/1985 09:00,,0.0,,,Faro
GIÕES,22/07/1985 09:00,,0.0,,,Faro
GIÕES,23/07/1985 09:00,,0.0,,,Faro
GIÕES,24/07/1985 09:00,,0.0,,,Faro
GIÕES,25/07/1985 09:00,,0.0,,,Faro
GIÕES,26/07/1985 09:00,,0.0,,,Faro
GIÕES,27/07/1985 09:00,,0.0,,,Faro
GIÕES,28/07/1985 09:00,,0.0,,,Faro
GIÕES,29/07/1985 09:00,,0.0,,,Faro
GIÕES,30/07/1985 09:00,,0.0,,,Faro
GIÕES,31/07/1985 09:00,,0.0,,,Faro
GIÕES,01/08/1985 09:00,,0.0,,,Faro
GIÕES,02/08/1985 09:00,,0.0,,,Faro
GIÕES,03/08/1985 09:00,,0.0,,,Faro
GIÕES,04/08/1985 09:00,,0.0,,,Faro
GIÕES,05/08/1985 09:00,,0.0,,,Faro
GIÕES,06/08/1985 09:00,,0.0,,,Faro
GIÕES,07/08/1985 09:00,,0.0,,,Faro
GIÕES,08/08/1985 09:00,,0.0,,,Faro
GIÕES,09/08/1985 09:00,,0.0,,,Faro
GIÕES,10/08/1985 09:00,,0.0,,,Faro
GIÕES,11/08/1985 09:00,,0.0,,,Faro
GIÕES,12/08/1985 09:00,,0.0,,,Faro
GIÕES,13/08/1985 09:00,,0.0,,,Faro
GIÕES,14/08/1985 09:00,,0.0,,,Faro
GIÕES,15/08/1985 09:00,,0.0,,,Faro
GIÕES,16/08/1985 09:00,,0.0,,,Faro
GIÕES,17/08/1985 09:00,,0.0,,,Faro
GIÕES,18/08/1985 09:00,,0.0,,,Faro
GIÕES,19/08/1985 09:00,,0.0,,,Faro
GIÕES,20/08/1985 09:00,,0.0,,,Faro
GIÕES,21/08/1985 09:00,,0.0,,,Faro
GIÕES,22/08/1985 09:00,,0.0,,,Faro
GIÕES,23/08/1985 09:00,,0.0,,,Faro
