Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
GONDIZALVES,01/05/1985 09:00,,0.0,19.45,,Braga
GONDIZALVES,02/05/1985 09:00,,1.6,18.85,,Braga
GONDIZALVES,03/05/1985 09:00,,0.0,18.55,,Braga
GONDIZALVES,04/05/1985 09:00,,0.0,15.1,,Braga
GONDIZALVES,05/05/1985 09:00,,2.8,12.05,,Braga
GONDIZALVES,06/05/1985 09:00,,3.4,9.75,,Braga
GONDIZALVES,07/05/1985 09:00,,3.0,9.5,,Braga
GONDIZALVES,08/05/1985 09:00,,0.0,11.9,,Braga
GONDIZALVES,09/05/1985 09:00,,0.0,15.8,,Braga
GONDIZALVES,10/05/1985 09:00,,0.0,13.4,,Braga
GONDIZALVES,11/05/1985 09:00,,0.0,11.6,,Braga
GONDIZALVES,12/05/1985 09:00,,0.0,12.5,,Braga
GONDIZALVES,13/05/1985 09:00,,0.0,12.2,,Braga
GONDIZALVES,14/05/1985 09:00,,0.0,13.55,,Braga
GONDIZALVES,15/05/1985 09:00,,8.3,13.65,,Braga
GONDIZALVES,16/05/1985 09:00,,2.0,14.3,,Braga
GONDIZALVES,17/05/1985 09:00,,0.0,15.55,,Braga
GONDIZALVES,18/05/1985 09:00,,0.0,17.6,,Braga
GONDIZALVES,19/05/1985 09:00,,0.0,17.05,,Braga
GONDIZALVES,20/05/1985 09:00,,0.0,16.55,,Braga
GONDIZALVES,21/05/1985 09:00,,0.0,14.55,,Braga
GONDIZALVES,22/05/1985 09:00,,0.0,15.5,,Braga
GONDIZALVES,23/05/1985 09:00,,0.0,12.9,,Braga
GONDIZALVES,24/05/1985 09:00,,0.0,14.6,,Braga
GONDIZALVES,25/05/1985 09:00,,0.0,15.2,,Braga
GONDIZALVES,26/05/1985 09:00,,5.1,15.3,,Braga
GONDIZALVES,27/05/1985 09:00,,24.0,15.7,,Braga
GONDIZALVES,28/05/1985 09:00,,1.0,14.85,,Braga
GONDIZALVES,29/05/1985 09:00,,0.0,15.0,,Braga
GONDIZALVES,30/05/1985 09:00,,0.5,19.0,,Braga
GONDIZALVES,31/05/1985 09:00,,0.0,19.5,,Braga
GONDIZALVES,01/06/1985 09:00,,0.0,18.1,,Braga
GONDIZALVES,02/06/1985 09:00,,15.8,17.25,,Braga
GONDIZALVES,03/06/1985 09:00,,16.3,17.0,,Braga
GONDIZALVES,04/06/1985 09:00,,0.5,16.35,,Braga
GONDIZALVES,05/06/1985 09:00,,22.2,16.45,,Braga
GONDIZALVES,06/06/1985 09:00,,17.3,17.4,,Braga
GONDIZALVES,07/06/1985 09:00,,0.0,15.4,,Braga
GONDIZALVES,08/06/1985 09:00,,0.0,16.9,,Braga
GONDIZALVES,09/06/1985 09:00,,0.0,17.65,,Braga
GONDIZALVES,10/06/1985 09:00,,0.0,19.2,,Braga
GONDIZALVES,11/06/1985 09:00,,0.0,19.2,,Braga
GONDIZALVES,12/06/1985 09:00,,0.0,17.6,,Braga
GONDIZALVES,13/06/1985 09:00,,0.0,16.1,,Braga
GONDIZALVES,14/06/1985 09:00,,0.0,17.3,,Braga
GONDIZALVES,15/06/1985 09:00,,0.0,19.8,,Braga
GONDIZALVES,16/06/1985 09:00,,0.0,20.5,,Braga
GONDIZALVES,17/06/1985 09:00,,0.0,19.65,,Braga
GONDIZALVES,18/06/1985 09:00,,0.0,20.35,,Braga
