Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
GOUVEIA,01/05/1985 09:00,,0.0,,,Guarda
GOUVEIA,02/05/1985 09:00,,4.5,,,Guarda
GOUVEIA,03/05/1985 09:00,,0.0,,,Guarda
GOUVEIA,04/05/1985 09:00,,0.0,,,Guarda
GOUVEIA,05/05/1985 09:00,,4.0,,,Guarda
GOUVEIA,06/05/1985 09:00,,4.5,,,Guarda
GOUVEIA,07/05/1985 09:00,,1.5,,,Guarda
GOUVEIA,08/05/1985 09:00,,0.0,,,Guarda
GOUVEIA,09/05/1985 09:00,,0.0,,,Guarda
GOUVEIA,10/05/1985 09:00,,0.0,,,Guarda
GOUVEIA,11/05/1985 09:00,,0.0,,,Guarda
GOUVEIA,12/05/1985 09:00,,0.0,,,Guarda
GOUVEIA,13/05/1985 09:00,,0.0,,,Guarda
GOUVEIA,14/05/1985 09:00,,0.0,,,Guarda
GOUVEIA,15/05/1985 09:00,,0.0,,,Guarda
GOUVEIA,16/05/1985 09:00,,14.0,,,Guarda
GOUVEIA,17/05/1985 09:00,,0.0,,,Guarda
GOUVEIA,18/05/1985 09:00,,0.0,,,Guarda
GOUVEIA,19/05/1985 09:00,,0.0,,,Guarda
GOUVEIA,20/05/1985 09:00,,0.0,,,Guarda
GOUVEIA,21/05/1985 09:00,,0.0,,,Guarda
GOUVEIA,22/05/1985 09:00,,0.0,,,Guarda
GOUVEIA,23/05/1985 09:00,,0.0,,,Guarda
GOUVEIA,24/05/1985 09:00,,0.0,,,Guarda
GOUVEIA,25/05/1985 09:00,,0.0,,,Guarda
GOUVEIA,26/05/1985 09:00,,0.0,,,Guarda
GOUVEIA,27/05/1985 09:00,,14.5,,,Guarda
GOUVEIA,28/05/1985 09:00,,6.2,,,Guarda
GOUVEIA,29/05/1985 09:00,,0.0,,,Guarda
GOUVEIA,30/05/1985 09:00,,8.4,,,Guarda
GOUVEIA,31/05/1985 09:00,,9.1,,,Guarda
GOUVEIA,01/06/1985 09:00,,14.5,,,Guarda
GOUVEIA,02/06/1985 09:00,,14.0,,,Guarda
GOUVEIA,03/06/1985 09:00,,8.6,,,Guarda
GOUVEIA,04/06/1985 09:00,,0.0,,,Guarda
GOUVEIA,05/06/1985 09:00,,0.0,,,Guarda
GOUVEIA,06/06/1985 09:00,,14.0,,,Guarda
GOUVEIA,07/06/1985 09:00,,0.0,,,Guarda
GOUVEIA,08/06/1985 09:00,,0.0,,,Guarda
GOUVEIA,09/06/1985 09:00,,0.0,,,Guarda
GOUVEIA,10/06/1985 09:00,,0.0,,,Guarda
GOUVEIA,11/06/1985 09:00,,0.0,,,Guarda
GOUVEIA,12/06/1985 09:00,,0.0,,,Guarda
GOUVEIA,13/06/1985 09:00,,0.0,,,Guarda
GOUVEIA,14/06/1985 09:00,,0.0,,,Guarda
GOUVEIA,15/06/1985 09:00,,0.0,,,Guarda
GOUVEIA,16/06/1985 09:00,,4.3,,,Guarda
GOUVEIA,17/06/1985 09:00,,0.0,,,Guarda
GOUVEIA,18/06/1985 09:00,,0.0,,,Guarda
GOUVEIA,19/06/1985 09:00,,0.0,,,Guarda
GOUVEIA,20/06/1985 09:00,,0.0,,,Guarda
GOUVEIA,21/06/1985 09:00,,0.0,,,Guarda
GOUVEIA,22/06/1985 09:00,,0.0,,,Guarda
GOUVEIA,23/06/1985 09:00,,0.0,,,Guarda
GOUVEIA,24/06/1985 09:00,,0.0,,,Guarda
GOUVEIA,25/06/1985 09:00,,0.0,,,Guarda
GOUVEIA,26/06/1985 09:00,,0.0,,,Guarda
GOUVEIA,27/06/1985 09:00,,0.0,,,Guarda
GOUVEIA,28/06/1985 09:00,,0.0,,,Guarda
GOUVEIA,29/06/1985 09:00,,0.0,,,Guarda
GOUVEIA,30/06/1985 09:00,,0.0,,,Guarda
GOUVEIA,01/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,02/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,03/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,04/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,05/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,06/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,07/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,08/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,09/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,10/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,11/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,12/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,13/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,14/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,15/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,16/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,17/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,18/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,19/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,20/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,21/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,22/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,23/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,24/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,25/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,26/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,27/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,28/07/1985 09:00,,11.5,,,Guarda
GOUVEIA,29/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,30/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,31/07/1985 09:00,,0.0,,,Guarda
GOUVEIA,01/08/1985 09:00,,0.0,,,Guarda
GOUVEIA,02/08/1985 09:00,,0.0,,,Guarda
GOUVEIA,03/08/1985 09:00,,0.0,,,Guarda
GOUVEIA,04/08/1985 09:00,,0.0,,,Guarda
GOUVEIA,05/08/1985 09:00,,0.0,,,Guarda
GOUVEIA,06/08/1985 09:00,,0.0,,,Guarda
GOUVEIA,07/08/1985 09:00,,0.0,,,Guarda
GOUVEIA,08/08/1985 09:00,,0.0,,,Guarda
GOUVEIA,09/08/1985 09:00,,0.0,,,Guarda
GOUVEIA,10/08/1985 09:00,,0.0,,,Guarda
GOUVEIA,11/08/1985 09:00,,0.0,,,Guarda
GOUVEIA,12/08/1985 09:00,,0.0,,,Guarda
GOUVEIA,13/08/1985 09:00,,0.0,,,Guarda
GOUVEIA,14/08/1985 09:00,,0.0,,,Guarda
GOUVEIA,15/08/1985 09:00,,0.0,,,Guarda
GOUVEIA,16/08/1985 09:00,,0.0,,,Guarda
GOUVEIA,17/08/1985 09:00,,0.0,,,Guarda
GOUVEIA,18/08/1985 09:00,,0.0,,,Guarda
GOUVEIA,19/08/1985 09:00,,0.0,,,Guarda
GOUVEIA,20/08/1985 09:00,,0.0,,,Guarda
GOUVEIA,21/08/1985 09:00,,0.0,,,Guarda
GOUVEIA,22/08/1985 09:00,,0.0,,,Guarda
GOUVEIA,23/08/1985 09:00,,0.0,,,Guarda
GOUVEIA,24/08/1985 09:00,,0.0,,,Guarda
GOUVEIA,25/08/1985 09:00,,0.0,,,Guarda
