Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
GRALHEIRA,01/05/1985 09:00,,0.0,,,Faro
GRALHEIRA,02/05/1985 09:00,,4.0,,,Faro
GRALHEIRA,03/05/1985 09:00,,0.0,,,Faro
GRALHEIRA,04/05/1985 09:00,,0.0,,,Faro
GRALHEIRA,05/05/1985 09:00,,12.0,,,Faro
GRALHEIRA,06/05/1985 09:00,,7.0,,,Faro
GRALHEIRA,07/05/1985 09:00,,0.0,,,Faro
GRALHEIRA,08/05/1985 09:00,,0.0,,,Faro
GRALHEIRA,09/05/1985 09:00,,0.0,,,Faro
GRALHEIRA,10/05/1985 09:00,,0.0,,,Faro
GRALHEIRA,11/05/1985 09:00,,0.0,,,Faro
GRALHEIRA,12/05/1985 09:00,,0.0,,,Faro
GRALHEIRA,13/05/1985 09:00,,0.0,,,Faro
GRALHEIRA,14/05/1985 09:00,,0.0,,,Faro
GRALHEIRA,15/05/1985 09:00,,11.3,,,Faro
GRALHEIRA,16/05/1985 09:00,,1.9,,,Faro
GRALHEIRA,17/05/1985 09:00,,0.0,,,Faro
GRALHEIRA,18/05/1985 09:00,,0.0,,,Faro
GRALHEIRA,19/05/1985 09:00,,0.0,,,Faro
GRALHEIRA,20/05/1985 09:00,,0.0,,,Faro
GRALHEIRA,21/05/1985 09:00,,0.0,,,Faro
GRALHEIRA,22/05/1985 09:00,,1.6,,,Faro
GRALHEIRA,23/05/1985 09:00,,0.0,,,Faro
GRALHEIRA,24/05/1985 09:00,,0.0,,,Faro
GRALHEIRA,25/05/1985 09:00,,0.0,,,Faro
GRALHEIRA,26/05/1985 09:00,,1.2,,,Faro
GRALHEIRA,27/05/1985 09:00,,59.9,,,Faro
GRALHEIRA,28/05/1985 09:00,,0.0,,,Faro
GRALHEIRA,29/05/1985 09:00,,2.0,,,Faro
GRALHEIRA,30/05/1985 09:00,,0.3,,,Faro
GRALHEIRA,31/05/1985 09:00,,20.0,,,Faro
GRALHEIRA,01/06/1985 09:00,,13.0,,,Faro
GRALHEIRA,02/06/1985 09:00,,11.0,,,Faro
GRALHEIRA,03/06/1985 09:00,,16.8,,,Faro
GRALHEIRA,04/06/1985 09:00,,0.2,,,Faro
GRALHEIRA,05/06/1985 09:00,,21.1,,,Faro
GRALHEIRA,06/06/1985 09:00,,13.0,,,Faro
GRALHEIRA,07/06/1985 09:00,,0.0,,,Faro
GRALHEIRA,08/06/1985 09:00,,0.1,,,Faro
GRALHEIRA,09/06/1985 09:00,,0.0,,,Faro
GRALHEIRA,10/06/1985 09:00,,0.0,,,Faro
GRALHEIRA,11/06/1985 09:00,,0.0,,,Faro
GRALHEIRA,12/06/1985 09:00,,0.0,,,Faro
GRALHEIRA,13/06/1985 09:00,,0.0,,,Faro
GRALHEIRA,14/06/1985 09:00,,0.0,,,Faro
GRALHEIRA,15/06/1985 09:00,,0.0,,,Faro
GRALHEIRA,16/06/1985 09:00,,7.5,,,Faro
GRALHEIRA,17/06/1985 09:00,,0.0,,,Faro
GRALHEIRA,18/06/1985 09:00,,0.0,,,Faro
GRALHEIRA,19/06/1985 09:00,,0.0,,,Faro
GRALHEIRA,20/06/1985 09:00,,0.0,,,Faro
GRALHEIRA,21/06/1985 09:00,,0.0,,,Faro
GRALHEIRA,22/06/1985 09:00,,0.0,,,Faro
GRALHEIRA,23/06/1985 09:00,,0.0,,,Faro
GRALHEIRA,24/06/1985 09:00,,0.0,,,Faro
GRALHEIRA,25/06/1985 09:00,,0.0,,,Faro
GRALHEIRA,26/06/1985 09:00,,0.0,,,Faro
GRALHEIRA,27/06/1985 09:00,,0.0,,,Faro
GRALHEIRA,28/06/1985 09:00,,0.0,,,Faro
GRALHEIRA,29/06/1985 09:00,,0.0,,,Faro
GRALHEIRA,30/06/1985 09:00,,0.0,,,Faro
GRALHEIRA,01/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,02/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,03/07/1985 09:00,,0.1,,,Faro
GRALHEIRA,04/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,05/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,06/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,07/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,08/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,09/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,10/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,11/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,12/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,13/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,14/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,15/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,16/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,17/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,18/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,19/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,20/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,21/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,22/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,23/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,24/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,25/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,26/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,27/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,28/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,29/07/1985 09:00,,15.8,,,Faro
GRALHEIRA,30/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,31/07/1985 09:00,,0.0,,,Faro
GRALHEIRA,01/08/1985 09:00,,0.0,,,Faro
GRALHEIRA,02/08/1985 09:00,,0.0,,,Faro
GRALHEIRA,03/08/1985 09:00,,0.0,,,Faro
