Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
GRÂNDOLA,01/05/1985 09:00,,0.0,17.4,,Setúbal
GRÂNDOLA,02/05/1985 09:00,,0.2,14.25,,Setúbal
GRÂNDOLA,03/05/1985 09:00,,3.0,14.8,,Setúbal
GRÂNDOLA,04/05/1985 09:00,,2.0,17.5,,Setúbal
GRÂNDOLA,05/05/1985 09:00,,0.0,14.35,,Setúbal
GRÂNDOLA,06/05/1985 09:00,,0.5,11.35,,Setúbal
GRÂNDOLA,07/05/1985 09:00,,4.3,12.6,,Setúbal
GRÂNDOLA,08/05/1985 09:00,,0.0,14.0,,Setúbal
GRÂNDOLA,09/05/1985 09:00,,0.0,17.0,,Setúbal
GRÂNDOLA,10/05/1985 09:00,,0.0,15.5,,Setúbal
GRÂNDOLA,11/05/1985 09:00,,0.0,15.0,,Setúbal
GRÂNDOLA,12/05/1985 09:00,,0.0,15.5,,Setúbal
GRÂNDOLA,13/05/1985 09:00,,0.0,14.25,,Setúbal
GRÂNDOLA,14/05/1985 09:00,,0.0,13.65,,Setúbal
GRÂNDOLA,15/05/1985 09:00,,0.0,12.9,,Setúbal
GRÂNDOLA,16/05/1985 09:00,,0.0,13.25,,Setúbal
GRÂNDOLA,17/05/1985 09:00,,0.0,16.7,,Setúbal
GRÂNDOLA,18/05/1985 09:00,,0.0,17.5,,Setúbal
GRÂNDOLA,19/05/1985 09:00,,0.0,19.15,,Setúbal
GRÂNDOLA,20/05/1985 09:00,,0.0,16.5,,Setúbal
GRÂNDOLA,21/05/1985 09:00,,0.0,14.5,,Setúbal
GRÂNDOLA,22/05/1985 09:00,,0.0,13.5,,Setúbal
GRÂNDOLA,23/05/1985 09:00,,0.0,13.75,,Setúbal
GRÂNDOLA,24/05/1985 09:00,,0.0,13.0,,Setúbal
GRÂNDOLA,25/05/1985 09:00,,0.0,16.15,,Setúbal
GRÂNDOLA,26/05/1985 09:00,,7.5,17.65,,Setúbal
GRÂNDOLA,27/05/1985 09:00,,0.5,17.0,,Setúbal
GRÂNDOLA,28/05/1985 09:00,,0.0,16.35,,Setúbal
GRÂNDOLA,29/05/1985 09:00,,5.2,15.5,,Setúbal
GRÂNDOLA,30/05/1985 09:00,,1.9,18.35,,Setúbal
GRÂNDOLA,31/05/1985 09:00,,0.0,17.35,,Setúbal
GRÂNDOLA,01/06/1985 09:00,,0.0,16.9,,Setúbal
GRÂNDOLA,02/06/1985 09:00,,4.3,17.0,,Setúbal
GRÂNDOLA,03/06/1985 09:00,,0.0,17.75,,Setúbal
GRÂNDOLA,04/06/1985 09:00,,0.0,16.75,,Setúbal
GRÂNDOLA,05/06/1985 09:00,,0.0,17.75,,Setúbal
GRÂNDOLA,06/06/1985 09:00,,0.0,18.0,,Setúbal
GRÂNDOLA,07/06/1985 09:00,,0.0,18.0,,Setúbal
GRÂNDOLA,08/06/1985 09:00,,0.0,18.25,,Setúbal
GRÂNDOLA,09/06/1985 09:00,,0.0,21.75,,Setúbal
GRÂNDOLA,10/06/1985 09:00,,0.0,22.25,,Setúbal
GRÂNDOLA,11/06/1985 09:00,,0.0,23.0,,Setúbal
GRÂNDOLA,12/06/1985 09:00,,0.0,19.4,,Setúbal
GRÂNDOLA,13/06/1985 09:00,,0.0,17.65,,Setúbal
GRÂNDOLA,14/06/1985 09:00,,0.0,18.15,,Setúbal
GRÂNDOLA,15/06/1985 09:00,,0.0,19.85,,Setúbal
GRÂNDOLA,16/06/1985 09:00,,0.0,20.5,,Setúbal
GRÂNDOLA,17/06/1985 09:00,,0.0,22.65,,Setúbal
GRÂNDOLA,18/06/1985 09:00,,0.0,22.5,,Setúbal
GRÂNDOLA,19/06/1985 09:00,,0.0,20.4,,Setúbal
GRÂNDOLA,20/06/1985 09:00,,0.0,21.0,,Setúbal
GRÂNDOLA,21/06/1985 09:00,,0.0,20.25,,Setúbal
GRÂNDOLA,22/06/1985 09:00,,0.0,20.0,,Setúbal
GRÂNDOLA,23/06/1985 09:00,,0.0,20.0,,Setúbal
GRÂNDOLA,24/06/1985 09:00,,0.0,21.0,,Setúbal
GRÂNDOLA,25/06/1985 09:00,,0.0,23.25,,Setúbal
GRÂNDOLA,26/06/1985 09:00,,0.0,23.25,,Setúbal
GRÂNDOLA,27/06/1985 09:00,,0.0,23.6,,Setúbal
GRÂNDOLA,28/06/1985 09:00,,0.0,23.15,,Setúbal
GRÂNDOLA,29/06/1985 09:00,,0.0,21.65,,Setúbal
GRÂNDOLA,30/06/1985 09:00,,0.0,21.75,,Setúbal
GRÂNDOLA,01/07/1985 09:00,,0.0,20.35,,Setúbal
GRÂNDOLA,02/07/1985 09:00,,0.0,20.25,,Setúbal
GRÂNDOLA,03/07/1985 09:00,,0.0,20.0,,Setúbal
GRÂNDOLA,04/07/1985 09:00,,0.0,21.25,,Setúbal
GRÂNDOLA,05/07/1985 09:00,,0.0,25.25,,Setúbal
GRÂNDOLA,06/07/1985 09:00,,0.0,27.3,,Setúbal
GRÂNDOLA,07/07/1985 09:00,,0.0,26.1,,Setúbal
GRÂNDOLA,08/07/1985 09:00,,0.0,21.4,,Setúbal
GRÂNDOLA,09/07/1985 09:00,,0.0,20.2,,Setúbal
GRÂNDOLA,10/07/1985 09:00,,0.0,19.15,,Setúbal
GRÂNDOLA,11/07/1985 09:00,,0.0,20.35,,Setúbal
GRÂNDOLA,12/07/1985 09:00,,0.0,21.15,,Setúbal
GRÂNDOLA,13/07/1985 09:00,,0.0,21.25,,Setúbal
GRÂNDOLA,14/07/1985 09:00,,0.0,19.75,,Setúbal
GRÂNDOLA,15/07/1985 09:00,,0.0,22.85,,Setúbal
GRÂNDOLA,16/07/1985 09:00,,0.0,22.0,,Setúbal
GRÂNDOLA,17/07/1985 09:00,,0.0,23.1,,Setúbal
GRÂNDOLA,18/07/1985 09:00,,0.0,22.25,,Setúbal
GRÂNDOLA,19/07/1985 09:00,,0.0,24.15,,Setúbal
GRÂNDOLA,20/07/1985 09:00,,0.0,24.1,,Setúbal
GRÂNDOLA,21/07/1985 09:00,,0.0,26.0,,Setúbal
GRÂNDOLA,22/07/1985 09:00,,0.0,25.5,,Setúbal
GRÂNDOLA,23/07/1985 09:00,,0.0,28.9,,Setúbal
GRÂNDOLA,24/07/1985 09:00,,0.0,27.35,,Setúbal
GRÂNDOLA,25/07/1985 09:00,,0.0,21.65,,Setúbal
GRÂNDOLA,26/07/1985 09:00,,0.0,21.1,,Setúbal
GRÂNDOLA,27/07/1985 09:00,,0.0,19.6,,Setúbal
GRÂNDOLA,28/07/1985 09:00,,0.0,18.65,,Setúbal
GRÂNDOLA,29/07/1985 09:00,,0.9,21.5,,Setúbal
GRÂNDOLA,30/07/1985 09:00,,0.0,20.4,,Setúbal
GRÂNDOLA,31/07/1985 09:00,,0.0,21.65,,Setúbal
GRÂNDOLA,01/08/1985 09:00,,0.0,23.9,,Setúbal
GRÂNDOLA,02/08/1985 09:00,,0.0,26.65,,Setúbal
GRÂNDOLA,03/08/1985 09:00,,0.0,26.4,,Setúbal
GRÂNDOLA,04/08/1985 09:00,,0.0,27.75,,Setúbal
GRÂNDOLA,05/08/1985 09:00,,0.0,22.75,,Setúbal
GRÂNDOLA,06/08/1985 09:00,,0.0,21.35,,Setúbal
GRÂNDOLA,07/08/1985 09:00,,0.0,23.0,,Setúbal
GRÂNDOLA,08/08/1985 09:00,,0.0,22.75,,Setúbal
GRÂNDOLA,09/08/1985 09:00,,0.0,19.9,,Setúbal
GRÂNDOLA,10/08/1985 09:00,,0.0,20.65,,Setúbal
GRÂNDOLA,11/08/1985 09:00,,0.0,21.1,,Setúbal
GRÂNDOLA,12/08/1985 09:00,,0.0,23.0,,Setúbal
GRÂNDOLA,13/08/1985 09:00,,0.0,20.35,,Setúbal
GRÂNDOLA,14/08/1985 09:00,,0.0,22.85,,Setúbal
GRÂNDOLA,15/08/1985 09:00,,0.0,22.5,,Setúbal
GRÂNDOLA,16/08/1985 09:00,,0.0,21.15,,Setúbal
GRÂNDOLA,17/08/1985 09:00,,0.0,22.75,,Setúbal
GRÂNDOLA,18/08/1985 09:00,,0.0,22.5,,Setúbal
GRÂNDOLA,19/08/1985 09:00,,0.0,24.35,,Setúbal
GRÂNDOLA,20/08/1985 09:00,,0.0,24.25,,Setúbal
GRÂNDOLA,21/08/1985 09:00,,0.0,24.25,,Setúbal
GRÂNDOLA,22/08/1985 09:00,,0.0,24.9,,Setúbal
GRÂNDOLA,23/08/1985 09:00,,0.0,24.0,,Setúbal
GRÂNDOLA,24/08/1985 09:00,,0.0,23.75,,Setúbal
GRÂNDOLA,25/08/1985 09:00,,0.0,20.15,,Setúbal
GRÂNDOLA,26/08/1985 09:00,,0.0,21.9,,Setúbal
GRÂNDOLA,27/08/1985 09:00,,0.0,23.35,,Setúbal
GRÂNDOLA,28/08/1985 09:00,,0.0,23.0,,Setúbal
GRÂNDOLA,29/08/1985 09:00,,0.0,20.75,,Setúbal
GRÂNDOLA,30/08/1985 09:00,,0.0,22.75,,Setúbal
GRÂNDOLA,31/08/1985 09:00,,0.0,24.5,,Setúbal
GRÂNDOLA,01/09/1985 09:00,,0.0,25.5,,Setúbal
GRÂNDOLA,02/09/1985 09:00,,0.0,24.35,,Setúbal
GRÂNDOLA,03/09/1985 09:00,,0.0,24.25,,Setúbal
GRÂNDOLA,04/09/1985 09:00,,0.0,25.1,,Setúbal
GRÂNDOLA,05/09/1985 09:00,,0.0,24.75,,Setúbal
GRÂNDOLA,06/09/1985 09:00,,0.0,23.7,,Setúbal
GRÂNDOLA,07/09/1985 09:00,,0.0,22.2,,Setúbal
GRÂNDOLA,08/09/1985 09:00,,0.0,22.25,,Setúbal
GRÂNDOLA,09/09/1985 09:00,,0.0,21.5,,Setúbal
GRÂNDOLA,10/09/1985 09:00,,0.0,24.75,,Setúbal
GRÂNDOLA,11/09/1985 09:00,,0.0,25.4,,Setúbal
GRÂNDOLA,12/09/1985 09:00,,0.0,25.1,,Setúbal
GRÂNDOLA,13/09/1985 09:00,,1.0,25.65,,Setúbal
GRÂNDOLA,14/09/1985 09:00,,0.0,26.5,,Setúbal
GRÂNDOLA,15/09/1985 09:00,,0.0,27.5,,Setúbal
GRÂNDOLA,16/09/1985 09:00,,0.0,25.25,,Setúbal
GRÂNDOLA,17/09/1985 09:00,,0.0,23.4,,Setúbal
GRÂNDOLA,18/09/1985 09:00,,0.0,22.25,,Setúbal
GRÂNDOLA,19/09/1985 09:00,,0.0,21.25,,Setúbal
GRÂNDOLA,20/09/1985 09:00,,0.0,19.6,,Setúbal
GRÂNDOLA,21/09/1985 09:00,,17.4,19.35,,Setúbal
GRÂNDOLA,22/09/1985 09:00,,0.0,20.35,,Setúbal
GRÂNDOLA,23/09/1985 09:00,,0.0,20.7,,Setúbal
GRÂNDOLA,24/09/1985 09:00,,0.0,19.75,,Setúbal
GRÂNDOLA,25/09/1985 09:00,,0.0,21.4,,Setúbal
GRÂNDOLA,26/09/1985 09:00,,0.0,22.6,,Setúbal
GRÂNDOLA,27/09/1985 09:00,,0.0,22.75,,Setúbal
GRÂNDOLA,28/09/1985 09:00,,0.0,22.15,,Setúbal
GRÂNDOLA,29/09/1985 09:00,,0.0,25.25,,Setúbal
GRÂNDOLA,30/09/1985 09:00,,0.0,24.8,,Setúbal
GRÂNDOLA,01/10/1985 09:00,,0.0,23.4,,Setúbal
GRÂNDOLA,02/10/1985 09:00,,0.0,19.0,,Setúbal
GRÂNDOLA,03/10/1985 09:00,,0.0,19.85,,Setúbal
GRÂNDOLA,04/10/1985 09:00,,0.0,20.1,,Setúbal
GRÂNDOLA,05/10/1985 09:00,,0.0,17.1,,Setúbal
GRÂNDOLA,06/10/1985 09:00,,0.0,16.75,,Setúbal
GRÂNDOLA,07/10/1985 09:00,,0.0,18.0,,Setúbal
GRÂNDOLA,08/10/1985 09:00,,0.0,19.65,,Setúbal
GRÂNDOLA,09/10/1985 09:00,,0.0,20.15,,Setúbal
GRÂNDOLA,10/10/1985 09:00,,0.0,20.25,,Setúbal
GRÂNDOLA,11/10/1985 09:00,,0.0,21.25,,Setúbal
GRÂNDOLA,12/10/1985 09:00,,0.0,21.0,,Setúbal
GRÂNDOLA,13/10/1985 09:00,,0.0,21.1,,Setúbal
GRÂNDOLA,14/10/1985 09:00,,0.0,21.9,,Setúbal
GRÂNDOLA,15/10/1985 09:00,,0.0,19.75,,Setúbal
GRÂNDOLA,16/10/1985 09:00,,0.0,20.25,,Setúbal
GRÂNDOLA,17/10/1985 09:00,,0.0,18.75,,Setúbal
GRÂNDOLA,18/10/1985 09:00,,0.0,19.0,,Setúbal
GRÂNDOLA,19/10/1985 09:00,,0.0,18.35,,Setúbal
GRÂNDOLA,20/10/1985 09:00,,0.0,18.25,,Setúbal
GRÂNDOLA,21/10/1985 09:00,,0.0,18.25,,Setúbal
GRÂNDOLA,22/10/1985 09:00,,0.0,18.75,,Setúbal
GRÂNDOLA,23/10/1985 09:00,,0.0,17.5,,Setúbal
GRÂNDOLA,24/10/1985 09:00,,0.0,17.65,,Setúbal
GRÂNDOLA,25/10/1985 09:00,,0.0,15.8,,Setúbal
GRÂNDOLA,26/10/1985 09:00,,0.0,13.25,,Setúbal
GRÂNDOLA,27/10/1985 09:00,,0.0,15.15,,Setúbal
GRÂNDOLA,28/10/1985 09:00,,0.0,14.5,,Setúbal
GRÂNDOLA,29/10/1985 09:00,,0.0,15.85,,Setúbal
GRÂNDOLA,30/10/1985 09:00,,0.0,14.5,,Setúbal
GRÂNDOLA,31/10/1985 09:00,,0.0,15.25,,Setúbal
GRÂNDOLA,01/11/1985 09:00,,0.0,13.4,,Setúbal
GRÂNDOLA,02/11/1985 09:00,,2.3,16.4,,Setúbal
GRÂNDOLA,03/11/1985 09:00,,0.0,15.5,,Setúbal
GRÂNDOLA,04/11/1985 09:00,,4.6,18.5,,Setúbal
GRÂNDOLA,05/11/1985 09:00,,21.6,20.6,,Setúbal
GRÂNDOLA,06/11/1985 09:00,,0.0,20.5,,Setúbal
GRÂNDOLA,07/11/1985 09:00,,0.0,20.25,,Setúbal
GRÂNDOLA,08/11/1985 09:00,,0.0,17.9,,Setúbal
