Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
GUIA (ESTAÇÃO),01/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),02/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),03/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),04/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),05/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),06/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),07/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),08/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),09/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),10/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),11/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),12/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),13/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),14/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),15/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),16/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),17/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),18/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),19/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),20/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),21/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),22/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),23/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),24/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),25/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),26/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),27/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),28/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),29/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),30/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),31/05/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),01/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),02/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),03/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),04/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),05/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),06/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),07/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),08/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),09/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),10/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),11/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),12/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),13/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),14/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),15/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),16/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),17/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),18/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),19/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),20/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),21/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),22/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),23/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),24/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),25/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),26/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),27/06/1985 09:00,,,,,Leiria
GUIA (ESTAÇÃO),28/06/1985 09:00,,,,,Leiria
