Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
JUNQUEIRA,01/05/1985 09:00,,0.0,,,Porto
JUNQUEIRA,02/05/1985 09:00,,1.6,,,Porto
JUNQUEIRA,03/05/1985 09:00,,0.0,,,Porto
JUNQUEIRA,04/05/1985 09:00,,0.0,,,Porto
JUNQUEIRA,05/05/1985 09:00,,0.0,,,Porto
JUNQUEIRA,06/05/1985 09:00,,1.6,,,Porto
JUNQUEIRA,07/05/1985 09:00,,0.0,,,Porto
JUNQUEIRA,08/05/1985 09:00,,0.0,,,Porto
JUNQUEIRA,09/05/1985 09:00,,0.0,,,Porto
JUNQUEIRA,10/05/1985 09:00,,0.0,,,Porto
JUNQUEIRA,11/05/1985 09:00,,0.0,,,Porto
JUNQUEIRA,12/05/1985 09:00,,0.0,,,Porto
JUNQUEIRA,13/05/1985 09:00,,0.0,,,Porto
JUNQUEIRA,14/05/1985 09:00,,0.2,,,Porto
JUNQUEIRA,15/05/1985 09:00,,0.0,,,Porto
JUNQUEIRA,16/05/1985 09:00,,2.4,,,Porto
JUNQUEIRA,17/05/1985 09:00,,0.0,,,Porto
JUNQUEIRA,18/05/1985 09:00,,0.0,,,Porto
JUNQUEIRA,19/05/1985 09:00,,0.0,,,Porto
JUNQUEIRA,20/05/1985 09:00,,0.0,,,Porto
JUNQUEIRA,21/05/1985 09:00,,0.0,,,Porto
JUNQUEIRA,22/05/1985 09:00,,0.0,,,Porto
JUNQUEIRA,23/05/1985 09:00,,0.0,,,Porto
JUNQUEIRA,24/05/1985 09:00,,0.0,,,Porto
JUNQUEIRA,25/05/1985 09:00,,0.0,,,Porto
JUNQUEIRA,26/05/1985 09:00,,0.0,,,Porto
JUNQUEIRA,27/05/1985 09:00,,6.2,,,Porto
JUNQUEIRA,28/05/1985 09:00,,2.4,,,Porto
JUNQUEIRA,29/05/1985 09:00,,0.0,,,Porto
JUNQUEIRA,30/05/1985 09:00,,7.4,,,Porto
JUNQUEIRA,31/05/1985 09:00,,9.2,,,Porto
JUNQUEIRA,01/06/1985 09:00,,15.8,,,Porto
JUNQUEIRA,02/06/1985 09:00,,3.6,,,Porto
JUNQUEIRA,03/06/1985 09:00,,8.2,,,Porto
JUNQUEIRA,04/06/1985 09:00,,0.6,,,Porto
JUNQUEIRA,05/06/1985 09:00,,0.0,,,Porto
