Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
LAGOA COMPRIDA,01/05/1985 09:00,,0.0,,,
LAGOA COMPRIDA,02/05/1985 09:00,,0.0,,,
LAGOA COMPRIDA,03/05/1985 09:00,,17.5,,,
LAGOA COMPRIDA,04/05/1985 09:00,,0.0,,,
LAGOA COMPRIDA,05/05/1985 09:00,,1.5,,,
LAGOA COMPRIDA,06/05/1985 09:00,,9.7,,,
LAGOA COMPRIDA,07/05/1985 09:00,,5.7,,,
LAGOA COMPRIDA,08/05/1985 09:00,,0.0,,,
LAGOA COMPRIDA,09/05/1985 09:00,,14.2,,,
LAGOA COMPRIDA,10/05/1985 09:00,,0.0,,,
LAGOA COMPRIDA,11/05/1985 09:00,,0.0,,,
LAGOA COMPRIDA,12/05/1985 09:00,,,,,
LAGOA COMPRIDA,13/05/1985 09:00,,,,,
LAGOA COMPRIDA,14/05/1985 09:00,,,,,
LAGOA COMPRIDA,15/05/1985 09:00,,,,,
LAGOA COMPRIDA,16/05/1985 09:00,,,,,
LAGOA COMPRIDA,17/05/1985 09:00,,,,,
LAGOA COMPRIDA,18/05/1985 09:00,,,,,
LAGOA COMPRIDA,19/05/1985 09:00,,,,,
LAGOA COMPRIDA,20/05/1985 09:00,,,,,
LAGOA COMPRIDA,21/05/1985 09:00,,,,,
LAGOA COMPRIDA,22/05/1985 09:00,,,,,
LAGOA COMPRIDA,23/05/1985 09:00,,0.0,,,
LAGOA COMPRIDA,24/05/1985 09:00,,0.0,,,
LAGOA COMPRIDA,25/05/1985 09:00,,0.0,,,
LAGOA COMPRIDA,26/05/1985 09:00,,11.0,,,
LAGOA COMPRIDA,27/05/1985 09:00,,18.0,,,
LAGOA COMPRIDA,28/05/1985 09:00,,6.5,,,
LAGOA COMPRIDA,29/05/1985 09:00,,0.0,,,
LAGOA COMPRIDA,30/05/1985 09:00,,19.5,,,
LAGOA COMPRIDA,31/05/1985 09:00,,15.2,,,
LAGOA COMPRIDA,01/06/1985 09:00,,0.0,,,
LAGOA COMPRIDA,02/06/1985 09:00,,0.0,,,
LAGOA COMPRIDA,03/06/1985 09:00,,28.0,,,
LAGOA COMPRIDA,04/06/1985 09:00,,0.0,,,
LAGOA COMPRIDA,05/06/1985 09:00,,3.5,,,
LAGOA COMPRIDA,06/06/1985 09:00,,3.4,,,
LAGOA COMPRIDA,07/06/1985 09:00,,1.8,,,
LAGOA COMPRIDA,08/06/1985 09:00,,0.0,,,
LAGOA COMPRIDA,09/06/1985 09:00,,0.0,,,
