Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
LAGOA DE SANTO ANDRÉ,01/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,02/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,03/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,04/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,05/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,06/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,07/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,08/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,09/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,10/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,11/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,12/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,13/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,14/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,15/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,16/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,17/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,18/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,19/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,20/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,21/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,22/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,23/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,24/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,25/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,26/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,27/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,28/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,29/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,30/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,31/05/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,01/06/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,02/06/1985 09:00,,,,,Setúbal
LAGOA DE SANTO ANDRÉ,03/06/1985 09:00,,,,,Setúbal
