Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
LAMAROSA,01/05/1985 09:00,,0.0,,,Santarém
LAMAROSA,02/05/1985 09:00,,0.6,,,Santarém
LAMAROSA,03/05/1985 09:00,,8.3,,,Santarém
LAMAROSA,04/05/1985 09:00,,0.0,,,Santarém
LAMAROSA,05/05/1985 09:00,,0.0,,,Santarém
LAMAROSA,06/05/1985 09:00,,2.0,,,Santarém
LAMAROSA,07/05/1985 09:00,,29.3,,,Santarém
LAMAROSA,08/05/1985 09:00,,0.0,,,Santarém
LAMAROSA,09/05/1985 09:00,,0.0,,,Santarém
LAMAROSA,10/05/1985 09:00,,0.0,,,Santarém
LAMAROSA,11/05/1985 09:00,,0.0,,,Santarém
LAMAROSA,12/05/1985 09:00,,0.0,,,Santarém
LAMAROSA,13/05/1985 09:00,,0.0,,,Santarém
LAMAROSA,14/05/1985 09:00,,0.0,,,Santarém
LAMAROSA,15/05/1985 09:00,,0.0,,,Santarém
LAMAROSA,16/05/1985 09:00,,1.7,,,Santarém
LAMAROSA,17/05/1985 09:00,,0.0,,,Santarém
LAMAROSA,18/05/1985 09:00,,0.0,,,Santarém
LAMAROSA,19/05/1985 09:00,,0.0,,,Santarém
LAMAROSA,20/05/1985 09:00,,0.0,,,Santarém
LAMAROSA,21/05/1985 09:00,,0.0,,,Santarém
LAMAROSA,22/05/1985 09:00,,0.0,,,Santarém
LAMAROSA,23/05/1985 09:00,,0.0,,,Santarém
LAMAROSA,24/05/1985 09:00,,0.0,,,Santarém
LAMAROSA,25/05/1985 09:00,,0.0,,,Santarém
LAMAROSA,26/05/1985 09:00,,5.5,,,Santarém
LAMAROSA,27/05/1985 09:00,,17.6,,,Santarém
LAMAROSA,28/05/1985 09:00,,0.0,,,Santarém
LAMAROSA,29/05/1985 09:00,,0.4,,,Santarém
LAMAROSA,30/05/1985 09:00,,16.4,,,Santarém
LAMAROSA,31/05/1985 09:00,,0.9,,,Santarém
LAMAROSA,01/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,02/06/1985 09:00,,1.3,,,Santarém
LAMAROSA,03/06/1985 09:00,,0.5,,,Santarém
LAMAROSA,04/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,05/06/1985 09:00,,1.2,,,Santarém
LAMAROSA,06/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,07/06/1985 09:00,,9.9,,,Santarém
LAMAROSA,08/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,09/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,10/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,11/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,12/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,13/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,14/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,15/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,16/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,17/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,18/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,19/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,20/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,21/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,22/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,23/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,24/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,25/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,26/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,27/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,28/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,29/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,30/06/1985 09:00,,0.0,,,Santarém
LAMAROSA,01/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,02/07/1985 09:00,,5.5,,,Santarém
LAMAROSA,03/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,04/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,05/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,06/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,07/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,08/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,09/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,10/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,11/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,12/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,13/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,14/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,15/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,16/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,17/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,18/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,19/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,20/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,21/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,22/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,23/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,24/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,25/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,26/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,27/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,28/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,29/07/1985 09:00,,1.1,,,Santarém
LAMAROSA,30/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,31/07/1985 09:00,,0.0,,,Santarém
LAMAROSA,01/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,02/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,03/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,04/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,05/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,06/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,07/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,08/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,09/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,10/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,11/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,12/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,13/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,14/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,15/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,16/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,17/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,18/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,19/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,20/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,21/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,22/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,23/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,24/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,25/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,26/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,27/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,28/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,29/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,30/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,31/08/1985 09:00,,0.0,,,Santarém
LAMAROSA,01/09/1985 09:00,,0.0,,,Santarém
LAMAROSA,02/09/1985 09:00,,0.0,,,Santarém
LAMAROSA,03/09/1985 09:00,,0.0,,,Santarém
LAMAROSA,04/09/1985 09:00,,0.0,,,Santarém
LAMAROSA,05/09/1985 09:00,,0.0,,,Santarém
LAMAROSA,06/09/1985 09:00,,0.0,,,Santarém
LAMAROSA,07/09/1985 09:00,,0.0,,,Santarém
LAMAROSA,08/09/1985 09:00,,0.0,,,Santarém
LAMAROSA,09/09/1985 09:00,,0.0,,,Santarém
LAMAROSA,10/09/1985 09:00,,0.0,,,Santarém
LAMAROSA,11/09/1985 09:00,,0.0,,,Santarém
LAMAROSA,12/09/1985 09:00,,0.0,,,Santarém
LAMAROSA,13/09/1985 09:00,,0.0,,,Santarém
LAMAROSA,14/09/1985 09:00,,0.0,,,Santarém
LAMAROSA,15/09/1985 09:00,,0.0,,,Santarém
LAMAROSA,16/09/1985 09:00,,0.0,,,Santarém
LAMAROSA,17/09/1985 09:00,,0.0,,,Santarém
LAMAROSA,18/09/1985 09:00,,0.0,,,Santarém
LAMAROSA,19/09/1985 09:00,,0.0,,,Santarém
LAMAROSA,20/09/1985 09:00,,3.6,,,Santarém
LAMAROSA,21/09/1985 09:00,,8.0,,,Santarém
LAMAROSA,22/09/1985 09:00,,0.0,,,Santarém
LAMAROSA,23/09/1985 09:00,,0.0,,,Santarém
LAMAROSA,24/09/1985 09:00,,0.0,,,Santarém
LAMAROSA,25/09/1985 09:00,,0.0,,,Santarém
LAMAROSA,26/09/1985 09:00,,0.0,,,Santarém
