Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
LAMAS DE ALVADIA,01/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,02/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,03/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,04/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,05/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,06/05/1985 09:00,,7.2,,,Vila Real
LAMAS DE ALVADIA,07/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,08/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,09/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,10/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,11/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,12/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,13/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,14/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,15/05/1985 09:00,,3.2,,,Vila Real
LAMAS DE ALVADIA,16/05/1985 09:00,,4.2,,,Vila Real
LAMAS DE ALVADIA,17/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,18/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,19/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,20/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,21/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,22/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,23/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,24/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,25/05/1985 09:00,,3.2,,,Vila Real
LAMAS DE ALVADIA,26/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,27/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,28/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,29/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,30/05/1985 09:00,,4.3,,,Vila Real
LAMAS DE ALVADIA,31/05/1985 09:00,,7.2,,,Vila Real
LAMAS DE ALVADIA,01/06/1985 09:00,,27.0,,,Vila Real
LAMAS DE ALVADIA,02/06/1985 09:00,,16.0,,,Vila Real
LAMAS DE ALVADIA,03/06/1985 09:00,,31.0,,,Vila Real
LAMAS DE ALVADIA,04/06/1985 09:00,,24.0,,,Vila Real
LAMAS DE ALVADIA,05/06/1985 09:00,,7.0,,,Vila Real
LAMAS DE ALVADIA,06/06/1985 09:00,,10.0,,,Vila Real
LAMAS DE ALVADIA,07/06/1985 09:00,,4.2,,,Vila Real
LAMAS DE ALVADIA,08/06/1985 09:00,,5.7,,,Vila Real
LAMAS DE ALVADIA,09/06/1985 09:00,,2.5,,,Vila Real
LAMAS DE ALVADIA,10/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,11/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,12/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,13/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,14/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,15/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,16/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,17/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,18/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,19/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,20/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,21/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,22/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,23/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,24/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,25/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,26/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,27/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,28/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,29/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,30/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,01/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,02/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,03/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,04/07/1985 09:00,,4.5,,,Vila Real
LAMAS DE ALVADIA,05/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,06/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,07/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,08/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,09/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,10/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,11/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,12/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,13/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,14/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,15/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,16/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,17/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,18/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,19/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,20/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,21/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,22/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,23/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,24/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,25/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,26/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,27/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,28/07/1985 09:00,,4.0,,,Vila Real
LAMAS DE ALVADIA,29/07/1985 09:00,,23.5,,,Vila Real
LAMAS DE ALVADIA,30/07/1985 09:00,,1.5,,,Vila Real
LAMAS DE ALVADIA,31/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,01/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,02/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,03/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,04/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,05/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,06/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,07/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,08/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE ALVADIA,09/08/1985 09:00,,0.0,,,Vila Real
