Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
LAMAS DE OLO,01/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,02/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,03/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,04/05/1985 09:00,,25.0,,,Vila Real
LAMAS DE OLO,05/05/1985 09:00,,37.0,,,Vila Real
LAMAS DE OLO,06/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,07/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,08/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,09/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,10/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,11/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,12/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,13/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,14/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,15/05/1985 09:00,,1.9,,,Vila Real
LAMAS DE OLO,16/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,17/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,18/05/1985 09:00,,12.0,,,Vila Real
LAMAS DE OLO,19/05/1985 09:00,,9.0,,,Vila Real
LAMAS DE OLO,20/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,21/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,22/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,23/05/1985 09:00,,9.0,,,Vila Real
LAMAS DE OLO,24/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,25/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,26/05/1985 09:00,,25.0,,,Vila Real
LAMAS DE OLO,27/05/1985 09:00,,17.0,,,Vila Real
LAMAS DE OLO,28/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,29/05/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,30/05/1985 09:00,,9.0,,,Vila Real
LAMAS DE OLO,31/05/1985 09:00,,20.0,,,Vila Real
LAMAS DE OLO,01/06/1985 09:00,,14.0,,,Vila Real
LAMAS DE OLO,02/06/1985 09:00,,10.0,,,Vila Real
LAMAS DE OLO,03/06/1985 09:00,,9.0,,,Vila Real
LAMAS DE OLO,04/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,05/06/1985 09:00,,22.0,,,Vila Real
LAMAS DE OLO,06/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,07/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,08/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,09/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,10/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,11/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,12/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,13/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,14/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,15/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,16/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,17/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,18/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,19/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,20/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,21/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,22/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,23/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,24/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,25/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,26/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,27/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,28/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,29/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,30/06/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,01/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,02/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,03/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,04/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,05/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,06/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,07/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,08/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,09/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,10/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,11/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,12/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,13/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,14/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,15/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,16/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,17/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,18/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,19/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,20/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,21/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,22/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,23/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,24/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,25/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,26/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,27/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,28/07/1985 09:00,,6.0,,,Vila Real
LAMAS DE OLO,29/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,30/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,31/07/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,01/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,02/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,03/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,04/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,05/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,06/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,07/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,08/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,09/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,10/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,11/08/1985 09:00,,2.1,,,Vila Real
LAMAS DE OLO,12/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,13/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,14/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,15/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,16/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,17/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,18/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,19/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,20/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,21/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,22/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,23/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,24/08/1985 09:00,,0.9,,,Vila Real
LAMAS DE OLO,25/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,26/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,27/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,28/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,29/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,30/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,31/08/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,01/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,02/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,03/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,04/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,05/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,06/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,07/09/1985 09:00,,2.0,,,Vila Real
LAMAS DE OLO,08/09/1985 09:00,,2.5,,,Vila Real
LAMAS DE OLO,09/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,10/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,11/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,12/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,13/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,14/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,15/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,16/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,17/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,18/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,19/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,20/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,21/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,22/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,23/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,24/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,25/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,26/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,27/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,28/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,29/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,30/09/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,01/10/1985 09:00,,1.0,,,Vila Real
LAMAS DE OLO,02/10/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,03/10/1985 09:00,,1.2,,,Vila Real
LAMAS DE OLO,04/10/1985 09:00,,1.7,,,Vila Real
LAMAS DE OLO,05/10/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,06/10/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,07/10/1985 09:00,,1.4,,,Vila Real
LAMAS DE OLO,08/10/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,09/10/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,10/10/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,11/10/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,12/10/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,13/10/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,14/10/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,15/10/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,16/10/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,17/10/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,18/10/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,19/10/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,20/10/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,21/10/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,22/10/1985 09:00,,0.0,,,Vila Real
LAMAS DE OLO,23/10/1985 09:00,,0.0,,,Vila Real
