Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
LAMAS DE PODENCE,01/05/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,02/05/1985 09:00,,2.6,,,Bragança
LAMAS DE PODENCE,03/05/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,04/05/1985 09:00,,4.0,,,Bragança
LAMAS DE PODENCE,05/05/1985 09:00,,3.1,,,Bragança
LAMAS DE PODENCE,06/05/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,07/05/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,08/05/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,09/05/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,10/05/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,11/05/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,12/05/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,13/05/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,14/05/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,15/05/1985 09:00,,1.0,,,Bragança
LAMAS DE PODENCE,16/05/1985 09:00,,14.0,,,Bragança
LAMAS DE PODENCE,17/05/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,18/05/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,19/05/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,20/05/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,21/05/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,22/05/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,23/05/1985 09:00,,9.2,,,Bragança
LAMAS DE PODENCE,24/05/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,25/05/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,26/05/1985 09:00,,1.1,,,Bragança
LAMAS DE PODENCE,27/05/1985 09:00,,3.4,,,Bragança
LAMAS DE PODENCE,28/05/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,29/05/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,30/05/1985 09:00,,6.8,,,Bragança
LAMAS DE PODENCE,31/05/1985 09:00,,11.5,,,Bragança
LAMAS DE PODENCE,01/06/1985 09:00,,12.0,,,Bragança
LAMAS DE PODENCE,02/06/1985 09:00,,4.1,,,Bragança
LAMAS DE PODENCE,03/06/1985 09:00,,20.0,,,Bragança
LAMAS DE PODENCE,04/06/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,05/06/1985 09:00,,3.5,,,Bragança
LAMAS DE PODENCE,06/06/1985 09:00,,3.2,,,Bragança
LAMAS DE PODENCE,07/06/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,08/06/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,09/06/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,10/06/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,11/06/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,12/06/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,13/06/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,14/06/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,15/06/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,16/06/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,17/06/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,18/06/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,19/06/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,20/06/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,21/06/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,22/06/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,23/06/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,24/06/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,25/06/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,26/06/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,27/06/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,28/06/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,29/06/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,30/06/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,01/07/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,02/07/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,03/07/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,04/07/1985 09:00,,0.0,,,Bragança
LAMAS DE PODENCE,05/07/1985 09:00,,0.0,,,Bragança
