Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
LARANJAL (PONTE SÔR),01/05/1985 09:00,64.0,0.0,20.5,,Portalegre
LARANJAL (PONTE SÔR),02/05/1985 09:00,80.0,0.5,17.3,,Portalegre
LARANJAL (PONTE SÔR),03/05/1985 09:00,89.0,2.0,17.2,,Portalegre
LARANJAL (PONTE SÔR),04/05/1985 09:00,80.0,0.7,18.3,,Portalegre
LARANJAL (PONTE SÔR),05/05/1985 09:00,78.0,0.2,13.6,,Portalegre
LARANJAL (PONTE SÔR),06/05/1985 09:00,87.0,1.2,10.0,,Portalegre
LARANJAL (PONTE SÔR),07/05/1985 09:00,63.0,12.3,11.8,,Portalegre
LARANJAL (PONTE SÔR),08/05/1985 09:00,66.0,0.0,13.4,,Portalegre
LARANJAL (PONTE SÔR),09/05/1985 09:00,78.0,0.0,15.7,,Portalegre
LARANJAL (PONTE SÔR),10/05/1985 09:00,68.0,0.0,15.6,,Portalegre
LARANJAL (PONTE SÔR),11/05/1985 09:00,55.0,0.0,14.6,,Portalegre
LARANJAL (PONTE SÔR),12/05/1985 09:00,67.0,0.0,15.4,,Portalegre
LARANJAL (PONTE SÔR),13/05/1985 09:00,67.0,0.0,15.4,,Portalegre
LARANJAL (PONTE SÔR),14/05/1985 09:00,66.0,0.0,13.5,,Portalegre
LARANJAL (PONTE SÔR),15/05/1985 09:00,78.0,0.0,12.5,,Portalegre
LARANJAL (PONTE SÔR),16/05/1985 09:00,67.0,2.3,13.2,,Portalegre
LARANJAL (PONTE SÔR),17/05/1985 09:00,69.0,0.0,15.9,,Portalegre
LARANJAL (PONTE SÔR),18/05/1985 09:00,56.0,0.0,17.0,,Portalegre
LARANJAL (PONTE SÔR),19/05/1985 09:00,56.0,0.0,18.7,,Portalegre
LARANJAL (PONTE SÔR),20/05/1985 09:00,68.0,0.0,15.7,,Portalegre
LARANJAL (PONTE SÔR),21/05/1985 09:00,68.0,0.0,15.0,,Portalegre
LARANJAL (PONTE SÔR),22/05/1985 09:00,68.0,0.0,15.5,,Portalegre
LARANJAL (PONTE SÔR),23/05/1985 09:00,59.0,0.0,15.2,,Portalegre
LARANJAL (PONTE SÔR),24/05/1985 09:00,68.0,0.0,15.4,,Portalegre
LARANJAL (PONTE SÔR),25/05/1985 09:00,68.0,0.0,15.4,,Portalegre
LARANJAL (PONTE SÔR),26/05/1985 09:00,80.0,3.9,15.6,,Portalegre
LARANJAL (PONTE SÔR),27/05/1985 09:00,78.0,5.4,17.5,,Portalegre
LARANJAL (PONTE SÔR),28/05/1985 09:00,70.0,0.0,16.5,,Portalegre
LARANJAL (PONTE SÔR),29/05/1985 09:00,89.0,0.6,17.3,,Portalegre
LARANJAL (PONTE SÔR),30/05/1985 09:00,90.0,7.0,19.8,,Portalegre
LARANJAL (PONTE SÔR),31/05/1985 09:00,90.0,3.5,17.6,,Portalegre
