Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
LOULÉ,01/05/1985 09:00,,0.0,,,Faro
LOULÉ,02/05/1985 09:00,,0.0,,,Faro
LOULÉ,03/05/1985 09:00,,1.1,,,Faro
LOULÉ,04/05/1985 09:00,,0.0,,,Faro
LOULÉ,05/05/1985 09:00,,0.0,,,Faro
LOULÉ,06/05/1985 09:00,,0.5,,,Faro
LOULÉ,07/05/1985 09:00,,3.6,,,Faro
LOULÉ,08/05/1985 09:00,,0.0,,,Faro
LOULÉ,09/05/1985 09:00,,0.0,,,Faro
LOULÉ,10/05/1985 09:00,,0.0,,,Faro
LOULÉ,11/05/1985 09:00,,0.0,,,Faro
LOULÉ,12/05/1985 09:00,,0.0,,,Faro
LOULÉ,13/05/1985 09:00,,0.0,,,Faro
LOULÉ,14/05/1985 09:00,,0.0,,,Faro
LOULÉ,15/05/1985 09:00,,0.0,,,Faro
LOULÉ,16/05/1985 09:00,,0.0,,,Faro
LOULÉ,17/05/1985 09:00,,0.0,,,Faro
LOULÉ,18/05/1985 09:00,,0.0,,,Faro
LOULÉ,19/05/1985 09:00,,0.0,,,Faro
LOULÉ,20/05/1985 09:00,,0.0,,,Faro
LOULÉ,21/05/1985 09:00,,0.0,,,Faro
LOULÉ,22/05/1985 09:00,,0.0,,,Faro
LOULÉ,23/05/1985 09:00,,0.0,,,Faro
LOULÉ,24/05/1985 09:00,,0.0,,,Faro
LOULÉ,25/05/1985 09:00,,0.0,,,Faro
LOULÉ,26/05/1985 09:00,,2.8,,,Faro
LOULÉ,27/05/1985 09:00,,0.0,,,Faro
LOULÉ,28/05/1985 09:00,,0.0,,,Faro
LOULÉ,29/05/1985 09:00,,0.0,,,Faro
LOULÉ,30/05/1985 09:00,,0.0,,,Faro
LOULÉ,31/05/1985 09:00,,0.0,,,Faro
LOULÉ,01/06/1985 09:00,,0.0,,,Faro
LOULÉ,02/06/1985 09:00,,0.0,,,Faro
LOULÉ,03/06/1985 09:00,,0.0,,,Faro
LOULÉ,04/06/1985 09:00,,0.0,,,Faro
LOULÉ,05/06/1985 09:00,,5.1,,,Faro
LOULÉ,06/06/1985 09:00,,0.0,,,Faro
LOULÉ,07/06/1985 09:00,,0.0,,,Faro
LOULÉ,08/06/1985 09:00,,0.0,,,Faro
LOULÉ,09/06/1985 09:00,,0.0,,,Faro
LOULÉ,10/06/1985 09:00,,0.0,,,Faro
LOULÉ,11/06/1985 09:00,,0.0,,,Faro
LOULÉ,12/06/1985 09:00,,0.0,,,Faro
LOULÉ,13/06/1985 09:00,,0.0,,,Faro
LOULÉ,14/06/1985 09:00,,0.0,,,Faro
LOULÉ,15/06/1985 09:00,,0.0,,,Faro
LOULÉ,16/06/1985 09:00,,0.0,,,Faro
LOULÉ,17/06/1985 09:00,,0.0,,,Faro
LOULÉ,18/06/1985 09:00,,0.4,,,Faro
LOULÉ,19/06/1985 09:00,,4.8,,,Faro
LOULÉ,20/06/1985 09:00,,0.0,,,Faro
LOULÉ,21/06/1985 09:00,,0.0,,,Faro
LOULÉ,22/06/1985 09:00,,0.0,,,Faro
LOULÉ,23/06/1985 09:00,,0.0,,,Faro
LOULÉ,24/06/1985 09:00,,0.0,,,Faro
LOULÉ,25/06/1985 09:00,,0.0,,,Faro
LOULÉ,26/06/1985 09:00,,0.0,,,Faro
LOULÉ,27/06/1985 09:00,,0.0,,,Faro
LOULÉ,28/06/1985 09:00,,0.0,,,Faro
LOULÉ,29/06/1985 09:00,,0.0,,,Faro
LOULÉ,30/06/1985 09:00,,0.0,,,Faro
LOULÉ,01/07/1985 09:00,,0.0,,,Faro
