Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
LOUREIRO,01/05/1985 09:00,,0.0,,,Aveiro
LOUREIRO,02/05/1985 09:00,,0.0,,,Aveiro
LOUREIRO,03/05/1985 09:00,,0.0,,,Aveiro
LOUREIRO,04/05/1985 09:00,,0.0,,,Aveiro
LOUREIRO,05/05/1985 09:00,,4.6,,,Aveiro
LOUREIRO,06/05/1985 09:00,,1.5,,,Aveiro
LOUREIRO,07/05/1985 09:00,,0.0,,,Aveiro
LOUREIRO,08/05/1985 09:00,,0.0,,,Aveiro
LOUREIRO,09/05/1985 09:00,,0.0,,,Aveiro
LOUREIRO,10/05/1985 09:00,,0.0,,,Aveiro
LOUREIRO,11/05/1985 09:00,,0.0,,,Aveiro
LOUREIRO,12/05/1985 09:00,,0.0,,,Aveiro
LOUREIRO,13/05/1985 09:00,,0.0,,,Aveiro
LOUREIRO,14/05/1985 09:00,,0.0,,,Aveiro
LOUREIRO,15/05/1985 09:00,,8.9,,,Aveiro
LOUREIRO,16/05/1985 09:00,,2.8,,,Aveiro
LOUREIRO,17/05/1985 09:00,,0.0,,,Aveiro
LOUREIRO,18/05/1985 09:00,,2.2,,,Aveiro
LOUREIRO,19/05/1985 09:00,,0.0,,,Aveiro
LOUREIRO,20/05/1985 09:00,,0.0,,,Aveiro
LOUREIRO,21/05/1985 09:00,,0.0,,,Aveiro
LOUREIRO,22/05/1985 09:00,,0.0,,,Aveiro
LOUREIRO,23/05/1985 09:00,,0.0,,,Aveiro
LOUREIRO,24/05/1985 09:00,,0.0,,,Aveiro
LOUREIRO,25/05/1985 09:00,,0.0,,,Aveiro
LOUREIRO,26/05/1985 09:00,,2.5,,,Aveiro
LOUREIRO,27/05/1985 09:00,,39.0,,,Aveiro
LOUREIRO,28/05/1985 09:00,,0.0,,,Aveiro
LOUREIRO,29/05/1985 09:00,,0.0,,,Aveiro
LOUREIRO,30/05/1985 09:00,,2.0,,,Aveiro
LOUREIRO,31/05/1985 09:00,,1.7,,,Aveiro
LOUREIRO,01/06/1985 09:00,,0.0,,,Aveiro
LOUREIRO,02/06/1985 09:00,,27.0,,,Aveiro
LOUREIRO,03/06/1985 09:00,,25.9,,,Aveiro
LOUREIRO,04/06/1985 09:00,,1.0,,,Aveiro
LOUREIRO,05/06/1985 09:00,,12.9,,,Aveiro
LOUREIRO,06/06/1985 09:00,,9.5,,,Aveiro
LOUREIRO,07/06/1985 09:00,,5.5,,,Aveiro
LOUREIRO,08/06/1985 09:00,,0.0,,,Aveiro
LOUREIRO,09/06/1985 09:00,,0.0,,,Aveiro
LOUREIRO,10/06/1985 09:00,,0.0,,,Aveiro
LOUREIRO,11/06/1985 09:00,,0.0,,,Aveiro
LOUREIRO,12/06/1985 09:00,,0.0,,,Aveiro
LOUREIRO,13/06/1985 09:00,,0.0,,,Aveiro
LOUREIRO,14/06/1985 09:00,,0.0,,,Aveiro
LOUREIRO,15/06/1985 09:00,,0.0,,,Aveiro
