Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
LOURIÇAL,01/05/1985 09:00,,0.0,,,Leiria
LOURIÇAL,02/05/1985 09:00,,0.0,,,Leiria
LOURIÇAL,03/05/1985 09:00,,0.0,,,Leiria
LOURIÇAL,04/05/1985 09:00,,0.0,,,Leiria
LOURIÇAL,05/05/1985 09:00,,1.2,,,Leiria
LOURIÇAL,06/05/1985 09:00,,10.1,,,Leiria
LOURIÇAL,07/05/1985 09:00,,12.5,,,Leiria
LOURIÇAL,08/05/1985 09:00,,0.0,,,Leiria
LOURIÇAL,09/05/1985 09:00,,0.0,,,Leiria
LOURIÇAL,10/05/1985 09:00,,0.0,,,Leiria
LOURIÇAL,11/05/1985 09:00,,0.0,,,Leiria
LOURIÇAL,12/05/1985 09:00,,0.0,,,Leiria
LOURIÇAL,13/05/1985 09:00,,0.0,,,Leiria
LOURIÇAL,14/05/1985 09:00,,0.0,,,Leiria
LOURIÇAL,15/05/1985 09:00,,0.9,,,Leiria
LOURIÇAL,16/05/1985 09:00,,6.1,,,Leiria
LOURIÇAL,17/05/1985 09:00,,0.0,,,Leiria
LOURIÇAL,18/05/1985 09:00,,0.0,,,Leiria
LOURIÇAL,19/05/1985 09:00,,0.0,,,Leiria
LOURIÇAL,20/05/1985 09:00,,0.0,,,Leiria
LOURIÇAL,21/05/1985 09:00,,0.0,,,Leiria
LOURIÇAL,22/05/1985 09:00,,0.0,,,Leiria
LOURIÇAL,23/05/1985 09:00,,0.0,,,Leiria
LOURIÇAL,24/05/1985 09:00,,0.0,,,Leiria
LOURIÇAL,25/05/1985 09:00,,0.0,,,Leiria
LOURIÇAL,26/05/1985 09:00,,10.6,,,Leiria
LOURIÇAL,27/05/1985 09:00,,27.9,,,Leiria
LOURIÇAL,28/05/1985 09:00,,0.0,,,Leiria
LOURIÇAL,29/05/1985 09:00,,0.0,,,Leiria
LOURIÇAL,30/05/1985 09:00,,1.8,,,Leiria
LOURIÇAL,31/05/1985 09:00,,0.0,,,Leiria
LOURIÇAL,01/06/1985 09:00,,2.5,,,Leiria
LOURIÇAL,02/06/1985 09:00,,0.0,,,Leiria
LOURIÇAL,03/06/1985 09:00,,4.5,,,Leiria
LOURIÇAL,04/06/1985 09:00,,0.0,,,Leiria
LOURIÇAL,05/06/1985 09:00,,2.8,,,Leiria
LOURIÇAL,06/06/1985 09:00,,1.0,,,Leiria
LOURIÇAL,07/06/1985 09:00,,0.0,,,Leiria
LOURIÇAL,08/06/1985 09:00,,0.0,,,Leiria
LOURIÇAL,09/06/1985 09:00,,0.0,,,Leiria
LOURIÇAL,10/06/1985 09:00,,0.0,,,Leiria
