Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
MARIANOS,01/05/1985 09:00,,0.0,,,Santarém
MARIANOS,02/05/1985 09:00,,0.0,,,Santarém
MARIANOS,03/05/1985 09:00,,4.6,,,Santarém
MARIANOS,04/05/1985 09:00,,0.0,,,Santarém
MARIANOS,05/05/1985 09:00,,1.4,,,Santarém
MARIANOS,06/05/1985 09:00,,2.3,,,Santarém
MARIANOS,07/05/1985 09:00,,18.3,,,Santarém
MARIANOS,08/05/1985 09:00,,0.0,,,Santarém
MARIANOS,09/05/1985 09:00,,0.0,,,Santarém
MARIANOS,10/05/1985 09:00,,0.0,,,Santarém
MARIANOS,11/05/1985 09:00,,0.0,,,Santarém
MARIANOS,12/05/1985 09:00,,0.0,,,Santarém
MARIANOS,13/05/1985 09:00,,0.0,,,Santarém
MARIANOS,14/05/1985 09:00,,0.4,,,Santarém
MARIANOS,15/05/1985 09:00,,0.0,,,Santarém
MARIANOS,16/05/1985 09:00,,2.0,,,Santarém
MARIANOS,17/05/1985 09:00,,0.0,,,Santarém
MARIANOS,18/05/1985 09:00,,0.0,,,Santarém
MARIANOS,19/05/1985 09:00,,0.0,,,Santarém
MARIANOS,20/05/1985 09:00,,0.0,,,Santarém
MARIANOS,21/05/1985 09:00,,0.0,,,Santarém
MARIANOS,22/05/1985 09:00,,0.0,,,Santarém
MARIANOS,23/05/1985 09:00,,0.0,,,Santarém
MARIANOS,24/05/1985 09:00,,0.0,,,Santarém
MARIANOS,25/05/1985 09:00,,0.0,,,Santarém
MARIANOS,26/05/1985 09:00,,3.1,,,Santarém
MARIANOS,27/05/1985 09:00,,3.0,,,Santarém
MARIANOS,28/05/1985 09:00,,0.0,,,Santarém
MARIANOS,29/05/1985 09:00,,0.4,,,Santarém
MARIANOS,30/05/1985 09:00,,18.9,,,Santarém
MARIANOS,31/05/1985 09:00,,0.0,,,Santarém
MARIANOS,01/06/1985 09:00,,0.0,,,Santarém
MARIANOS,02/06/1985 09:00,,0.1,,,Santarém
MARIANOS,03/06/1985 09:00,,8.0,,,Santarém
MARIANOS,04/06/1985 09:00,,0.0,,,Santarém
MARIANOS,05/06/1985 09:00,,3.1,,,Santarém
MARIANOS,06/06/1985 09:00,,2.3,,,Santarém
MARIANOS,07/06/1985 09:00,,10.1,,,Santarém
MARIANOS,08/06/1985 09:00,,0.0,,,Santarém
MARIANOS,09/06/1985 09:00,,0.0,,,Santarém
MARIANOS,10/06/1985 09:00,,0.0,,,Santarém
MARIANOS,11/06/1985 09:00,,0.0,,,Santarém
MARIANOS,12/06/1985 09:00,,0.0,,,Santarém
MARIANOS,13/06/1985 09:00,,0.0,,,Santarém
MARIANOS,14/06/1985 09:00,,0.0,,,Santarém
