Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
MAÇAINHAS,01/05/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,02/05/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,03/05/1985 09:00,,8.2,,,Guarda
MAÇAINHAS,04/05/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,05/05/1985 09:00,,0.5,,,Guarda
MAÇAINHAS,06/05/1985 09:00,,5.6,,,Guarda
MAÇAINHAS,07/05/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,08/05/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,09/05/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,10/05/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,11/05/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,12/05/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,13/05/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,14/05/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,15/05/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,16/05/1985 09:00,,1.5,,,Guarda
MAÇAINHAS,17/05/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,18/05/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,19/05/1985 09:00,,1.4,,,Guarda
MAÇAINHAS,20/05/1985 09:00,,1.3,,,Guarda
MAÇAINHAS,21/05/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,22/05/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,23/05/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,24/05/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,25/05/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,26/05/1985 09:00,,9.6,,,Guarda
MAÇAINHAS,27/05/1985 09:00,,25.6,,,Guarda
MAÇAINHAS,28/05/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,29/05/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,30/05/1985 09:00,,15.4,,,Guarda
MAÇAINHAS,31/05/1985 09:00,,27.2,,,Guarda
MAÇAINHAS,01/06/1985 09:00,,19.9,,,Guarda
MAÇAINHAS,02/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,03/06/1985 09:00,,1.5,,,Guarda
MAÇAINHAS,04/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,05/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,06/06/1985 09:00,,2.9,,,Guarda
MAÇAINHAS,07/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,08/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,09/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,10/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,11/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,12/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,13/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,14/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,15/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,16/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,17/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,18/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,19/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,20/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,21/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,22/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,23/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,24/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,25/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,26/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,27/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,28/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,29/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,30/06/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,01/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,02/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,03/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,04/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,05/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,06/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,07/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,08/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,09/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,10/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,11/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,12/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,13/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,14/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,15/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,16/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,17/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,18/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,19/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,20/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,21/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,22/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,23/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,24/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,25/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,26/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,27/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,28/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,29/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,30/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,31/07/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,01/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,02/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,03/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,04/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,05/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,06/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,07/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,08/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,09/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,10/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,11/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,12/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,13/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,14/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,15/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,16/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,17/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,18/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,19/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,20/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,21/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,22/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,23/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,24/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,25/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,26/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,27/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,28/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,29/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,30/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,31/08/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,01/09/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,02/09/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,03/09/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,04/09/1985 09:00,,0.0,,,Guarda
MAÇAINHAS,05/09/1985 09:00,,0.0,,,Guarda
